library,policy,policy_label,local_alpha,tess,bootstrap_mean,bootstrap_se,pointwise_low_95,pointwise_high_95,bootstrap_repetitions
high_dependency_linear_20,fixed_base,Fixed base (K=7),0.2,1.728315600162386,1.7290292425048872,0.04384652895742807,1.6434500465390804,1.8161632981041957,20000
high_dependency_linear_20,fixed_base,Fixed base (K=7),0.1,1.8419642559341145,1.8421890509133563,0.0626627500777435,1.7205885533821066,1.9672474158256772,20000
high_dependency_linear_20,fixed_base,Fixed base (K=7),0.05,1.8729635110754563,1.872175110362528,0.08767015410193735,1.706277566580663,2.0454168756808144,20000
high_dependency_linear_20,fixed_base,Fixed base (K=7),0.025,1.9844220505946748,1.9845540156332682,0.12637625053065774,1.7360068279392777,2.2344095319585784,20000
high_dependency_linear_20,fixed_base,Fixed base (K=7),0.01,2.0914094345168044,2.092981355557237,0.2040888588652521,1.7060284437158328,2.4986926985456166,20000
high_dependency_linear_20,fixed_base,Fixed base (K=7),0.005,2.2873580935372804,2.2923025072794005,0.30182663975052376,1.7231164745786252,2.8936788386985883,20000
high_dependency_linear_20,fixed_full,Fixed full (K=20),0.2,1.8027418441736909,1.803477124460118,0.04483649352551632,1.7164686903230426,1.8920754358612575,20000
high_dependency_linear_20,fixed_full,Fixed full (K=20),0.1,1.9976567777733023,1.997826510040764,0.06560040818627734,1.8696623930458713,2.1297763380792083,20000
high_dependency_linear_20,fixed_full,Fixed full (K=20),0.05,2.127869706245438,2.127124414779067,0.09369785733342073,1.9460698805580805,2.3157712408270874,20000
high_dependency_linear_20,fixed_full,Fixed full (K=20),0.025,2.2093394643411584,2.2091167107841057,0.13345472363950098,1.9512096120557005,2.469167371363005,20000
high_dependency_linear_20,fixed_full,Fixed full (K=20),0.01,2.3355792809117153,2.336797194711843,0.2162355397212914,1.92896178623085,2.764323642256444,20000
high_dependency_linear_20,fixed_full,Fixed full (K=20),0.005,2.4892603294609468,2.4927106688703025,0.3149298820260542,1.8841655911255246,3.136724045150972,20000
high_dependency_linear_20,random_expansion,Random expansion,0.2,1.7653742175134315,1.7661018019754697,0.04428179182563645,1.6798106526439143,1.8539586315570282,20000
high_dependency_linear_20,random_expansion,Random expansion,0.1,1.9229774914414237,1.9231822511107834,0.06430174298866184,1.798273516144775,2.0516977942649928,20000
high_dependency_linear_20,random_expansion,Random expansion,0.05,2.002160310905443,2.0014317951520737,0.09067179913456541,1.8258050530711403,2.1801254241411754,20000
high_dependency_linear_20,random_expansion,Random expansion,0.025,2.117551783389626,2.1173811566771397,0.13078731396023313,1.8600191439587366,2.3767746036074495,20000
high_dependency_linear_20,random_expansion,Random expansion,0.01,2.2134194589695784,2.2148485217051306,0.2104105204689505,1.807299864645121,2.6416366199630024,20000
high_dependency_linear_20,random_expansion,Random expansion,0.005,2.448863532261388,2.4530380643095,0.31221975188967455,1.843891121969191,3.096195942972312,20000
high_dependency_linear_20,promising_triggered,Expand when promising,0.2,1.7960461606963383,1.7967864942604275,0.04472902922794297,1.709900581104331,1.8852450426509628,20000
high_dependency_linear_20,promising_triggered,Expand when promising,0.1,1.9953141339057927,1.9954711167547687,0.06554973433690756,1.8673511251467036,2.1274008602590166,20000
high_dependency_linear_20,promising_triggered,Expand when promising,0.05,2.127869706245438,2.127124414779067,0.09369785733342073,1.9460698805580805,2.3157712408270874,20000
high_dependency_linear_20,promising_triggered,Expand when promising,0.025,2.2093394643411584,2.2091167107841057,0.13345472363950098,1.9512096120557005,2.469167371363005,20000
high_dependency_linear_20,promising_triggered,Expand when promising,0.01,2.3355792809117153,2.336797194711843,0.2162355397212914,1.92896178623085,2.764323642256444,20000
high_dependency_linear_20,promising_triggered,Expand when promising,0.005,2.4892603294609468,2.4927106688703025,0.3149298820260542,1.8841655911255246,3.136724045150972,20000
high_dependency_linear_20,rescue_triggered,Expand for rescue,0.2,1.73491077444723,1.7356193981136567,0.04395308676167895,1.6499214124545596,1.8215431548339986,20000
high_dependency_linear_20,rescue_triggered,Expand for rescue,0.1,1.844269349225598,1.844506727881886,0.06271754889339287,1.7228643528369694,1.971919442295123,20000
high_dependency_linear_20,rescue_triggered,Expand for rescue,0.05,1.8729635110754563,1.872175110362528,0.08767015410193735,1.706277566580663,2.0454168756808144,20000
high_dependency_linear_20,rescue_triggered,Expand for rescue,0.025,1.9844220505946748,1.9845540156332682,0.12637625053065774,1.7360068279392777,2.2344095319585784,20000
high_dependency_linear_20,rescue_triggered,Expand for rescue,0.01,2.0914094345168044,2.092981355557237,0.2040888588652521,1.7060284437158328,2.4986926985456166,20000
high_dependency_linear_20,rescue_triggered,Expand for rescue,0.005,2.2873580935372804,2.2923025072794005,0.30182663975052376,1.7231164745786252,2.8936788386985883,20000
