library,contrast,details,local_alpha,estimate,bootstrap_mean,bootstrap_se,ci_low_95,ci_high_95,bootstrap_probability_gt_zero,bootstrap_repetitions
high_dependency_linear_20,rescue_minus_promising,Expand for rescue minus Expand when promising,0.2,-0.06113538624910819,-0.061167096146771016,0.010492198626413124,-0.08225517234104773,-0.0411812661196993,0.0,20000
high_dependency_linear_20,rescue_minus_promising,Expand for rescue minus Expand when promising,0.1,-0.15104478468019478,-0.15096438887288274,0.01962434937799967,-0.1908549275560254,-0.11339153702268634,0.0,20000
high_dependency_linear_20,rescue_minus_promising,Expand for rescue minus Expand when promising,0.05,-0.2549061951699818,-0.2549493044165391,0.03348830419992225,-0.3219630648725933,-0.19122024751835312,0.0,20000
high_dependency_linear_20,rescue_minus_promising,Expand for rescue minus Expand when promising,0.025,-0.22491741374648355,-0.22456269515083746,0.04355810228107838,-0.31625112648118936,-0.14188375182774182,0.0,20000
high_dependency_linear_20,rescue_minus_promising,Expand for rescue minus Expand when promising,0.01,-0.2441698463949109,-0.24381583915460597,0.07034078071630673,-0.38767281422481625,-0.12181086500783689,0.0,20000
high_dependency_linear_20,rescue_minus_promising,Expand for rescue minus Expand when promising,0.005,-0.2019022359236664,-0.20040816159090205,0.12088135834549917,-0.44454498393664865,0.04030701746984411,0.0275,20000
high_dependency_linear_20,random_minus_promising,Random expansion minus Expand when promising,0.2,-0.03067194318290678,-0.030684692284957963,0.007446606422782833,-0.04572934018222854,-0.016197556087182246,0.0,20000
high_dependency_linear_20,random_minus_promising,Random expansion minus Expand when promising,0.1,-0.072336642464369,-0.07228886564398507,0.013499337325100088,-0.09958003216898657,-0.046685886462164206,0.0,20000
high_dependency_linear_20,random_minus_promising,Random expansion minus Expand when promising,0.05,-0.12570939533999503,-0.12569261962699346,0.02354503954726316,-0.1738373153558017,-0.0822331753521397,0.0,20000
high_dependency_linear_20,random_minus_promising,Random expansion minus Expand when promising,0.025,-0.09178768095153256,-0.0917355541069659,0.027882451727657364,-0.15027750609471457,-0.041651264225853524,0.0,20000
