library,local_alpha,n,promising_activation_rate,rescue_activation_rate,pi_base,pi_full,pi_promising,pi_rescue,pi_random_matched_promising_budget,pi_random_matched_rescue_budget,cov_activation_increment,pi_promising_minus_matched_random,pi_rescue_minus_matched_random,tess_promising,tess_rescue,tess_random_matched_promising_budget,tess_random_matched_rescue_budget,tess_promising_minus_matched_random,tess_rescue_minus_matched_random,incremental_gain_count,incremental_loss_count,gain_count_activated_promising,gain_count_allocated_rescue,loss_count_activated_promising,loss_count_allocated_rescue,promising_gain_capture_fraction
high_dependency_linear_20,0.2,5000,0.489,0.511,0.32,0.3312,0.3302,0.321,0.3254768,0.3257232,0.004723200000000001,0.004723199999999983,-0.004723199999999983,1.7960461606963383,1.73491077444723,1.7645556224147056,1.7661929621675092,0.03149053828163262,-0.03128218772027913,59,3,54,5,3,0,0.9152542372881356
high_dependency_linear_20,0.1,5000,0.489,0.511,0.1764,0.1898,0.1896,0.1766,0.1829526,0.1832474,0.0066473999999999995,0.006647399999999998,-0.006647399999999998,1.9953141339057927,1.844269349225598,1.9177788510964928,1.9212040098092527,0.07753528280929989,-0.07693466058365472,69,2,68,1,2,0,0.9855072463768116
high_dependency_linear_20,0.05,5000,0.489,0.511,0.0916,0.1034,0.1034,0.0916,0.0973702,0.0976298,0.0060298,0.006029800000000002,-0.006029800000000002,2.127869706245438,1.8729635110754563,1.997196273413445,2.0028041298551247,0.13067343283199317,-0.12984061877966835,59,0,59,0,0,0,1.0
high_dependency_linear_20,0.025,5000,0.489,0.511,0.049,0.0544,0.0544,0.049,0.0516406,0.051759400000000004,0.0027594000000000004,0.002759399999999995,-0.002759400000000002,2.2093394643411584,1.9844220505946748,2.094246653639657,2.099194823377626,0.11509281070150124,-0.11477277278295106,27,0,27,0,0,0,1.0
high_dependency_linear_20,0.01,5000,0.489,0.511,0.0208,0.0232,0.0232,0.0208,0.0219736,0.022026399999999998,0.0012263999999999999,0.001226399999999999,-0.001226399999999999,2.3355792809117153,2.0914094345168044,2.2107336282574184,2.2161053621836686,0.12484565265429692,-0.12469592766686421,12,0,12,0,0,0,1.0
high_dependency_linear_20,0.005,5000,0.489,0.511,0.0114,0.0124,0.0124,0.0114,0.011889,0.011911,0.0005110000000000001,0.0005109999999999993,-0.0005109999999999993,2.4892603294609468,2.2873580935372804,2.3860627577284976,2.390504606539878,0.10319757173244914,-0.10314651300259747,7,2,7,0,2,0,1.0
mixed_realistic_20,0.2,5000,0.5034,0.49660000000000004,0.5824,0.7404,0.5824,0.7404,0.6619372,0.6608628000000001,-0.07953719999999999,-0.07953719999999997,0.07953719999999986,3.9133160571783945,6.043702747444453,4.860205887885545,4.845986036100913,-0.9468898307071507,1.1977167113435394,797,7,0,797,0,7,0.0
mixed_realistic_20,0.1,5000,0.5034,0.49660000000000004,0.359,0.506,0.4254,0.4396,0.4329998,0.4320002,-0.00759979999999999,-0.00759979999999999,0.00759979999999999,5.258906801827047,5.496408791316204,5.385277577450944,5.368559643450339,-0.1263707756238972,0.12784914786586565,749,14,346,403,14,0,0.46194926568758343
mixed_realistic_20,0.05,5000,0.5034,0.49660000000000004,0.1988,0.3192,0.289,0.229,0.25940936,0.25859064,0.02959064000000001,0.02959064,-0.029590639999999974,6.649657684332337,5.070193063714167,5.854707765790809,5.833167223001697,0.7949499185415281,-0.7629741592875297,609,7,458,151,7,0,0.7520525451559934
mixed_realistic_20,0.025,5000,0.5034,0.49660000000000004,0.1126,0.192,0.1792,0.1254,0.15256996,0.15203004,0.026630040000000008,0.026630039999999994,-0.026630039999999994,7.799877646918288,5.292268591596043,6.538756906212099,6.513599773263496,1.2611207407061888,-1.2213311816674528,406,9,342,64,9,0,0.8423645320197044
mixed_realistic_20,0.01,5000,0.5034,0.49660000000000004,0.0504,0.0944,0.09,0.0548,0.07254959999999999,0.07225039999999999,0.017450400000000005,0.017450400000000005,-0.01745039999999999,9.383833619687882,5.607646798166394,7.493875241314125,7.46178150514535,1.8899583783737572,-1.8541347069789555,222,2,200,22,2,0,0.9009009009009009
mixed_realistic_20,0.005,5000,0.5034,0.49660000000000004,0.0314,0.0536,0.052,0.033,0.04257548,0.04242452,0.00942452,0.009424519999999999,-0.009424519999999999,10.65343265093327,6.694564296944919,8.67990589473997,8.648452675936175,1.9735267561932996,-1.9538883789912562,114,3,106,8,3,0,0.9298245614035088
