library,local_alpha,metric,bootstrap_mean,bootstrap_se,ci_low_95,ci_high_95,bootstrap_probability_gt_zero,bootstrap_probability_lt_zero,bootstrap_repetitions
high_dependency_linear_20,0.2,pi_promising_minus_matched_random,0.004724210159999999,0.0007919396729588021,0.003221492000000033,0.006322563999999978,1.0,0.0,20000
high_dependency_linear_20,0.2,pi_rescue_minus_matched_random,-0.004724210159999999,0.0007919396729588019,-0.006322564000000032,-0.003221491999999981,0.0,1.0,20000
high_dependency_linear_20,0.2,tess_promising_minus_matched_random,0.03149995198918819,0.005297762138187205,0.021439253621986627,0.04219017224819798,1.0,0.0,20000
high_dependency_linear_20,0.2,tess_rescue_minus_matched_random,-0.03128540525097586,0.005226198295154348,-0.04180753548131828,-0.021345539274509533,0.0,1.0,20000
high_dependency_linear_20,0.1,pi_promising_minus_matched_random,0.006653196743999999,0.0008515126441297239,0.00503328,0.008342375999999992,1.0,0.0,20000
high_dependency_linear_20,0.1,pi_rescue_minus_matched_random,-0.006653196743999999,0.0008515126441297241,-0.008342375999999993,-0.005033280000000001,0.0,1.0,20000
high_dependency_linear_20,0.1,tess_promising_minus_matched_random,0.07761005637129909,0.009997665189698522,0.05866969621617286,0.09750206193869758,1.0,0.0,20000
high_dependency_linear_20,0.1,tess_rescue_minus_matched_random,-0.0769981911222982,0.00984159844376914,-0.09656189248133744,-0.058322247080012074,0.0,1.0,20000
high_dependency_linear_20,0.05,pi_promising_minus_matched_random,0.006028455072,0.0007745115262813667,0.004542559999999987,0.007592010000000001,1.0,0.0,20000
high_dependency_linear_20,0.05,pi_rescue_minus_matched_random,-0.006028455072,0.0007745115262813665,-0.0075920100000000015,-0.004542560000000001,0.0,1.0,20000
high_dependency_linear_20,0.05,tess_promising_minus_matched_random,0.13065716041876393,0.016911128870232946,0.098254400697836,0.16490856269566065,1.0,0.0,20000
high_dependency_linear_20,0.05,tess_rescue_minus_matched_random,-0.12981050947784684,0.016694504532832954,-0.16358062669424078,-0.09779595524477372,0.0,1.0,20000
high_dependency_linear_20,0.025,pi_promising_minus_matched_random,0.002756751438,0.000531228665862775,0.0017495890000000036,0.0038410660000000015,1.0,0.0,20000
high_dependency_linear_20,0.025,pi_rescue_minus_matched_random,-0.002756751438,0.000531228665862775,-0.0038410660000000037,-0.0017495890000000013,0.0,1.0,20000
high_dependency_linear_20,0.025,tess_promising_minus_matched_random,0.11499701467523143,0.022247007946970855,0.07281604915960961,0.16035113022518188,1.0,0.0,20000
high_dependency_linear_20,0.025,tess_rescue_minus_matched_random,-0.1146655094050876,0.02212143012035511,-0.15971840504853538,-0.07268968345360104,0.0,1.0,20000
high_dependency_linear_20,0.01,pi_promising_minus_matched_random,0.0012234592100000001,0.00035642057949210814,0.0006064799999999995,0.001959298999999999,1.0,0.0,20000
high_dependency_linear_20,0.01,pi_rescue_minus_matched_random,-0.0012234592100000001,0.0003564205794921082,-0.0019592990000000007,-0.0006064799999999995,0.0,1.0,20000
high_dependency_linear_20,0.01,tess_promising_minus_matched_random,0.12456269487409534,0.036351649695229374,0.0617076669310501,0.19955146791838416,1.0,0.0,20000
high_dependency_linear_20,0.01,tess_rescue_minus_matched_random,-0.12440095580083689,0.036260826464891704,-0.19917820692079258,-0.06167023065818105,0.0,1.0,20000
high_dependency_linear_20,0.005,pi_promising_minus_matched_random,0.000510441626,0.0003074628688667019,-0.00010055999999999958,0.0011338799999999986,0.94085,0.02685,20000
high_dependency_linear_20,0.005,pi_rescue_minus_matched_random,-0.000510441626,0.0003074628688667019,-0.0011338800000000003,0.00010055999999999954,0.02685,0.94085,20000
high_dependency_linear_20,0.005,tess_promising_minus_matched_random,0.10310460842152754,0.06213246859343661,-0.02031072097343619,0.22919573298523632,0.94085,0.02685,20000
high_dependency_linear_20,0.005,tess_rescue_minus_matched_random,-0.1030351357179547,0.0620675097258271,-0.22894842323578857,0.0203127674229738,0.02685,0.94085,20000
