library,policy,replication,best_model,best_selection_metric,p_value,winner_model,winner_selection_roc_auc,naive_empirical_p_value,model_match,score_abs_diff,p_abs_diff,decision_mismatch_alpha_0.2,decision_mismatch_alpha_0.1,decision_mismatch_alpha_0.05,decision_mismatch_alpha_0.025,decision_mismatch_alpha_0.01,decision_mismatch_alpha_0.005
high_dependency_linear_20,fixed_base,45,logreg_l2_c003,0.4987222222222222,0.5162967406518696,logreg_l2_c003,0.4987222222222222,0.5164967006598681,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,96,elastic_net_logreg,0.4697444444444444,0.8428314337132573,elastic_net_logreg,0.4697444444444444,0.8430313937212558,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,130,logreg_l1_c01,0.4845222222222222,0.7002599480103979,logreg_l1_c01,0.4845222222222222,0.7004599080183963,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,182,logreg_l1_c01,0.4558222222222222,0.9294141171765646,logreg_l1_c01,0.4558222222222222,0.9296140771845632,True,0.0,0.0001999600079986008,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,406,elastic_net_logreg,0.4865222222222222,0.6792641471705659,elastic_net_logreg,0.4865222222222222,0.6796640671865627,True,0.0,0.00039992001599675753,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,486,elastic_net_logreg,0.4491222222222222,0.9528094381123776,elastic_net_logreg,0.4491222222222222,0.953009398120376,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,557,logreg_l1_c01,0.4876555555555555,0.6644671065786842,logreg_l1_c01,0.4876555555555555,0.6646670665866826,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,622,logreg_l1_c01,0.4954555555555556,0.5714857028594281,logreg_l1_c01,0.4954555555555556,0.5716856628674265,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,667,logreg_l1_c01,0.4909111111111111,0.626874625074985,logreg_l1_c01,0.4909111111111111,0.6270745850829834,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,687,logreg_l2_c10,0.4918999999999999,0.6100779844031193,logreg_l2_c10,0.4918999999999999,0.6102779444111178,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,699,logreg_l1_c01,0.4895,0.6420715856828634,logreg_l1_c01,0.4895,0.6422715456908619,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,701,logreg_l2_c003,0.4995222222222222,0.5060987802439512,logreg_l2_c003,0.4995222222222222,0.5062987402519497,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,740,logreg_l1_c01,0.4880222222222222,0.6594681063787242,logreg_l1_c01,0.4880222222222222,0.6596680663867227,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,770,elastic_net_logreg,0.4983444444444445,0.5222955408918216,elastic_net_logreg,0.4983444444444445,0.52249550089982,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,896,logreg_l2_c003,0.4898333333333333,0.642871425714857,logreg_l2_c003,0.4898333333333333,0.6430713857228554,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,971,logreg_l1_c01,0.4963333333333333,0.5608878224355129,logreg_l1_c01,0.4963333333333333,0.5610877824435113,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1000,linear_svm_c1,0.4796333333333333,0.75624875024995,linear_svm_c1,0.4796333333333333,0.7564487102579485,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1013,linear_svm_c1,0.4664,0.8666266746650669,linear_svm_c1,0.4664,0.8668266346730654,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1017,logreg_l1_c01,0.4953333333333333,0.5722855428914218,logreg_l1_c01,0.4953333333333333,0.5724855028994201,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1075,logreg_l1_c01,0.4756111111111111,0.7954409118176364,logreg_l1_c01,0.4756111111111111,0.7956408718256349,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1106,logreg_l2_c10,0.4933111111111111,0.5922815436912617,logreg_l2_c10,0.4933111111111111,0.5924815036992601,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1156,elastic_net_logreg,0.4869222222222222,0.673865226954609,elastic_net_logreg,0.4869222222222222,0.6740651869626075,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1229,elastic_net_logreg,0.4795222222222222,0.7568486302739452,elastic_net_logreg,0.4795222222222222,0.7570485902819436,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1271,logreg_l2_c003,0.4985666666666666,0.5182963407318536,logreg_l2_c003,0.4985666666666666,0.5186962607478505,True,0.0,0.00039992001599686855,False,False,False,False,False,False
