library,local_alpha,metric,bootstrap_mean,bootstrap_se,ci_low_95,ci_high_95,bootstrap_probability_gt_zero,bootstrap_probability_lt_zero,bootstrap_repetitions
mixed_realistic_20,0.2,pi_promising_minus_matched_random,-0.079532603154,0.0023691961173199333,-0.084216401,-0.07492476000000002,0.0,1.0,20000
mixed_realistic_20,0.2,pi_rescue_minus_matched_random,0.079532603154,0.002369196117319933,0.07492476,0.08421640099999998,1.0,0.0,20000
mixed_realistic_20,0.2,tess_promising_minus_matched_random,-0.9470588911504038,0.03328817251188817,-1.0132918926703323,-0.883736439234218,0.0,1.0,20000
mixed_realistic_20,0.2,tess_rescue_minus_matched_random,1.1983913293576203,0.050016897142112146,1.1031679776746772,1.2990647552371,1.0,0.0,20000
mixed_realistic_20,0.1,pi_promising_minus_matched_random,-0.0076114001039999995,0.0025425582301666955,-0.012580297999999952,-0.0026027299999999884,0.0012,0.9988,20000
mixed_realistic_20,0.1,pi_rescue_minus_matched_random,0.007611400104,0.002542558230166695,0.0026027299999999754,0.012580297999999995,0.9988,0.0012,20000
mixed_realistic_20,0.1,tess_promising_minus_matched_random,-0.12663148762357238,0.04250407183037839,-0.20983741037791162,-0.04285537980124703,0.0012,0.9988,20000
mixed_realistic_20,0.1,tess_rescue_minus_matched_random,0.1283076477984604,0.043566231707275,0.04303736509188303,0.21414158542650405,0.9988,0.0012,20000
mixed_realistic_20,0.05,pi_promising_minus_matched_random,0.029580605105999996,0.002278953644869913,0.025115530000000014,0.03402964999999999,1.0,0.0,20000
mixed_realistic_20,0.05,pi_rescue_minus_matched_random,-0.029580605105999996,0.0022789536448699133,-0.034029649999999995,-0.025115529999999994,0.0,1.0,20000
mixed_realistic_20,0.05,tess_promising_minus_matched_random,0.7947113618044679,0.06214703333349595,0.6726151437120925,0.9167383265687186,1.0,0.0,20000
mixed_realistic_20,0.05,tess_rescue_minus_matched_random,-0.7625644931727473,0.05721367810519528,-0.8746102180776226,-0.6497013997312733,0.0,1.0,20000
mixed_realistic_20,0.025,pi_promising_minus_matched_random,0.026611386862,0.001905321920214087,0.022861101000000012,0.03034720599999999,1.0,0.0,20000
mixed_realistic_20,0.025,pi_rescue_minus_matched_random,-0.026611386862,0.0019053219202140868,-0.030347205999999963,-0.022861100999999988,0.0,1.0,20000
mixed_realistic_20,0.025,tess_promising_minus_matched_random,1.2603571498403934,0.09250695845523828,1.0792817850457141,1.4416925694995013,1.0,0.0,20000
mixed_realistic_20,0.025,tess_rescue_minus_matched_random,-1.2204062134737803,0.08675414112432779,-1.389849413275977,-1.0499047065529843,0.0,1.0,20000
mixed_realistic_20,0.01,pi_promising_minus_matched_random,0.017435075368,0.0014400488150909459,0.014666692000000007,0.020311442,1.0,0.0,20000
mixed_realistic_20,0.01,pi_rescue_minus_matched_random,-0.017435075368,0.0014400488150909457,-0.020311441999999992,-0.014666692000000004,0.0,1.0,20000
mixed_realistic_20,0.01,tess_promising_minus_matched_random,1.8885340851801609,0.15929900962633212,1.5828059669210521,2.207546020665595,1.0,0.0,20000
mixed_realistic_20,0.01,tess_rescue_minus_matched_random,-1.8525122908282068,0.15330123532003062,-2.158539110382817,-1.557505240107383,0.0,1.0,20000
mixed_realistic_20,0.005,pi_promising_minus_matched_random,0.009420982438,0.0010625423961399167,0.007369912000000002,0.011520324,1.0,0.0,20000
mixed_realistic_20,0.005,pi_rescue_minus_matched_random,-0.009420982437999999,0.0010625423961399167,-0.011520324,-0.007369911999999996,0.0,1.0,20000
mixed_realistic_20,0.005,tess_promising_minus_matched_random,1.973080366257886,0.22527107459222548,1.5400671252488178,2.4203577340914886,1.0,0.0,20000
mixed_realistic_20,0.005,tess_rescue_minus_matched_random,-1.9531968526400967,0.22079674795218193,-2.3910708700307106,-1.5280089055752026,0.0,1.0,20000
