library_or_contrast,local_alpha,metric,estimate,bootstrap_mean,bootstrap_se,ci_low_95,ci_high_95,bootstrap_probability_gt_zero,bootstrap_probability_lt_zero,bootstrap_repetitions,pairing
high_dependency_linear_20,0.2,promising_tess_minus_matched_random,0.03149053828163262,0.03149995198918819,0.005297762138187205,0.021439253621986627,0.04219017224819798,1.0,0.0,20000,same replication IDs across libraries
high_dependency_linear_20,0.2,rescue_tess_minus_matched_random,-0.03128218772027913,-0.03128540525097586,0.005226198295154348,-0.04180753548131828,-0.021345539274509533,0.0,1.0,20000,same replication IDs across libraries
high_dependency_linear_20,0.2,cov_activation_increment,0.004723200000000001,0.00472421016,0.0007919396729588023,0.0032214920000000003,0.006322563999999999,1.0,0.0,20000,same replication IDs across libraries
high_dependency_linear_20,0.1,promising_tess_minus_matched_random,0.07753528280929989,0.07761005637129909,0.009997665189698522,0.05866969621617286,0.09750206193869758,1.0,0.0,20000,same replication IDs across libraries
high_dependency_linear_20,0.1,rescue_tess_minus_matched_random,-0.07693466058365472,-0.0769981911222982,0.00984159844376914,-0.09656189248133744,-0.058322247080012074,0.0,1.0,20000,same replication IDs across libraries
high_dependency_linear_20,0.1,cov_activation_increment,0.0066473999999999995,0.006653196743999999,0.0008515126441297241,0.005033280000000001,0.008342376,1.0,0.0,20000,same replication IDs across libraries
high_dependency_linear_20,0.05,promising_tess_minus_matched_random,0.13067343283199317,0.13065716041876393,0.016911128870232946,0.098254400697836,0.16490856269566065,1.0,0.0,20000,same replication IDs across libraries
high_dependency_linear_20,0.05,rescue_tess_minus_matched_random,-0.12984061877966835,-0.12981050947784684,0.016694504532832954,-0.16358062669424078,-0.09779595524477372,0.0,1.0,20000,same replication IDs across libraries
high_dependency_linear_20,0.05,cov_activation_increment,0.0060298,0.006028455072,0.0007745115262813665,0.00454256,0.00759201,1.0,0.0,20000,same replication IDs across libraries
high_dependency_linear_20,0.025,promising_tess_minus_matched_random,0.11509281070150124,0.11499701467523143,0.022247007946970855,0.07281604915960961,0.16035113022518188,1.0,0.0,20000,same replication IDs across libraries
high_dependency_linear_20,0.025,rescue_tess_minus_matched_random,-0.11477277278295106,-0.1146655094050876,0.02212143012035511,-0.15971840504853538,-0.07268968345360104,0.0,1.0,20000,same replication IDs across libraries
high_dependency_linear_20,0.025,cov_activation_increment,0.0027594000000000004,0.0027567514380000004,0.000531228665862775,0.001749589,0.0038410659999999976,1.0,0.0,20000,same replication IDs across libraries
high_dependency_linear_20,0.01,promising_tess_minus_matched_random,0.12484565265429692,0.12456269487409534,0.036351649695229374,0.0617076669310501,0.19955146791838416,1.0,0.0,20000,same replication IDs across libraries
high_dependency_linear_20,0.01,rescue_tess_minus_matched_random,-0.12469592766686421,-0.12440095580083689,0.036260826464891704,-0.19917820692079258,-0.06167023065818105,0.0,1.0,20000,same replication IDs across libraries
high_dependency_linear_20,0.01,cov_activation_increment,0.0012263999999999999,0.0012234592100000001,0.00035642057949210814,0.00060648,0.001959298999999998,1.0,0.0,20000,same replication IDs across libraries
high_dependency_linear_20,0.005,promising_tess_minus_matched_random,0.10319757173244914,0.10310460842152754,0.06213246859343661,-0.02031072097343619,0.22919573298523632,0.94085,0.02685,20000,same replication IDs across libraries
high_dependency_linear_20,0.005,rescue_tess_minus_matched_random,-0.10314651300259747,-0.1030351357179547,0.0620675097258271,-0.22894842323578857,0.0203127674229738,0.02685,0.94085,20000,same replication IDs across libraries
high_dependency_linear_20,0.005,cov_activation_increment,0.0005110000000000001,0.000510441626,0.0003074628688667019,-0.00010056000000000001,0.00113388,0.94085,0.02685,20000,same replication IDs across libraries
mixed_realistic_20,0.2,promising_tess_minus_matched_random,-0.9468898307071507,-0.947036729961049,0.03359053950061814,-1.0148422860539097,-0.8821547559895082,0.0,1.0,20000,same replication IDs across libraries
mixed_realistic_20,0.2,rescue_tess_minus_matched_random,1.1977167113435394,1.1983583656162624,0.05047437983412432,1.1019943447276939,1.2998582057781276,1.0,0.0,20000,same replication IDs across libraries
mixed_realistic_20,0.2,cov_activation_increment,-0.07953719999999999,-0.07952590501199999,0.0023750006331882062,-0.08416848599999999,-0.074919624,0.0,1.0,20000,same replication IDs across libraries
mixed_realistic_20,0.1,promising_tess_minus_matched_random,-0.1263707756238972,-0.12675957743254584,0.04278549388652487,-0.2109380441953432,-0.04321772335932719,0.00155,0.99845,20000,same replication IDs across libraries
mixed_realistic_20,0.1,rescue_tess_minus_matched_random,0.12784914786586565,0.1284414772490913,0.0438542619082502,0.04333042599656798,0.21529646689761875,0.99845,0.00155,20000,same replication IDs across libraries
mixed_realistic_20,0.1,cov_activation_increment,-0.00759979999999999,-0.00761823588,0.002559081413971348,-0.012639606000000001,-0.0026100679999999884,0.00155,0.99845,20000,same replication IDs across libraries
mixed_realistic_20,0.05,promising_tess_minus_matched_random,0.7949499185415281,0.7947894971149199,0.06228775405908267,0.6752856706826483,0.918013012636766,1.0,0.0,20000,same replication IDs across libraries
