library,local_alpha,score_bin,n,score_min,score_max,score_mean,promising_rate,base_rejection_rate,full_rejection_rate,incremental_gain_rate,incremental_loss_rate,mean_incremental_effect
high_dependency_linear_20,0.05,"(0.408, 0.476]",500,0.4091222222222222,0.4761777777777777,0.46251721111111105,0.0,0.0,0.0,0.0,0.0,0.0
high_dependency_linear_20,0.05,"(0.476, 0.488]",500,0.4762111111111111,0.4880888888888889,0.48256958888888885,0.0,0.0,0.0,0.0,0.0,0.0
high_dependency_linear_20,0.05,"(0.488, 0.497]",500,0.4881,0.4973555555555556,0.492901,0.0,0.0,0.0,0.0,0.0,0.0
high_dependency_linear_20,0.05,"(0.497, 0.505]",500,0.4973777777777777,0.5045666666666667,0.5009143888888888,0.0,0.0,0.0,0.0,0.0,0.0
high_dependency_linear_20,0.05,"(0.505, 0.512]",500,0.5045888888888888,0.5118111111111112,0.5083504111111111,0.0,0.0,0.0,0.0,0.0,0.0
high_dependency_linear_20,0.05,"(0.512, 0.519]",500,0.5118222222222222,0.5190222222222223,0.5153664222222223,0.89,0.0,0.0,0.0,0.0,0.0
high_dependency_linear_20,0.05,"(0.519, 0.527]",500,0.5190333333333333,0.5271888888888889,0.5231003555555556,1.0,0.0,0.0,0.0,0.0,0.0
high_dependency_linear_20,0.05,"(0.527, 0.537]",500,0.5272,0.5368777777777778,0.5318330888888889,1.0,0.0,0.002,0.002,0.0,0.002
high_dependency_linear_20,0.05,"(0.537, 0.549]",500,0.5369,0.5493444444444444,0.5424271666666667,1.0,0.0,0.074,0.074,0.0,0.074
high_dependency_linear_20,0.05,"(0.549, 0.618]",500,0.5493777777777777,0.6179444444444444,0.5629531666666667,1.0,0.916,0.958,0.042,0.0,0.042
