library,local_alpha,score_bin,n,score_min,score_max,score_mean,promising_rate,base_rejection_rate,full_rejection_rate,incremental_gain_rate,incremental_loss_rate,mean_incremental_effect
mixed_realistic_20,0.05,"(0.445, 0.501]",500,0.4459444444444444,0.5005777777777778,0.49050795555555554,0.0,0.0,0.012,0.012,0.0,0.012
mixed_realistic_20,0.05,"(0.501, 0.509]",500,0.5005833333333333,0.5093888888888889,0.5054699777777778,0.0,0.0,0.038,0.038,0.0,0.038
mixed_realistic_20,0.05,"(0.509, 0.517]",501,0.5094111111111111,0.516588888888889,0.5131643490796185,0.0,0.0,0.05189620758483034,0.05189620758483034,0.0,0.05189620758483034
mixed_realistic_20,0.05,"(0.517, 0.523]",499,0.5166277777777778,0.5230777777777778,0.5198669561344912,0.0,0.0,0.08817635270541083,0.08817635270541083,0.0,0.08817635270541083
mixed_realistic_20,0.05,"(0.523, 0.529]",500,0.5230833333333333,0.5287111111111111,0.5258857333333333,0.034,0.0,0.124,0.124,0.0,0.124
mixed_realistic_20,0.05,"(0.529, 0.535]",500,0.5287388888888889,0.5345555555555556,0.5315760888888889,1.0,0.0,0.21,0.21,0.0,0.21
mixed_realistic_20,0.05,"(0.535, 0.541]",501,0.5345833333333333,0.5409555555555555,0.5376797737857618,1.0,0.05788423153692615,0.2934131736526946,0.2435129740518962,0.007984031936127744,0.23552894211576847
mixed_realistic_20,0.05,"(0.541, 0.549]",499,0.5409999999999999,0.5488166666666667,0.5447172344689378,1.0,0.11022044088176353,0.4709418837675351,0.3667334669338677,0.006012024048096192,0.36072144288577157
mixed_realistic_20,0.05,"(0.549, 0.56]",500,0.5488777777777777,0.5600222222222222,0.5539961777777778,1.0,0.82,0.904,0.084,0.0,0.084
mixed_realistic_20,0.05,"(0.56, 0.62]",500,0.5601111111111111,0.6198166666666667,0.5727310333333333,1.0,1.0,1.0,0.0,0.0,0.0
