library,local_alpha,cov_activation_increment,bootstrap_mean,bootstrap_se,ci_low_95,ci_high_95,bootstrap_probability_gt_zero,bootstrap_probability_lt_zero,bootstrap_repetitions
high_dependency_linear_20,0.2,0.004723200000000001,0.00472421016,0.0007919396729588023,0.0032214920000000003,0.006322563999999999,1.0,0.0,20000
high_dependency_linear_20,0.1,0.0066473999999999995,0.006653196743999999,0.0008515126441297241,0.005033280000000001,0.008342376,1.0,0.0,20000
high_dependency_linear_20,0.05,0.0060298,0.006028455072,0.0007745115262813665,0.00454256,0.00759201,1.0,0.0,20000
high_dependency_linear_20,0.025,0.0027594000000000004,0.0027567514380000004,0.000531228665862775,0.001749589,0.0038410659999999976,1.0,0.0,20000
high_dependency_linear_20,0.01,0.0012263999999999999,0.0012234592100000001,0.00035642057949210814,0.00060648,0.001959298999999998,1.0,0.0,20000
high_dependency_linear_20,0.005,0.0005110000000000001,0.000510441626,0.0003074628688667019,-0.00010056000000000001,0.00113388,0.94085,0.02685,20000
mixed_realistic_20,0.2,-0.07953719999999999,-0.079532603154,0.0023691961173199333,-0.084216401,-0.07492476,0.0,1.0,20000
mixed_realistic_20,0.1,-0.00759979999999999,-0.007611400104,0.0025425582301666955,-0.012580297999999986,-0.0026027300000000153,0.0012,0.9988,20000
mixed_realistic_20,0.05,0.02959064000000001,0.029580605105999996,0.0022789536448699133,0.02511553,0.03402965,1.0,0.0,20000
mixed_realistic_20,0.025,0.026630040000000008,0.026611386862,0.0019053219202140872,0.022861101000000005,0.030347206000000005,1.0,0.0,20000
mixed_realistic_20,0.01,0.017450400000000005,0.017435075368000003,0.0014400488150909457,0.014666692,0.020311441999999996,1.0,0.0,20000
mixed_realistic_20,0.005,0.00942452,0.009420982438,0.0010625423961399167,0.007369911999999998,0.011520324,1.0,0.0,20000
