library,local_alpha,n,promising_activation_rate,pi_base,pi_full,pi_promising_observed,pi_random_observed,pi_rescue_observed,mean_incremental_effect_E_D,mean_activated_increment_E_AD,cov_activation_increment,mean_D_given_promising,mean_D_given_rescue,gain_count_total,loss_count_total,gain_count_promising,gain_count_rescue,loss_count_promising,loss_count_rescue,pi_promising_from_identity,pi_rescue_from_identity,pi_random_population_benchmark,promising_identity_error,rescue_identity_error,tess_base,tess_full,tess_promising,tess_random,tess_rescue
high_dependency_linear_20,0.2,5000,0.489,0.32,0.3312,0.3302,0.3256,0.321,0.0112,0.0102,0.004723200000000001,0.020858895705521473,0.0019569471624266144,59,3,54,5,3,0,0.3302,0.321,0.3254768,0.0,0.0,1.728315600162386,1.8027418441736909,1.7960461606963383,1.7653742175134315,1.73491077444723
high_dependency_linear_20,0.1,5000,0.489,0.1764,0.1898,0.1896,0.1834,0.1766,0.0134,0.0132,0.0066473999999999995,0.026993865030674847,0.0003913894324853229,69,2,68,1,2,0,0.1896,0.1766,0.1829526,0.0,0.0,1.8419642559341145,1.9976567777733023,1.9953141339057927,1.9229774914414237,1.844269349225598
high_dependency_linear_20,0.05,5000,0.489,0.0916,0.1034,0.1034,0.0976,0.0916,0.0118,0.0118,0.0060298,0.024130879345603273,0.0,59,0,59,0,0,0,0.1034,0.0916,0.0973702,0.0,0.0,1.8729635110754563,2.127869706245438,2.127869706245438,2.002160310905443,1.8729635110754563
high_dependency_linear_20,0.025,5000,0.489,0.049,0.0544,0.0544,0.0522,0.049,0.0054,0.0054,0.0027594000000000004,0.011042944785276074,0.0,27,0,27,0,0,0,0.054400000000000004,0.049,0.0516406,-6.938893903907228e-18,0.0,1.9844220505946748,2.2093394643411584,2.2093394643411584,2.117551783389626,1.9844220505946748
high_dependency_linear_20,0.01,5000,0.489,0.0208,0.0232,0.0232,0.022,0.0208,0.0024,0.0024,0.0012263999999999999,0.0049079754601227,0.0,12,0,12,0,0,0,0.0232,0.0208,0.0219736,0.0,0.0,2.0914094345168044,2.3355792809117153,2.3355792809117153,2.2134194589695784,2.0914094345168044
high_dependency_linear_20,0.005,5000,0.489,0.0114,0.0124,0.0124,0.0122,0.0114,0.001,0.001,0.0005110000000000001,0.002044989775051125,0.0,7,2,7,0,2,0,0.012400000000000001,0.0114,0.011889,-1.734723475976807e-18,0.0,2.2873580935372804,2.4892603294609468,2.4892603294609468,2.448863532261388,2.2873580935372804
mixed_realistic_20,0.2,5000,0.5034,0.5824,0.7404,0.5824,0.659,0.7404,0.158,0.0,-0.07953719999999999,0.0,0.31816351188078934,797,7,0,797,0,7,0.5824,0.7404000000000001,0.6619372,0.0,-1.1102230246251565e-16,3.9133160571783945,6.043702747444453,3.9133160571783945,4.821438017644872,6.043702747444453
mixed_realistic_20,0.1,5000,0.5034,0.359,0.506,0.4254,0.4314,0.4396,0.147,0.0664,-0.00759979999999999,0.1319030591974573,0.16230366492146597,749,14,346,403,14,0,0.4254,0.4396,0.4329998,0.0,0.0,4.22099131999106,6.693397022510016,5.258906801827047,5.358535654844245,5.496408791316204
mixed_realistic_20,0.05,5000,0.5034,0.1988,0.3192,0.289,0.2582,0.229,0.1204,0.0902,0.02959064000000001,0.17918156535558205,0.0608135320177205,609,7,458,151,7,0,0.28900000000000003,0.22899999999999998,0.25940936,-5.551115123125783e-17,2.7755575615628914e-17,4.321123800624308,7.495847289861186,6.649657684332337,5.822897856198891,5.070193063714167
mixed_realistic_20,0.025,5000,0.5034,0.1126,0.192,0.1792,0.1518,0.1254,0.0794,0.0666,0.026630040000000008,0.13230035756853398,0.02577527184857028,406,9,342,64,9,0,0.17920000000000003,0.1254,0.15256996,-2.7755575615628914e-17,0.0,4.718395846569913,8.420682414264759,7.799877646918288,6.502886112565821,5.292268591596043
mixed_realistic_20,0.01,5000,0.5034,0.0504,0.0944,0.09,0.0716,0.0548,0.044,0.0396,0.017450400000000005,0.07866507747318235,0.008860249697946033,222,2,200,22,2,0,0.09,0.054799999999999995,0.07254959999999999,0.0,6.938893903907228e-18,5.145543038610192,9.866095320453695,9.383833619687882,7.392051933863706,5.607646798166394
mixed_realistic_20,0.005,5000,0.5034,0.0314,0.0536,0.052,0.0418,0.033,0.0222,0.0206,0.00942452,0.04092173222089789,0.003221908981071285,114,3,106,8,3,0,0.052,0.032999999999999995,0.04257548,0.0,6.938893903907228e-18,6.364744701611254,10.990425268712643,10.65343265093327,8.518383693589563,6.694564296944919
