bootstrap_replication,delta_tess,tess_promising,tess_matched_random,pi_promising,pi_matched_random,pi_base,pi_full,activation_rate,cov_activation_increment,trigger_threshold,trigger_tie_probability,incremental_gain_rate,reverse_transition_rate,reference_unique_repetitions,evaluation_unique_repetitions
1,0.7358217916350629,6.210436274808361,5.474614483173298,0.2728,0.24482895999999998,0.188,0.3036,0.4916,0.027971040000000003,0.5280777777777778,1.0,0.1176,0.002,3131.0,3179.0
2,0.7661044215029778,6.540284462008593,5.774180040505615,0.285,0.256344,0.1998,0.3138,0.496,0.028655999999999994,0.5287166666666666,1.0,0.1164,0.0024,3154.0,3168.0
3,0.6604498453809065,6.825941231803179,6.165491386422272,0.2954,0.2711216,0.2138,0.3258,0.5118,0.0242784,0.5283222222222222,0.5,0.1146,0.0026,3133.0,3161.0
4,0.8268047811510053,7.020594225563523,6.193789444412518,0.3024,0.2721788,0.2066,0.3332,0.518,0.030221200000000004,0.5281666666666667,0.5,0.128,0.0014,3152.0,3196.0
5,0.8472207383419326,6.600363787663217,5.7531430493212845,0.2872,0.25554112,0.1896,0.3208,0.5026,0.03165888,0.5283111111111111,0.5,0.1324,0.0012,3170.0,3146.0
6,0.8509409726817143,6.743109812429106,5.8921688397473915,0.2924,0.26083103999999996,0.1914,0.3258,0.5166,0.03156896000000002,0.5281222222222223,0.6666666666666666,0.1362,0.0018,3163.0,3132.0
7,0.7528475839960773,6.948067475815542,6.195219891819464,0.2998,0.2722322,0.2082,0.334,0.509,0.027567800000000003,0.5285,0.6666666666666666,0.1284,0.0026,3164.0,3172.0
8,0.7137885512538711,6.5130367626099535,5.799248211356082,0.284,0.2572996,0.1968,0.3158,0.5084,0.026700400000000006,0.5280777777777778,0.6666666666666666,0.1204,0.0014,3161.0,3123.0
9,0.869766495247565,6.770681201193884,5.900914705946319,0.2934,0.26116256,0.1982,0.3206,0.5144,0.03223744000000002,0.5280777777777778,0.16666666666666666,0.1242,0.0018,3177.0,3169.0
10,0.8332088031975298,6.404425196205915,5.571216393008386,0.28,0.2485616,0.1892,0.3084,0.498,0.031438400000000005,0.5289,1.0,0.1206,0.0014,3168.0,3166.0
11,0.7293262120110677,6.291030543144761,5.561704331133694,0.2758,0.24819488,0.1904,0.3048,0.5052,0.027605120000000004,0.5280777777777778,1.0,0.116,0.0016,3197.0,3128.0
12,1.0268260909613502,6.754133689311028,5.727307598349678,0.2928,0.25455392,0.1832,0.323,0.5104,0.03824608,0.5284555555555556,0.25,0.1418,0.002,3149.0,3126.0
13,0.8458506318170658,6.9759304586148385,6.130079826797773,0.3008,0.26979648,0.2082,0.331,0.5016,0.031003519999999993,0.5289222222222222,0.6666666666666666,0.1238,0.001,3151.0,3147.0
14,0.7856383591699485,6.970354675437629,6.18471631626768,0.3006,0.27183999999999997,0.211,0.331,0.507,0.02876,0.5283055555555556,1.0,0.1214,0.0014,3152.0,3151.0
15,0.8069378944825951,6.898014237163181,6.091076342680586,0.298,0.26833416,0.2048,0.3286,0.5132,0.029665840000000013,0.5286777777777778,1.0,0.1248,0.001,3140.0,3156.0
16,0.8086724999870807,6.770681201193884,5.962008701206804,0.2934,0.26347424,0.2026,0.323,0.5056,0.029925760000000003,0.5282111111111111,0.6666666666666666,0.1232,0.0028,3148.0,3160.0
17,0.7272530285587262,6.4912659889950275,5.764012960436301,0.2832,0.25595608000000003,0.1948,0.319,0.4924,0.027243920000000005,0.5285,0.75,0.126,0.0018,3154.0,3180.0
18,0.8621115822085557,7.020594225563523,6.158482643354968,0.3024,0.27085952,0.2104,0.332,0.4972,0.03154048,0.5289333333333333,1.0,0.1222,0.0006,3145.0,3175.0
19,0.9027403605518298,6.7651638031816175,5.862423442629788,0.2932,0.2597024,0.1964,0.322,0.504,0.0334976,0.5287111111111111,1.0,0.127,0.0014,3216.0,3199.0
20,0.8224523265873724,6.551194213690171,5.728741887102799,0.2854,0.25460876,0.1928,0.315,0.5058,0.030791239999999998,0.5284222222222222,1.0,0.1232,0.001,3158.0,3161.0
21,0.8214818674829472,6.474953848247357,5.65347198076441,0.2826,0.25172536,0.187,0.3176,0.4956,0.03087464000000001,0.5288555555555555,0.5,0.1312,0.0006,3163.0,3193.0
22,0.947268832127298,6.715577360817183,5.768308528689885,0.2914,0.25612,0.1934,0.3214,0.49,0.035280000000000006,0.5286833333333333,0.6666666666666666,0.1298,0.0018,3160.0,3162.0
23,0.852199290471356,6.848089175958784,5.995889885487428,0.2962,0.26475311999999995,0.2002,0.3254,0.5156,0.03144688000000001,0.5278555555555555,1.0,0.1266,0.0014,3157.0,3164.0
