library,pool_size,target_auc,candidate_name,winner_count,n_replications,winner_frequency
high_dependency_linear_20,7,0.5,logreg_l1_c01,900,2000,0.45
high_dependency_linear_20,7,0.5,logreg_l2_c003,355,2000,0.1775
high_dependency_linear_20,7,0.5,linear_svm_c1,286,2000,0.143
high_dependency_linear_20,7,0.5,logreg_l2_c10,273,2000,0.1365
high_dependency_linear_20,7,0.5,elastic_net_logreg,144,2000,0.072
high_dependency_linear_20,7,0.5,logreg_l2_c1,25,2000,0.0125
high_dependency_linear_20,7,0.5,logreg_l2_c01,17,2000,0.0085
high_dependency_linear_20,20,0.5,logreg_l1_c003,580,2000,0.29
high_dependency_linear_20,20,0.5,logreg_l1_c01,535,2000,0.2675
high_dependency_linear_20,20,0.5,logreg_l2_c001,214,2000,0.107
high_dependency_linear_20,20,0.5,logreg_l1_c03,177,2000,0.0885
high_dependency_linear_20,20,0.5,linear_svm_c1,85,2000,0.0425
high_dependency_linear_20,20,0.5,logreg_l2_c100,81,2000,0.0405
high_dependency_linear_20,20,0.5,linear_svm_c01,76,2000,0.038
high_dependency_linear_20,20,0.5,elastic_net_c01_r025,65,2000,0.0325
high_dependency_linear_20,20,0.5,logreg_l2_c30,47,2000,0.0235
high_dependency_linear_20,20,0.5,logreg_l1_c1,30,2000,0.015
high_dependency_linear_20,20,0.5,logreg_l2_c10,22,2000,0.011
high_dependency_linear_20,20,0.5,logreg_l2_c003,21,2000,0.0105
high_dependency_linear_20,20,0.5,elastic_net_c1_r075,15,2000,0.0075
high_dependency_linear_20,20,0.5,logreg_l1_c3,10,2000,0.005
high_dependency_linear_20,20,0.5,logreg_l2_c01,9,2000,0.0045
high_dependency_linear_20,20,0.5,logreg_l2_c1,9,2000,0.0045
high_dependency_linear_20,20,0.5,logreg_l2_c3,8,2000,0.004
high_dependency_linear_20,20,0.5,elastic_net_logreg,6,2000,0.003
high_dependency_linear_20,20,0.5,elastic_net_c1_r025,5,2000,0.0025
high_dependency_linear_20,20,0.5,logreg_l2_c03,5,2000,0.0025
high_dependency_linear_20,7,0.6,logreg_l1_c01,1323,2000,0.6615
high_dependency_linear_20,7,0.6,logreg_l2_c003,251,2000,0.1255
high_dependency_linear_20,7,0.6,logreg_l2_c10,151,2000,0.0755
high_dependency_linear_20,7,0.6,linear_svm_c1,148,2000,0.074
high_dependency_linear_20,7,0.6,elastic_net_logreg,99,2000,0.0495
high_dependency_linear_20,7,0.6,logreg_l2_c01,14,2000,0.007
high_dependency_linear_20,7,0.6,logreg_l2_c1,14,2000,0.007
high_dependency_linear_20,20,0.6,logreg_l1_c01,1195,2000,0.5975
high_dependency_linear_20,20,0.6,logreg_l1_c03,178,2000,0.089
high_dependency_linear_20,20,0.6,logreg_l2_c001,153,2000,0.0765
high_dependency_linear_20,20,0.6,logreg_l1_c003,104,2000,0.052
high_dependency_linear_20,20,0.6,elastic_net_c01_r025,72,2000,0.036
high_dependency_linear_20,20,0.6,linear_svm_c1,63,2000,0.0315
high_dependency_linear_20,20,0.6,logreg_l2_c100,55,2000,0.0275
high_dependency_linear_20,20,0.6,linear_svm_c01,51,2000,0.0255
high_dependency_linear_20,20,0.6,logreg_l1_c1,24,2000,0.012
high_dependency_linear_20,20,0.6,logreg_l2_c30,20,2000,0.01
high_dependency_linear_20,20,0.6,logreg_l2_c10,18,2000,0.009
high_dependency_linear_20,20,0.6,logreg_l2_c003,13,2000,0.0065
high_dependency_linear_20,20,0.6,logreg_l2_c3,11,2000,0.0055
high_dependency_linear_20,20,0.6,logreg_l1_c3,10,2000,0.005
high_dependency_linear_20,20,0.6,elastic_net_c1_r075,8,2000,0.004
high_dependency_linear_20,20,0.6,logreg_l2_c01,7,2000,0.0035
high_dependency_linear_20,20,0.6,elastic_net_logreg,5,2000,0.0025
high_dependency_linear_20,20,0.6,logreg_l2_c03,5,2000,0.0025
high_dependency_linear_20,20,0.6,elastic_net_c1_r025,4,2000,0.002
high_dependency_linear_20,20,0.6,logreg_l2_c1,4,2000,0.002
high_dependency_linear_20,7,0.65,logreg_l1_c01,1868,2000,0.934
high_dependency_linear_20,7,0.65,logreg_l2_c003,52,2000,0.026
high_dependency_linear_20,7,0.65,linear_svm_c1,30,2000,0.015
high_dependency_linear_20,7,0.65,elastic_net_logreg,29,2000,0.0145
high_dependency_linear_20,7,0.65,logreg_l2_c10,19,2000,0.0095
high_dependency_linear_20,7,0.65,logreg_l2_c01,1,2000,0.0005
high_dependency_linear_20,7,0.65,logreg_l2_c1,1,2000,0.0005
high_dependency_linear_20,20,0.65,logreg_l1_c01,1714,2000,0.857
high_dependency_linear_20,20,0.65,logreg_l1_c003,106,2000,0.053
high_dependency_linear_20,20,0.65,logreg_l1_c03,72,2000,0.036
high_dependency_linear_20,20,0.65,logreg_l2_c001,29,2000,0.0145
high_dependency_linear_20,20,0.65,linear_svm_c01,15,2000,0.0075
high_dependency_linear_20,20,0.65,elastic_net_c01_r025,14,2000,0.007
high_dependency_linear_20,20,0.65,linear_svm_c1,11,2000,0.0055
high_dependency_linear_20,20,0.65,logreg_l1_c1,9,2000,0.0045
high_dependency_linear_20,20,0.65,logreg_l2_c100,8,2000,0.004
high_dependency_linear_20,20,0.65,logreg_l2_c003,7,2000,0.0035
high_dependency_linear_20,20,0.65,logreg_l2_c30,4,2000,0.002
high_dependency_linear_20,20,0.65,elastic_net_c1_r075,3,2000,0.0015
high_dependency_linear_20,20,0.65,logreg_l1_c3,2,2000,0.001
high_dependency_linear_20,20,0.65,logreg_l2_c10,2,2000,0.001
high_dependency_linear_20,20,0.65,elastic_net_c1_r025,1,2000,0.0005
high_dependency_linear_20,20,0.65,logreg_l2_c01,1,2000,0.0005
high_dependency_linear_20,20,0.65,logreg_l2_c1,1,2000,0.0005
high_dependency_linear_20,20,0.65,logreg_l2_c3,1,2000,0.0005
mixed_realistic_20,7,0.5,decision_tree,360,2000,0.18
mixed_realistic_20,7,0.5,gaussian_nb,340,2000,0.17
mixed_realistic_20,7,0.5,hist_gradient_boosting,320,2000,0.16
mixed_realistic_20,7,0.5,rbf_svm,320,2000,0.16
mixed_realistic_20,7,0.5,random_forest,319,2000,0.1595
mixed_realistic_20,7,0.5,linear_svm,172,2000,0.086
mixed_realistic_20,7,0.5,logistic_regression,169,2000,0.0845
mixed_realistic_20,20,0.5,knn_15_distance,206,2000,0.103
mixed_realistic_20,20,0.5,logreg_l1_c01,182,2000,0.091
mixed_realistic_20,20,0.5,decision_tree,178,2000,0.089
mixed_realistic_20,20,0.5,adaboost_stump,161,2000,0.0805
mixed_realistic_20,20,0.5,gaussian_nb,147,2000,0.0735
mixed_realistic_20,20,0.5,extra_trees,140,2000,0.07
mixed_realistic_20,20,0.5,random_forest_tuned,139,2000,0.0695
mixed_realistic_20,20,0.5,gradient_boosting,126,2000,0.063
mixed_realistic_20,20,0.5,random_forest,117,2000,0.0585
mixed_realistic_20,20,0.5,hist_gradient_boosting,109,2000,0.0545
mixed_realistic_20,20,0.5,hist_gb_shallow,101,2000,0.0505
mixed_realistic_20,20,0.5,random_forest_shallow,86,2000,0.043
mixed_realistic_20,20,0.5,rbf_svm_c3,73,2000,0.0365
mixed_realistic_20,20,0.5,linear_discriminant_shrinkage,50,2000,0.025
mixed_realistic_20,20,0.5,linear_svm,47,2000,0.0235
mixed_realistic_20,20,0.5,logistic_regression,36,2000,0.018
mixed_realistic_20,20,0.5,rbf_svm_c03,35,2000,0.0175
mixed_realistic_20,20,0.5,rbf_svm,34,2000,0.017
mixed_realistic_20,20,0.5,elastic_net_c1_r05,26,2000,0.013
mixed_realistic_20,20,0.5,logreg_l2_c01,7,2000,0.0035
mixed_realistic_20,7,0.6,linear_svm,363,2000,0.1815
mixed_realistic_20,7,0.6,logistic_regression,357,2000,0.1785
mixed_realistic_20,7,0.6,random_forest,342,2000,0.171
mixed_realistic_20,7,0.6,hist_gradient_boosting,328,2000,0.164
mixed_realistic_20,7,0.6,rbf_svm,246,2000,0.123
mixed_realistic_20,7,0.6,gaussian_nb,228,2000,0.114
mixed_realistic_20,7,0.6,decision_tree,136,2000,0.068
mixed_realistic_20,20,0.6,logreg_l1_c01,838,2000,0.419
mixed_realistic_20,20,0.6,adaboost_stump,222,2000,0.111
mixed_realistic_20,20,0.6,linear_discriminant_shrinkage,83,2000,0.0415
mixed_realistic_20,20,0.6,hist_gradient_boosting,82,2000,0.041
mixed_realistic_20,20,0.6,knn_15_distance,76,2000,0.038
mixed_realistic_20,20,0.6,random_forest,75,2000,0.0375
mixed_realistic_20,20,0.6,random_forest_tuned,75,2000,0.0375
mixed_realistic_20,20,0.6,hist_gb_shallow,72,2000,0.036
mixed_realistic_20,20,0.6,random_forest_shallow,71,2000,0.0355
mixed_realistic_20,20,0.6,gradient_boosting,69,2000,0.0345
mixed_realistic_20,20,0.6,gaussian_nb,58,2000,0.029
mixed_realistic_20,20,0.6,elastic_net_c1_r05,52,2000,0.026
mixed_realistic_20,20,0.6,extra_trees,46,2000,0.023
mixed_realistic_20,20,0.6,linear_svm,43,2000,0.0215
mixed_realistic_20,20,0.6,rbf_svm_c3,36,2000,0.018
mixed_realistic_20,20,0.6,decision_tree,35,2000,0.0175
mixed_realistic_20,20,0.6,logistic_regression,25,2000,0.0125
mixed_realistic_20,20,0.6,rbf_svm_c03,17,2000,0.0085
mixed_realistic_20,20,0.6,rbf_svm,15,2000,0.0075
mixed_realistic_20,20,0.6,logreg_l2_c01,10,2000,0.005
mixed_realistic_20,7,0.65,linear_svm,630,2000,0.315
mixed_realistic_20,7,0.65,logistic_regression,498,2000,0.249
mixed_realistic_20,7,0.65,random_forest,302,2000,0.151
mixed_realistic_20,7,0.65,hist_gradient_boosting,264,2000,0.132
mixed_realistic_20,7,0.65,rbf_svm,162,2000,0.081
mixed_realistic_20,7,0.65,gaussian_nb,111,2000,0.0555
mixed_realistic_20,7,0.65,decision_tree,33,2000,0.0165
mixed_realistic_20,20,0.65,logreg_l1_c01,1577,2000,0.7885
mixed_realistic_20,20,0.65,adaboost_stump,205,2000,0.1025
mixed_realistic_20,20,0.65,gradient_boosting,28,2000,0.014
mixed_realistic_20,20,0.65,random_forest_shallow,26,2000,0.013
mixed_realistic_20,20,0.65,random_forest_tuned,23,2000,0.0115
mixed_realistic_20,20,0.65,elastic_net_c1_r05,21,2000,0.0105
mixed_realistic_20,20,0.65,linear_discriminant_shrinkage,20,2000,0.01
mixed_realistic_20,20,0.65,linear_svm,17,2000,0.0085
mixed_realistic_20,20,0.65,knn_15_distance,13,2000,0.0065
mixed_realistic_20,20,0.65,hist_gb_shallow,11,2000,0.0055
mixed_realistic_20,20,0.65,random_forest,11,2000,0.0055
mixed_realistic_20,20,0.65,extra_trees,9,2000,0.0045
mixed_realistic_20,20,0.65,gaussian_nb,9,2000,0.0045
mixed_realistic_20,20,0.65,hist_gradient_boosting,8,2000,0.004
mixed_realistic_20,20,0.65,rbf_svm_c3,8,2000,0.004
mixed_realistic_20,20,0.65,logistic_regression,5,2000,0.0025
mixed_realistic_20,20,0.65,rbf_svm_c03,5,2000,0.0025
mixed_realistic_20,20,0.65,decision_tree,2,2000,0.001
mixed_realistic_20,20,0.65,logreg_l2_c01,1,2000,0.0005
mixed_realistic_20,20,0.65,rbf_svm,1,2000,0.0005
