model,logreg_l2_c003,logreg_l2_c01,logreg_l2_c1,logreg_l2_c10,logreg_l1_c01,elastic_net_logreg,linear_svm_c1,logreg_l2_c001,logreg_l2_c03,logreg_l2_c3,logreg_l2_c30,logreg_l2_c100,logreg_l1_c003,logreg_l1_c03,logreg_l1_c1,logreg_l1_c3,elastic_net_c01_r025,elastic_net_c1_r025,elastic_net_c1_r075,linear_svm_c01
logreg_l2_c003,1.0,0.9968709585623111,0.9870625083284934,0.9843317217859041,0.6093461700886044,0.9883400826656715,0.9885172071741497,0.9962033999667655,0.9915095857171238,0.9851218973154506,0.9840937768200225,0.9840097528297245,0.012103356032333413,0.9399540206293362,0.9870952935937125,0.98677799325997,0.9651646333304257,0.9878237701329127,0.9880150884838478,0.9895655513781415
logreg_l2_c01,0.9968709585623111,1.0,0.9962800002653158,0.9946578552656402,0.5983498770854204,0.9959408733519766,0.9961391946212955,0.9868188228800399,0.998525638188696,0.995142185679491,0.9945107162253446,0.9944585746654324,0.011134979144908633,0.9358373158022285,0.9926848581528033,0.9956373598719427,0.9604755643453999,0.9963345686616404,0.9946614303574772,0.9965577987726585
logreg_l2_c1,0.9870625083284934,0.9962800002653158,1.0,0.9998113113677778,0.586042337801515,0.99814964652246,0.9962431907632694,0.9713310512234445,0.9994187979138228,0.9998963745213125,0.999781845578707,0.9997710620762735,0.010492605472462177,0.9271612756775783,0.9928679468902135,0.9992043341069327,0.9508273633301745,0.9994906682958887,0.9959351727418161,0.995851677238417
logreg_l2_c10,0.9843317217859041,0.9946578552656402,0.9998113113677778,1.0,0.58358951196333,0.9977660892261904,0.9952066727341099,0.9676442977238441,0.9986650750628135,0.999978717061993,0.9999964627727695,0.9999946785763149,0.01038929503889694,0.9249366060259776,0.9921317030461023,0.9990748905190943,0.9483541561563222,0.9992646820135451,0.9953965029073509,0.9946454599132577
logreg_l1_c01,0.6093461700886044,0.5983498770854204,0.586042337801515,0.58358951196333,1.0,0.604530170526194,0.5837885837525385,0.6190166635376703,0.5906889859235206,0.5843078051459429,0.5833847424791481,0.5833020429129796,0.008069288335480776,0.7245075869309459,0.6236718900204957,0.5965603130378757,0.6959511585533076,0.5952350803705325,0.6138319392517986,0.5848765825058392
elastic_net_logreg,0.9883400826656715,0.9959408733519766,0.99814964652246,0.9977660892261904,0.604530170526194,1.0,0.9942454907995469,0.9744246440698283,0.9980999587420406,0.9979034561567366,0.9977200559826095,0.9977025136008434,0.010684501830235907,0.9431163841030498,0.9980029598620443,0.9996423999701919,0.9640959823997346,0.9994967176291566,0.9994744465191403,0.9939762809005378
linear_svm_c1,0.9885172071741497,0.9961391946212955,0.9962431907632694,0.9952066727341099,0.5837885837525385,0.9942454907995469,1.0,0.9729173450460129,0.9972261548734308,0.9955354068001199,0.9951044926188487,0.995069766308769,0.009825205927799993,0.925036785952061,0.9895064473092721,0.9949990314076578,0.9490247259838746,0.9953718168544894,0.9922035197345598,0.9998979126023579
logreg_l2_c001,0.9962033999667655,0.9868188228800399,0.9713310512234445,0.9676442977238441,0.6190166635376703,0.9744246440698283,0.9729173450460129,1.0,0.9777535192777738,0.968696874077819,0.9673288732061057,0.9672173130150586,0.012991183346724371,0.9390960643408989,0.9752462277541251,0.9715763163006702,0.9646936590249515,0.9729668955742031,0.975097569843483,0.9744991515839452
logreg_l2_c03,0.9915095857171238,0.998525638188696,0.9994187979138228,0.9986650750628135,0.5906889859235206,0.9980999587420406,0.9972261548734308,0.9777535192777738,1.0,0.9989082893250879,0.9985894197377014,0.9985623492056536,0.01080687520743183,0.9308679674323159,0.9935344138746207,0.9986521910300706,0.9549592661509191,0.9991021164009533,0.9962107494301523,0.9971509517575685
logreg_l2_c3,0.9851218973154506,0.995142185679491,0.9998963745213125,0.999978717061993,0.5843078051459429,0.9979034561567366,0.9955354068001199,0.968696874077819,0.9989082893250879,1.0,0.9999678167059726,0.999963481710556,0.010429744512728415,0.92557380604421,0.9923654201908999,0.9991423317287266,0.9490625541594894,0.9993598144264373,0.9955755369347264,0.9950202856987999
logreg_l2_c30,0.9840937768200225,0.9945107162253446,0.999781845578707,0.9999964627727695,0.5833847424791481,0.9977200559826095,0.9951044926188487,0.9673288732061057,0.9985894197377014,0.9999678167059726,1.0,0.9999989824265431,0.010418381055280783,0.9247414563106964,0.9920575413430098,0.9990494537711829,0.9481389096535927,0.9992313012388773,0.9953383384102752,0.9945299328449095
