model,logistic_regression,linear_svm,rbf_svm,gaussian_nb,decision_tree,random_forest,hist_gradient_boosting,logreg_l1_c01,elastic_net_c1_r05,logreg_l2_c01,rbf_svm_c03,rbf_svm_c3,extra_trees,random_forest_shallow,random_forest_tuned,gradient_boosting,adaboost_stump,hist_gb_shallow,linear_discriminant_shrinkage,knn_15_distance
logistic_regression,1.0,0.9962431907632694,0.509939345357978,0.7221129749535937,0.1257638902803328,0.3597627907068146,0.41956611878262956,0.5860371408852013,0.9981496720318517,0.996280000265316,0.5099630959656886,0.5057902688800598,0.5492460865101355,0.43403378374323026,0.28435266061278974,0.4071025059418371,0.29942479290256124,0.4240108960314322,0.9760028157986225,0.3166453223246762
linear_svm,0.9962431907632694,1.0,0.5135164439485137,0.714796018771817,0.12599420921478138,0.36285654313883603,0.4203541856319254,0.5837825764898977,0.9942457531861191,0.9961391946212957,0.5135423935787486,0.5087672572719943,0.5494575894826408,0.4378258125055848,0.28718013153413985,0.4079915941867987,0.2981482012976579,0.4253971760719001,0.9793137004437575,0.3152259418629964
rbf_svm,0.509939345357978,0.5135164439485137,1.0,0.4264811203837151,0.135538536033902,0.4211489051051808,0.41871317758836907,0.31918070054430353,0.5091733261201531,0.5138681642705443,0.9999839651499655,0.9970288510759154,0.6347117983518953,0.4241349206645352,0.35602361886625333,0.31657494567012284,0.18500744503814776,0.3946641540231596,0.5103456664498376,0.6073069108151073
gaussian_nb,0.7221129749535937,0.714796018771817,0.4264811203837151,1.0,0.10510489299124046,0.30190595890077676,0.3896453162492267,0.46982178627930493,0.7277174765359583,0.7340309671076085,0.42656238365381455,0.42546337983917343,0.5234519696879082,0.37629141270500055,0.2342415150282218,0.4027407883789972,0.3094932715414718,0.4092042129046812,0.7511836038183396,0.29676972835918314
decision_tree,0.1257638902803328,0.12599420921478138,0.135538536033902,0.10510489299124046,1.0,0.2914875744809492,0.22275834226125238,0.1058418590829036,0.12642922807625012,0.12717184232134227,0.13552133267756455,0.13235574458416907,0.14559989169089155,0.2951964328805096,0.3287979365723512,0.26779795516527855,0.13858660104659792,0.21098198488407627,0.12703239398508556,0.0701423157244775
random_forest,0.3597627907068146,0.36285654313883603,0.4211489051051808,0.30190595890077676,0.2914875744809492,1.0,0.539039399526027,0.27328614733092604,0.36104799889769373,0.36814870257603965,0.42092686447271205,0.4109469516864248,0.42229037885587334,0.7706736867193442,0.7967096485092736,0.5625511982881128,0.2821689255375551,0.49535586945137433,0.37552508804639895,0.24059888933049853
hist_gradient_boosting,0.41956611878262956,0.4203541856319254,0.41871317758836907,0.3896453162492267,0.22275834226125238,0.539039399526027,1.0,0.321381842578368,0.4220973312889008,0.4250161871239245,0.41875836664076366,0.41651407184474826,0.41956630175583437,0.5908674394496806,0.45851023709634653,0.6322693874143988,0.39156879480182194,0.9011468244130834,0.42631654884927295,0.2533345435579215
logreg_l1_c01,0.5860371408852013,0.5837825764898977,0.31918070054430353,0.46982178627930493,0.1058418590829036,0.27328614733092604,0.321381842578368,1.0,0.6045278287433086,0.5983444513670563,0.31915842002632644,0.31683957646308863,0.3938107082234236,0.33187810719338834,0.22253337323009284,0.3483276472509348,0.3750126037002887,0.324637887436641,0.6154408167778453,0.21060876752796856
elastic_net_c1_r05,0.9981496720318517,0.9942457531861191,0.5091733261201531,0.7277174765359583,0.12642922807625012,0.36104799889769373,0.4220973312889008,0.6045278287433086,1.0,0.9959421776061234,0.5092028866122138,0.505055762903756,0.5530562125285309,0.4364799303027162,0.28447049997603857,0.4105291881990818,0.30631512901638075,0.4267558011503699,0.9784127193291956,0.3175556764439865
logreg_l2_c01,0.996280000265316,0.9961391946212957,0.5138681642705443,0.7340309671076085,0.12717184232134227,0.36814870257603965,0.4250161871239245,0.5983444513670563,0.9959421776061234,1.0,0.5138948293488479,0.5091609953252645,0.5590661271673972,0.4458527090479111,0.2909203531822493,0.4136077917179634,0.3073613270543672,0.4296726652187077,0.9902533029488196,0.321581974289619
rbf_svm_c03,0.5099630959656886,0.5135423935787486,0.9999839651499655,0.42656238365381455,0.13552133267756455,0.42092686447271205,0.41875836664076366,0.31915842002632644,0.5092028866122138,0.5138948293488479,1.0,0.9970234906602704,0.634646888394045,0.4240172964803736,0.3558582865040172,0.31655141162474354,0.18510645353201596,0.3947257639611593,0.5103760337360119,0.6072541760645536
rbf_svm_c3,0.5057902688800598,0.5087672572719943,0.9970288510759154,0.42546337983917343,0.13235574458416907,0.4109469516864248,0.41651407184474826,0.31683957646308863,0.505055762903756,0.5091609953252645,0.9970234906602704,1.0,0.6340416251185124,0.4129151033962209,0.34473599479341943,0.31258820849994123,0.185247743818385,0.3939387419111056,0.5046580458768508,0.6195834588507242
extra_trees,0.5492460865101355,0.5494575894826408,0.6347117983518953,0.5234519696879082,0.14559989169089155,0.42229037885587334,0.41956630175583437,0.3938107082234236,0.5530562125285309,0.5590661271673972,0.634646888394045,0.6340416251185124,1.0,0.4385050242048757,0.35957480522254726,0.36457089249493485,0.22127538624735596,0.4007878986946547,0.567590633383564,0.4937703749736927
random_forest_shallow,0.43403378374323026,0.4378258125055848,0.4241349206645352,0.37629141270500055,0.2951964328805096,0.7706736867193442,0.5908674394496806,0.33187810719338834,0.4364799303027162,0.4458527090479111,0.4240172964803736,0.4129151033962209,0.4385050242048757,1.0,0.7505793826347344,0.6253366036161903,0.3556455005140185,0.5539695764911983,0.45797102100752396,0.2284162827586624
random_forest_tuned,0.28435266061278974,0.28718013153413985,0.35602361886625333,0.2342415150282218,0.3287979365723512,0.7967096485092736,0.45851023709634653,0.22253337323009284,0.28447049997603857,0.2909203531822493,0.3558582865040172,0.34473599479341943,0.35957480522254726,0.7505793826347344,1.0,0.5409670038886593,0.2514646432854804,0.4164729624672352,0.29610835131724683,0.1910584216161831
gradient_boosting,0.4071025059418371,0.4079915941867987,0.31657494567012284,0.4027407883789972,0.26779795516527855,0.5625511982881128,0.6322693874143988,0.3483276472509348,0.4105291881990818,0.4136077917179634,0.31655141162474354,0.31258820849994123,0.36457089249493485,0.6253366036161903,0.5409670038886593,1.0,0.5295315631031575,0.6495351974284215,0.4181196743284129,0.1864247803373655
adaboost_stump,0.29942479290256124,0.2981482012976579,0.18500744503814776,0.3094932715414718,0.13858660104659792,0.2821689255375551,0.39156879480182194,0.3750126037002887,0.30631512901638075,0.3073613270543672,0.18510645353201596,0.185247743818385,0.22127538624735596,0.3556455005140185,0.2514646432854804,0.5295315631031575,1.0,0.4290781114845142,0.3180421401314113,0.11125356958782913
