library,target_auc,pool_size,method,n,rejection_rate,mean_p_value,mcse
high_dependency_linear_20,0.5,7,bonferroni_empirical,2000,0.017,0.8741652334766523,0.002890588175441116
high_dependency_linear_20,0.5,7,naive_empirical,2000,0.091,0.3775732426757324,0.006431135203057078
high_dependency_linear_20,0.5,7,pipeline_empirical,2000,0.055,0.4925532446755324,0.005097793640389928
high_dependency_linear_20,0.5,20,bonferroni_empirical,2000,0.01,0.9442607239276073,0.0022248595461286987
high_dependency_linear_20,0.5,20,naive_empirical,2000,0.0985,0.45024087591240874,0.006663248081829162
high_dependency_linear_20,0.5,20,pipeline_empirical,2000,0.053,0.5395171482851715,0.005009540897128199
mixed_realistic_20,0.5,7,bonferroni_empirical,2000,0.0345,0.7464704029597041,0.004081038470781672
mixed_realistic_20,0.5,7,naive_empirical,2000,0.192,0.21411418858114187,0.008807269724494646
mixed_realistic_20,0.5,7,pipeline_empirical,2000,0.043,0.5009417058294171,0.004536022486716748
mixed_realistic_20,0.5,20,bonferroni_empirical,2000,0.027,0.8271109389061093,0.0036242930345103167
mixed_realistic_20,0.5,20,naive_empirical,2000,0.2985,0.1480798920107989,0.010232246820713425
mixed_realistic_20,0.5,20,pipeline_empirical,2000,0.0465,0.5063490650934906,0.004708383480558906
