Feature selection,Selection events,Candidate models,Metric,Method,N,"Type I error, %","Monte Carlo 95% interval, %",Mean selection metric,Mean test metric,Mean optimism
LASSO,20,1,AUROC,Pipeline max-statistic,2000,5.05,4.09–6.01,0.5006,0.5,0.0006
LASSO,20,1,AUROC,Bonferroni empirical,2000,5.05,4.09–6.01,0.5006,0.5,0.0006
LASSO,20,1,AUROC,Naive empirical,2000,5.05,4.09–6.01,0.5006,0.5,0.0006
LASSO,20,3,AUROC,Pipeline max-statistic,2000,4.05,3.19–4.91,0.5273,0.5,0.0273
LASSO,20,3,AUROC,Bonferroni empirical,2000,3.8,2.96–4.64,0.5273,0.5,0.0273
LASSO,20,3,AUROC,Naive empirical,2000,11.1,9.72–12.48,0.5273,0.5,0.0273
LASSO,20,7,AUROC,Pipeline max-statistic,2000,4.05,3.19–4.91,0.54,0.4999,0.04
LASSO,20,7,AUROC,Bonferroni empirical,2000,2.85,2.12–3.58,0.54,0.4999,0.04
LASSO,20,7,AUROC,Naive empirical,2000,18.4,16.70–20.10,0.54,0.4999,0.04
LASSO,100,1,AUROC,Pipeline max-statistic,2000,6.35,5.28–7.42,0.5005,0.5,0.0006
LASSO,100,1,AUROC,Bonferroni empirical,2000,6.35,5.28–7.42,0.5005,0.5,0.0006
LASSO,100,1,AUROC,Naive empirical,2000,6.35,5.28–7.42,0.5005,0.5,0.0006
LASSO,100,3,AUROC,Pipeline max-statistic,2000,5.45,4.46–6.44,0.513,0.5001,0.0129
LASSO,100,3,AUROC,Bonferroni empirical,2000,4.9,3.95–5.85,0.513,0.5001,0.0129
LASSO,100,3,AUROC,Naive empirical,2000,13.95,12.43–15.47,0.513,0.5001,0.0129
LASSO,100,7,AUROC,Pipeline max-statistic,2000,5.9,4.87–6.93,0.5185,0.5001,0.0185
LASSO,100,7,AUROC,Bonferroni empirical,2000,3.85,3.01–4.69,0.5185,0.5001,0.0185
LASSO,100,7,AUROC,Naive empirical,2000,19.45,17.72–21.18,0.5185,0.5001,0.0185
None,20,1,AUROC,Pipeline max-statistic,2000,4.1,3.23–4.97,0.499,0.5,-0.001
None,20,1,AUROC,Bonferroni empirical,2000,4.1,3.23–4.97,0.499,0.5,-0.001
None,20,1,AUROC,Naive empirical,2000,4.1,3.23–4.97,0.499,0.5,-0.001
None,20,3,AUROC,Pipeline max-statistic,2000,3.95,3.10–4.80,0.543,0.5001,0.0429
None,20,3,AUROC,Bonferroni empirical,2000,4.05,3.19–4.91,0.543,0.5001,0.0429
None,20,3,AUROC,Naive empirical,2000,10.85,9.49–12.21,0.543,0.5001,0.0429
None,20,7,AUROC,Pipeline max-statistic,2000,3.6,2.78–4.42,0.5631,0.5,0.0631
None,20,7,AUROC,Bonferroni empirical,2000,2.8,2.08–3.52,0.5631,0.5,0.0631
None,20,7,AUROC,Naive empirical,2000,18.6,16.89–20.31,0.5631,0.5,0.0631
None,100,1,AUROC,Pipeline max-statistic,2000,4.85,3.91–5.79,0.5,0.5,-0.0
None,100,1,AUROC,Bonferroni empirical,2000,4.85,3.91–5.79,0.5,0.5,-0.0
None,100,1,AUROC,Naive empirical,2000,4.85,3.91–5.79,0.5,0.5,-0.0
None,100,3,AUROC,Pipeline max-statistic,2000,5.0,4.04–5.96,0.5199,0.5002,0.0197
None,100,3,AUROC,Bonferroni empirical,2000,4.5,3.59–5.41,0.5199,0.5002,0.0197
None,100,3,AUROC,Naive empirical,2000,11.75,10.34–13.16,0.5199,0.5002,0.0197
None,100,7,AUROC,Pipeline max-statistic,2000,4.2,3.32–5.08,0.5289,0.5003,0.0287
None,100,7,AUROC,Bonferroni empirical,2000,3.25,2.47–4.03,0.5289,0.5003,0.0287
None,100,7,AUROC,Naive empirical,2000,19.85,18.10–21.60,0.5289,0.5003,0.0287
