Source label,Frozen archive,SHA-256
phase2b_event_prevalence,pipeline_phase2b_quick_20260718_190047.zip,a6309d097a1c2460cb55308f0e1c0a3740a108fb92dd65ddc044e0f73bdb259b
phase2c_metric_comparison,pipeline_phase2c_quick_20260718_191911.zip,5e9ec8650b450c35ee9e52abc6e35247557191f056c5388fc95e1eeb81f4cae7
phase2d_target_ap,pipeline_phase2d_quick_20260718_193337.zip,6668e0fb2019d2df8195bfaf23352cf751a566c20713a6180484e2d99cc4d9d1
phase3_independent_null,pipeline_phase3_full_20260718_202007.zip,dd397c4f6d934aaa34580fe60ebcb574918ae6b60a53a224ad5766973146e021
phase3b_extended_single,pipeline_phase3b_extended_sklearn_7_single_linear_quick_20260719_151639.zip,437d05de7e3f9b72c65d7d16501accc1d7040be767c93c56b58b3775630fe88c
phase3b_extended_xor,pipeline_phase3b_extended_sklearn_7_xor_interaction_quick_20260719_174918.zip,b8cea096c821b2341d15bb35456c42f5191e23c106307dba982d8f30d3c06556
phase3b_heterogeneous_single,pipeline_phase3b_heterogeneous_core_7_single_linear_quick_20260719_131221.zip,8598faa2f49eecbc7c1d9358b4214e688f7fab66c354424d50da50a2ab4d94b6
phase3b_heterogeneous_xor,pipeline_phase3b_heterogeneous_core_7_xor_interaction_quick_20260719_141414.zip,cdd0f1fe446119e44dddf3e2685e67449d66e592c936a4faf353706d753cd282
phase3b_similar_linear_single,pipeline_phase3b_similar_linear_7_single_linear_quick_20260719_123012.zip,9a8be9fbd87fa90775dc1a452159dd0c2f7920494aeac9fb3c5f2f46886429a9
phase3b_similar_linear_xor,pipeline_phase3b_similar_linear_7_xor_interaction_quick_20260719_125111.zip,974f18c48ab9caf7104e038fb31675060508de6b2206fef537300019c6f8368b
support2_phase4b_frozen,support2_phase4b_frozen_20260720_074815.zip,18d054a5a6c7165cce780c9bd4785fee24850d00b7eeee2cc3a3d97a6c3de541
support2_phase4c_full,support2_phase4c_full_20260720_080619.zip,20e8b06252ef36dd61d27b1ca00ebeccb882843f1a3fb300ed014e602bb68bf8
support2_phase4d,support2_phase4d_20260720_100950.zip,a5b970fa2382694cfc068bb7e92489ad0e6f3f0c9bf59d3f1c67bbcfd1ca8c2c
