Panel,Library,Signal structure,Target oracle AUROC,Metric,Replications,Top winner,Top winner count,"Top winner proportion, %",Runner-up,"Runner-up proportion, %",Models selected at least once,Effective number of winners
"Winner concentration by library, signal structure, and metric",Expanded nonlinear,Single linear signal,0.5,Average precision,1000,Multilayer perceptron,225,22.5,Tuned random forest,14.5,7,6.59
"Winner concentration by library, signal structure, and metric",Expanded nonlinear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),1000,Multilayer perceptron,192,19.2,Tuned random forest,15.3,7,6.83
"Winner concentration by library, signal structure, and metric",Expanded nonlinear,Single linear signal,0.5,AUROC,1000,Multilayer perceptron,232,23.2,Tuned random forest,15.9,7,6.48
"Winner concentration by library, signal structure, and metric",Expanded nonlinear,Single linear signal,0.6,Average precision,1000,Elastic-net logistic regression,280,28,Tuned random forest,15.6,7,5.91
"Winner concentration by library, signal structure, and metric",Expanded nonlinear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),1000,Elastic-net logistic regression,230,23,Tuned random forest,16.5,7,6.49
"Winner concentration by library, signal structure, and metric",Expanded nonlinear,Single linear signal,0.6,AUROC,1000,Elastic-net logistic regression,306,30.6,Tuned random forest,14.4,7,5.63
"Winner concentration by library, signal structure, and metric",Expanded nonlinear,Single linear signal,0.7,Average precision,1000,Elastic-net logistic regression,492,49.2,Tuned random forest,20,7,3.18
"Winner concentration by library, signal structure, and metric",Expanded nonlinear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),1000,Elastic-net logistic regression,392,39.2,Tuned random forest,25.3,7,3.91
"Winner concentration by library, signal structure, and metric",Expanded nonlinear,Single linear signal,0.7,AUROC,1000,Elastic-net logistic regression,606,60.6,Gradient boosting,16.8,7,2.42
"Winner concentration by library, signal structure, and metric",Expanded nonlinear,XOR interaction signal,0.5,Average precision,1000,Multilayer perceptron,217,21.7,Tuned random forest,14.1,7,6.68
"Winner concentration by library, signal structure, and metric",Expanded nonlinear,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),1000,Multilayer perceptron,192,19.2,rbf_svm_c3,14.2,7,6.86
"Winner concentration by library, signal structure, and metric",Expanded nonlinear,XOR interaction signal,0.5,AUROC,1000,Multilayer perceptron,232,23.2,Tuned random forest,16.7,7,6.49
"Winner concentration by library, signal structure, and metric",Expanded nonlinear,XOR interaction signal,0.6,Average precision,1000,Multilayer perceptron,215,21.5,rbf_svm_c3,16.4,7,6.53
