Library,Signal structure,Target oracle AUROC,Metric,Winning model,Winner count,"Winner proportion, %"
Expanded nonlinear,Single linear signal,0.5,Average precision,Elastic-net logistic regression,105,10.5
Expanded nonlinear,Single linear signal,0.5,Average precision,Extra trees,123,12.3
Expanded nonlinear,Single linear signal,0.5,Average precision,Gradient boosting,135,13.5
Expanded nonlinear,Single linear signal,0.5,Average precision,Tuned histogram gradient boosting,128,12.8
Expanded nonlinear,Single linear signal,0.5,Average precision,Multilayer perceptron,225,22.5
Expanded nonlinear,Single linear signal,0.5,Average precision,Tuned random forest,145,14.5
Expanded nonlinear,Single linear signal,0.5,Average precision,rbf_svm_c3,139,13.9
Expanded nonlinear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),Elastic-net logistic regression,117,11.7
Expanded nonlinear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),Extra trees,137,13.7
Expanded nonlinear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),Gradient boosting,134,13.4
Expanded nonlinear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),Tuned histogram gradient boosting,134,13.4
Expanded nonlinear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),Multilayer perceptron,192,19.2
Expanded nonlinear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),Tuned random forest,153,15.3
Expanded nonlinear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),rbf_svm_c3,133,13.3
Expanded nonlinear,Single linear signal,0.5,AUROC,Elastic-net logistic regression,133,13.3
Expanded nonlinear,Single linear signal,0.5,AUROC,Extra trees,100,10
Expanded nonlinear,Single linear signal,0.5,AUROC,Gradient boosting,135,13.5
Expanded nonlinear,Single linear signal,0.5,AUROC,Tuned histogram gradient boosting,109,10.9
Expanded nonlinear,Single linear signal,0.5,AUROC,Multilayer perceptron,232,23.2
Expanded nonlinear,Single linear signal,0.5,AUROC,Tuned random forest,159,15.9
Expanded nonlinear,Single linear signal,0.5,AUROC,rbf_svm_c3,132,13.2
Expanded nonlinear,Single linear signal,0.6,Average precision,Elastic-net logistic regression,280,28
Expanded nonlinear,Single linear signal,0.6,Average precision,Extra trees,77,7.7
Expanded nonlinear,Single linear signal,0.6,Average precision,Gradient boosting,140,14
Expanded nonlinear,Single linear signal,0.6,Average precision,Tuned histogram gradient boosting,139,13.9
Expanded nonlinear,Single linear signal,0.6,Average precision,Multilayer perceptron,110,11
Expanded nonlinear,Single linear signal,0.6,Average precision,Tuned random forest,156,15.6
Expanded nonlinear,Single linear signal,0.6,Average precision,rbf_svm_c3,98,9.8
Expanded nonlinear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),Elastic-net logistic regression,230,23
Expanded nonlinear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),Extra trees,105,10.5
Expanded nonlinear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),Gradient boosting,136,13.6
Expanded nonlinear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),Tuned histogram gradient boosting,134,13.4
Expanded nonlinear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),Multilayer perceptron,122,12.2
Expanded nonlinear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),Tuned random forest,165,16.5
Expanded nonlinear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),rbf_svm_c3,108,10.8
Expanded nonlinear,Single linear signal,0.6,AUROC,Elastic-net logistic regression,306,30.6
Expanded nonlinear,Single linear signal,0.6,AUROC,Extra trees,68,6.8
Expanded nonlinear,Single linear signal,0.6,AUROC,Gradient boosting,135,13.5
Expanded nonlinear,Single linear signal,0.6,AUROC,Tuned histogram gradient boosting,126,12.6
Expanded nonlinear,Single linear signal,0.6,AUROC,Multilayer perceptron,115,11.5
Expanded nonlinear,Single linear signal,0.6,AUROC,Tuned random forest,144,14.4
Expanded nonlinear,Single linear signal,0.6,AUROC,rbf_svm_c3,106,10.6
Expanded nonlinear,Single linear signal,0.7,Average precision,Elastic-net logistic regression,492,49.2
Expanded nonlinear,Single linear signal,0.7,Average precision,Extra trees,36,3.6
Expanded nonlinear,Single linear signal,0.7,Average precision,Gradient boosting,159,15.9
Expanded nonlinear,Single linear signal,0.7,Average precision,Tuned histogram gradient boosting,69,6.9
Expanded nonlinear,Single linear signal,0.7,Average precision,Multilayer perceptron,11,1.1
Expanded nonlinear,Single linear signal,0.7,Average precision,Tuned random forest,200,20
Expanded nonlinear,Single linear signal,0.7,Average precision,rbf_svm_c3,33,3.3
Expanded nonlinear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),Elastic-net logistic regression,392,39.2
Expanded nonlinear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),Extra trees,47,4.7
Expanded nonlinear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),Gradient boosting,159,15.9
Expanded nonlinear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),Tuned histogram gradient boosting,89,8.9
Expanded nonlinear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),Multilayer perceptron,11,1.1
Expanded nonlinear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),Tuned random forest,253,25.3
Expanded nonlinear,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),rbf_svm_c3,49,4.9
Expanded nonlinear,Single linear signal,0.7,AUROC,Elastic-net logistic regression,606,60.6
Expanded nonlinear,Single linear signal,0.7,AUROC,Extra trees,22,2.2
Expanded nonlinear,Single linear signal,0.7,AUROC,Gradient boosting,168,16.8
Expanded nonlinear,Single linear signal,0.7,AUROC,Tuned histogram gradient boosting,55,5.5
Expanded nonlinear,Single linear signal,0.7,AUROC,Multilayer perceptron,4,0.4
Expanded nonlinear,Single linear signal,0.7,AUROC,Tuned random forest,119,11.9
Expanded nonlinear,Single linear signal,0.7,AUROC,rbf_svm_c3,26,2.6
Expanded nonlinear,XOR interaction signal,0.5,Average precision,Elastic-net logistic regression,135,13.5
Expanded nonlinear,XOR interaction signal,0.5,Average precision,Extra trees,118,11.8
Expanded nonlinear,XOR interaction signal,0.5,Average precision,Gradient boosting,124,12.4
Expanded nonlinear,XOR interaction signal,0.5,Average precision,Tuned histogram gradient boosting,135,13.5
Expanded nonlinear,XOR interaction signal,0.5,Average precision,Multilayer perceptron,217,21.7
Expanded nonlinear,XOR interaction signal,0.5,Average precision,Tuned random forest,141,14.1
Expanded nonlinear,XOR interaction signal,0.5,Average precision,rbf_svm_c3,130,13
