Panel,Model,AUROC,Average precision,Partial AUROC (FPR ≤ 0.10),One-sided Mann–Whitney p-value,Metric,Null replications,Mean null maximum,95th percentile,99th percentile,Maximum,Observed selected value,Pipeline-aware p-value,Bonferroni empirical p-value,Model version,Estimate,95% CI low,95% CI high,Bootstrap replications,Evaluation split,Selection estimate,Locked test estimate,Selection minus test (descriptive),Null mechanism,Null repetitions,Observed selected maximum,Maximum null maximum,Exceedances
A. Prespecified candidate-model performance on the model-selection set,Logistic regression,0.8096,0.6109,0.6341,1.4015667517575755e-89,,,,,,,,,,,,,,,,,,,,,,,
A. Prespecified candidate-model performance on the model-selection set,Linear SVM,0.8101,0.6118,0.6351,6.683095843527323e-90,,,,,,,,,,,,,,,,,,,,,,,
A. Prespecified candidate-model performance on the model-selection set,RBF SVM,0.8053,0.6131,0.6487,3.4684934595596685e-87,,,,,,,,,,,,,,,,,,,,,,,
A. Prespecified candidate-model performance on the model-selection set,Gaussian naive Bayes,0.5358,0.2733,0.5021,2.479157592750019e-07,,,,,,,,,,,,,,,,,,,,,,,
A. Prespecified candidate-model performance on the model-selection set,Decision tree,0.6853,0.4168,0.5602,1.6127628913297994e-40,,,,,,,,,,,,,,,,,,,,,,,
A. Prespecified candidate-model performance on the model-selection set,Random forest,0.8266,0.6467,0.6526,1.953676008192068e-99,,,,,,,,,,,,,,,,,,,,,,,
A. Prespecified candidate-model performance on the model-selection set,Histogram gradient boosting,0.8209,0.6351,0.6462,4.138837381832075e-96,,,,,,,,,,,,,,,,,,,,,,,
B. Primary conditional pipeline-null maximum distribution and inference,,,,,,AUROC,5000,0.5164,0.5352,0.5441,0.5645,0.8266,0.0001999600079984,0.0013997200559888,,,,,,,,,,,,,,
B. Primary conditional pipeline-null maximum distribution and inference,,,,,,Average precision,5000,0.2722,0.2873,0.2958,0.3187,0.6467,0.0001999600079984,0.0013997200559888,,,,,,,,,,,,,,
B. Primary conditional pipeline-null maximum distribution and inference,,,,,,Partial AUROC (FPR ≤ 0.10),5000,0.5058,0.5127,0.5164,0.5235,0.6526,0.0001999600079984,0.0013997200559888,,,,,,,,,,,,,,
C. Selected-model and untouched-test performance,Random forest,,,,,AUROC,,,,,,,,,Model-selection winner,0.8266,,,,model selection,,,,,,,,
C. Selected-model and untouched-test performance,Random forest,,,,,Average precision,,,,,,,,,Model-selection winner,0.6467,,,,model selection,,,,,,,,
C. Selected-model and untouched-test performance,Random forest,,,,,Partial AUROC (FPR ≤ 0.10),,,,,,,,,Model-selection winner,0.6526,,,,model selection,,,,,,,,
C. Selected-model and untouched-test performance,Random forest,,,,,AUROC,,,,,,,,,Locked training-only model,0.8139,0.7923,0.8355,5000,untouched test,,,,,,,,
C. Selected-model and untouched-test performance,Random forest,,,,,Average precision,,,,,,,,,Locked training-only model,0.6199,0.5807,0.6622,5000,untouched test,,,,,,,,
C. Selected-model and untouched-test performance,Random forest,,,,,Partial AUROC (FPR ≤ 0.10),,,,,,,,,Locked training-only model,0.6409,0.6178,0.6659,5000,untouched test,,,,,,,,
C. Selected-model and untouched-test performance,Random forest,,,,,AUROC,,,,,,,,,Final train-plus-selection refit,0.82,0.7981,0.841,5000,untouched test,,,,,,,,
C. Selected-model and untouched-test performance,Random forest,,,,,Average precision,,,,,,,,,Final train-plus-selection refit,0.6204,0.58,0.6632,5000,untouched test,,,,,,,,
C. Selected-model and untouched-test performance,Random forest,,,,,Partial AUROC (FPR ≤ 0.10),,,,,,,,,Final train-plus-selection refit,0.6375,0.6136,0.6631,5000,untouched test,,,,,,,,
D. Descriptive selection-to-test difference for locked training-only model,,,,,,AUROC,,,,,,,,,,,,,,,0.8266,0.8139,0.0126,,,,,
D. Descriptive selection-to-test difference for locked training-only model,,,,,,Average precision,,,,,,,,,,,,,,,0.6467,0.6199,0.0268,,,,,
D. Descriptive selection-to-test difference for locked training-only model,,,,,,Partial AUROC (FPR ≤ 0.10),,,,,,,,,,,,,,,0.6526,0.6409,0.0117,,,,,
E. Conditional null-mechanism sensitivity,,,,,,AUROC,,0.7397,0.7467,0.7489,,,0.000999000999000999,,,,,,,,,,,"Restricted within diagnostic group, separately in frozen training and selection splits; preserves group-level outcome prevalence",1000,0.8266,0.7557,0
E. Conditional null-mechanism sensitivity,,,,,,Average precision,,0.4745,0.4888,0.4951,,,0.000999000999000999,,,,,,,,,,,"Restricted within diagnostic group, separately in frozen training and selection splits; preserves group-level outcome prevalence",1000,0.6467,0.4994,0
E. Conditional null-mechanism sensitivity,,,,,,Standardized partial AUROC (FPR ≤ 0.10),,0.5742,0.5799,0.5832,,,0.000999000999000999,,,,,,,,,,,"Restricted within diagnostic group, separately in frozen training and selection splits; preserves group-level outcome prevalence",1000,0.6526,0.5855,0
