model,error,roc_auc,average_precision,pauc_fpr_0_10,mannwhitney_p,replication,seed
logistic_regression,,0.7392513957694424,0.4743604597684613,0.5748583537163267,2.2698945834882037e-54,1,1247279049
linear_svm,,0.7394306833372649,0.4764529409797355,0.577341561026889,1.8951314212389868e-54,1,1247279049
rbf_svm,,0.6726429189274199,0.427945735140016,0.5658194791058798,2.787588222688292e-29,1,1247279049
gaussian_nb,,0.53149956750806,0.2714477757053935,0.5018035534696614,2.2583776392066221e-07,1,1247279049
decision_tree,,0.6240418337658252,0.3558810902419477,0.5370218618812502,1.3764351465190462e-18,1,1247279049
random_forest,,0.7312180545726192,0.463914856535379,0.5674915053616585,6.42126352696138e-51,1,1247279049
hist_gradient_boosting,,0.7278965164740112,0.4520893825740966,0.5636508113879888,1.5871159187767485e-49,1,1247279049
logistic_regression,,0.7470598411575058,0.486769079418501,0.5717046804319126,7.744394525355652e-58,2,575847221
linear_svm,,0.7469481796021076,0.4868044119006467,0.5732773783952687,8.696503450322638e-58,2,575847221
rbf_svm,,0.6762050798144217,0.42584727116854515,0.563559760453268,2.0251807629642947e-30,2,575847221
gaussian_nb,,0.724530942832429,0.44150680666561404,0.5523356634095264,3.905602011821367e-48,2,575847221
decision_tree,,0.6213462294566328,0.3432123266957388,0.5329724405375316,2.2031905559648837e-18,2,575847221
random_forest,,0.7317362585515452,0.45186372917737655,0.558758892986181,3.876997399391081e-51,2,575847221
hist_gradient_boosting,,0.7416371785798538,0.4713666606361388,0.5656290998787367,2.034301507969276e-55,2,575847221
logistic_regression,,0.7390044821891957,0.470091127640261,0.5684516788550759,2.9096180107278045e-54,3,2452910289
linear_svm,,0.7380152551702446,0.4724851201714867,0.5692380278367539,7.847593295036126e-54,3,2452910289
rbf_svm,,0.6654714162145161,0.4258510178597015,0.5652814508552579,4.6599784556556e-27,3,2452910289
gaussian_nb,,0.7307981442164033,0.4497479242037439,0.5626906378945713,9.656668965277502e-51,3,2452910289
decision_tree,,0.6373279861602579,0.3533944335190155,0.531671239906797,1.62152573071821e-22,3,2452910289
random_forest,,0.7348431233781552,0.45988802240898,0.5665106384739863,1.8388233327132598e-52,3,2452910289
hist_gradient_boosting,,0.7198207124321775,0.43410173332838864,0.5536434859264225,3.1924011321332734e-46,3,2452910289
logistic_regression,,0.7460706141385547,0.4873820709854788,0.571282535189117,2.1593514584528173e-57,4,3411969163
linear_svm,,0.7454147990878351,0.4887940605645925,0.5733353198991817,4.251915285658917e-57,4,3411969163
rbf_svm,,0.6796304159786113,0.4318655956319508,0.5629886227718388,1.5482262898873357e-31,4,3411969163
gaussian_nb,,0.5278391129983487,0.2700324335771146,0.5016180289061027,2.7190864325199905e-05,4,3411969163
decision_tree,,0.58746952897696,0.31443446129469804,0.5204374859457364,3.436433658828569e-10,4,3411969163
random_forest,,0.7291515294487694,0.45817449171435615,0.5615400851740108,4.749293630034972e-50,4,3411969163
hist_gradient_boosting,,0.7386411889596604,0.4776524462213353,0.5743617122542142,4.190732694380322e-54,4,3411969163
logistic_regression,,0.7461759849020996,0.49248741412986885,0.5804455701650919,1.936293954416721e-57,5,1160498617
linear_svm,,0.7462467563104505,0.4952061686998115,0.5807849418308687,1.799518786092598e-57,5,1160498617
rbf_svm,,0.6715797751041913,0.43289505556419094,0.5691386995443315,6.034767901100287e-29,5,1160498617
gaussian_nb,,0.5332012267044115,0.27223315208204657,0.5019236505513958,4.74881017854453e-07,5,1160498617
decision_tree,,0.6080671542030354,0.3361761705718166,0.5323515080147694,7.84018663332155e-15,5,1160498617
random_forest,,0.7313226389871824,0.46761347303380085,0.5689648750325921,5.800112861326889e-51,5,1160498617
hist_gradient_boosting,,0.7428717464810883,0.4743866970035835,0.5757109215596198,5.78458068933566e-56,5,1160498617
logistic_regression,,0.739858457183298,0.4725982896701633,0.5747259159930966,1.2314726324103723e-54,6,3695282143
linear_svm,,0.738998191397342,0.47326905238499517,0.5755784838363898,2.928072341312394e-54,6,3695282143
rbf_svm,,0.6628261382401509,0.43307565599650577,0.5736333047764492,2.9173874280957097e-26,6,3695282143
gaussian_nb,,0.53149013132028,0.2714962842017367,0.5018169302422465,1.5315646196484977e-06,6,3695282143
decision_tree,,0.6159149170401824,0.33622534781080105,0.5272859444866833,2.100241718035454e-16,6,3695282143
random_forest,,0.7188141857356295,0.4514505346430947,0.5617594351531104,8.083040326101517e-46,6,3695282143
hist_gradient_boosting,,0.7246661948572777,0.43739155267524166,0.5575421214040054,3.437004603108794e-48,6,3695282143
logistic_regression,,0.7370527640166706,0.47653567031272437,0.581885830405218,2.052531334811094e-53,7,635337828
linear_svm,,0.7360462373201228,0.473708989984547,0.5805614531729182,5.586657719225411e-53,7,635337828
rbf_svm,,0.6787088149720846,0.44637074204692817,0.5760668479408003,3.107072924366375e-31,7,635337828
gaussian_nb,,0.5326209011559331,0.2718653056917686,0.5018551636313673,5.556196949627302e-07,7,635337828
decision_tree,,0.609670519776677,0.35036827198464776,0.5418123826512101,2.688166038357692e-15,7,635337828
random_forest,,0.733693481166942,0.4639210919432886,0.5632700529337025,5.708008747924216e-52,7,635337828
hist_gradient_boosting,,0.722410945977825,0.44148639786310107,0.561854624766682,2.8668902038478645e-47,7,635337828
logistic_regression,,0.7503640795785169,0.48754150765580345,0.5771511817997459,2.4468911364136967e-59,8,818799842
linear_svm,,0.7507493905795392,0.4871838761354944,0.5776643779772621,1.6306716961706432e-59,8,818799842
rbf_svm,,0.6753243689549422,0.4348174611219203,0.5658277564635817,3.891743541723332e-30,8,818799842
gaussian_nb,,0.5346543996225525,0.27272375117204595,0.5019771158093113,9.215744236751632e-08,8,818799842
decision_tree,,0.6071337579617835,0.3393563514557152,0.5331611642931343,1.7259411871833294e-14,8,818799842
random_forest,,0.733018793740662,0.4721753858424437,0.5700823183223451,1.106815952488727e-51,8,818799842
hist_gradient_boosting,,0.7341110324762129,0.4637231236356397,0.5688241599516602,3.785187428701609e-52,8,818799842
logistic_regression,,0.7361862074388614,0.46911046969114045,0.569502903283214,4.861707988261249e-53,9,1370384211
linear_svm,,0.7364708657702288,0.4695020639466513,0.5707031201499857,3.663686520911996e-53,9,1370384211
rbf_svm,,0.6642714476684752,0.43526758226721507,0.5679715921083671,1.0747597227933753e-26,9,1370384211
gaussian_nb,,0.5349909569867107,0.2730180774692268,0.50203853842782,1.9599016062761557e-07,9,1370384211
decision_tree,,0.5893992293779979,0.31801290061180953,0.5209251602703385,9.618777804802434e-11,9,1370384211
random_forest,,0.7227608712746717,0.45802657291723514,0.5623678209441982,2.0657390956632685e-47,9,1370384211
hist_gradient_boosting,,0.7154832114492412,0.4393828245061191,0.5570785893727005,1.6970558205830999e-44,9,1370384211
