dgp,alpha,reference_size,evaluation_size,outer_datasets,empirical_sd_delta_pi,mean_bootstrap_sd_delta_pi,bootstrap_empirical_sd_ratio_delta_pi,bootstrap_normal_coverage_delta_pi,percentile_coverage_delta_pi,basic_coverage_delta_pi,empirical_sd_delta_s,mean_bootstrap_sd_delta_s,bootstrap_empirical_sd_ratio_delta_s,bootstrap_normal_coverage_delta_s,percentile_coverage_delta_s,basic_coverage_delta_s,bootstrap_failures,minimum_finite_bootstrap_replicates
transparent_k3,0.05,1000,1000,500,0.003951095848908062,0.00417468601672473,1.0565894061715713,0.96,0.962,0.924,0.09026817656583973,0.0961943615588047,1.0656508774013236,0.964,0.966,0.92,0,249
transparent_k3,0.05,3000,5000,500,0.0020114592584797785,0.002059323576986318,1.0237958180384497,0.946,0.954,0.93,0.04634473821418626,0.0473133837109242,1.0209008731964622,0.946,0.95,0.926,0,249
transparent_k3,0.01,3000,5000,500,0.0010709706061222547,0.001107158032110159,1.0337893736588446,0.934,0.966,0.884,0.11026953442154334,0.11418933755036766,1.0355474714696764,0.932,0.964,0.886,0,249
transparent_k3,0.1,3000,5000,500,0.0024390443594944286,0.0024251028484785254,0.9942840272823931,0.944,0.956,0.924,0.03139507665014111,0.03143868753887746,1.0013890996101824,0.952,0.956,0.918,0,249
gain_coupled_k20,0.05,1000,1000,500,0.006059577931675115,0.00639667728921913,1.0556308312798326,0.964,0.97,0.928,0.17986090749705955,0.19117682133916344,1.0629148045541186,0.964,0.972,0.924,0,249
gain_coupled_k20,0.05,3000,5000,500,0.0026569468895665345,0.002879264952346987,1.0836742592234212,0.96,0.968,0.932,0.07940563984901075,0.0860814292278373,1.0840719801706846,0.96,0.962,0.936,0,249
gain_coupled_k20,0.01,3000,5000,500,0.0020628016224252884,0.002203679077061728,1.068294233000848,0.95,0.954,0.928,0.23406866496186438,0.2509409564281019,1.0720826577491114,0.946,0.95,0.93,0,249
gain_coupled_k20,0.1,3000,5000,500,0.0027475128163021324,0.00307405111634498,1.118848690388398,0.976,0.976,0.954,0.05124452787420693,0.0577196677688468,1.1263576846787386,0.978,0.982,0.946,0,249
loss_coupled_k20,0.05,1000,1000,500,0.007024911188645216,0.0076905452542184805,1.094753378042582,0.974,0.978,0.95,0.2209610671614028,0.23651766688523712,1.070404256838925,0.966,0.978,0.946,0,249
loss_coupled_k20,0.05,3000,5000,500,0.003201933479817647,0.0033933792632316207,1.059790681043404,0.96,0.97,0.936,0.10013554718520902,0.10555498495515833,1.0541210181827398,0.966,0.972,0.942,0,249
loss_coupled_k20,0.01,3000,5000,500,0.0022893046822277203,0.002443694731864011,1.0674397125183241,0.96,0.97,0.934,0.2552325512914447,0.27154853631098147,1.063925956689223,0.96,0.966,0.94,0,249
loss_coupled_k20,0.1,3000,5000,500,0.0034612469631688622,0.0034199955773805443,0.988081929366129,0.946,0.948,0.912,0.07792549021901185,0.07615054400351616,0.977222521019667,0.938,0.94,0.924,0,249
