dgp,alpha,reference_size,evaluation_size,replications,main_regime,true_delta_pi,mean_delta_pi,bias_delta_pi,standardized_bias_delta_pi,empirical_var_delta_pi,exact_if_var_delta_pi,empirical_exact_var_ratio_delta_pi,mean_estimated_var_delta_pi,estimated_exact_var_ratio_delta_pi,normal_coverage_delta_pi,evaluation_only_coverage_delta_pi,reference_variance_share_delta_pi,true_delta_s,mean_delta_s,bias_delta_s,standardized_bias_delta_s,empirical_var_delta_s,exact_if_var_delta_s,empirical_exact_var_ratio_delta_s,mean_estimated_var_delta_s,estimated_exact_var_ratio_delta_s,normal_coverage_delta_s,evaluation_only_coverage_delta_s,reference_variance_share_delta_s,mean_bridge_delta_pi,rms_bridge_delta_pi,standardized_rms_bridge_delta_pi,mean_bridge_delta_s,rms_bridge_delta_s,standardized_rms_bridge_delta_s,mean_pathwise_disagreement_probability,mean_interval_union_probability,support_violation_count,maximum_covariance_identity_error,maximum_candidate_threshold_gap,monte_carlo_se_coverage
transparent_k3,0.01,500,500,2000,0,0.004651431969591613,0.005495876,0.0008444440304083874,0.2845017626219196,1.0140582675961982e-05,8.80991700320219e-06,1.1510417944092013,9.625523389545117e-06,1.0925782145332896,0.954,0.834,0.4669116314193813,0.47538475410867953,0.5661713497262666,0.09078659561758706,0.29717401833690904,0.10948103127499395,0.0933301122779473,1.1730515329173445,0.10398252183231407,1.1141368985246984,0.9555,0.834,0.4670984907770012,-0.0008657140000000001,0.0015892239439424514,0.5354256729530377,-0.09175735861240188,0.16619994910596406,0.5440264213811018,0.005916,0.006182,0,1.0408340855860843e-17,0.6795755974750541,0.0046842288586276416
transparent_k3,0.01,1000,1000,2000,0,0.004651431969591613,0.0051096385,0.0004582065304083874,0.21831841206184735,4.88936252908229e-06,4.404958501601095e-06,1.1099678980642216,4.624297580469451e-06,1.0497936765553255,0.952,0.841,0.4669116314193813,0.47538475410867953,0.5243577709998934,0.048973016891213916,0.2267049288974647,0.0523255872981831,0.04666505613897365,1.1213012825346609,0.04948063306649048,1.0603358735738309,0.9525,0.8435,0.4670984907770012,-0.000439193,0.0008067866471378912,0.38440390519720585,-0.046325627505819415,0.08397351218094325,0.3887285349509788,0.002896,0.0030090000000000004,0,1.0408340855860843e-17,0.30755330749093934,0.004779958158812692
transparent_k3,0.01,3000,3000,2000,1,0.004651431969591613,0.004794337277777778,0.00014290530818616542,0.11793374166455924,1.4889064359987372e-06,1.4683195005336983e-06,1.0140207464775588,1.490179801863416e-06,1.014887973170534,0.951,0.8355,0.46691163141938125,0.47538475410867953,0.4906026568156633,0.015217902706983755,0.12201677280048952,0.01582873219905579,0.015555018712991217,1.017596474238631,0.015834310660868982,1.0179551020176212,0.9515,0.836,0.4670984907770012,-0.00013691594444444443,0.0002537139479832248,0.20937945257547635,-0.014420134650118752,0.02629075435514146,0.210798627292617,0.0009421666666666667,0.0009836666666666668,0,6.938893903907228e-18,0.14680811852521147,0.004826955562256609
transparent_k3,0.01,3000,5000,2000,1,0.004651431969591613,0.0047892351400000005,0.00013780317040838763,0.12821135975425305,1.1486135939069338e-06,1.155221881695851e-06,0.994279637623193,1.1686923209190848e-06,1.0116604779018377,0.955,0.7975,0.593457814729638,0.47538475410867953,0.49004121592026556,0.01465646181158603,0.13248015377628014,0.012212122986444455,0.012239301533733215,0.9977794037336319,0.012414767644583519,1.0143362846618897,0.9555,0.797,0.5936389216999729,-0.00014553036000000008,0.000244885797736006,0.2278404845054804,-0.015302973004825124,0.025423179917721743,0.22980080924574403,0.0009422,0.0009812,0,8.673617379884035e-18,0.11541752269601657,0.004635461142108735
transparent_k3,0.05,500,500,2000,0,0.019388993994652992,0.019808598,0.00041960400534700806,0.07418712531499777,3.394461787933566e-05,3.1990583713051056e-05,1.0610815414877042,3.2498510579447875e-05,1.015877386638294,0.943,0.8635,0.3803123475483739,0.43087006106621795,0.4440145529094291,0.013144491843211148,0.10152619131942964,0.01835258859904364,0.016762215276961357,1.0948784689734987,0.017370130783676524,1.0362670146320523,0.946,0.8605,0.38277293401797946,-0.0005727999999999997,0.001339137644904362,0.23676316481867746,-0.01500768372735583,0.03179406964887756,0.24557288608021555,0.005170000000000001,0.005811000000000001,0,3.469446951953614e-17,0.17677145514237003,0.005184158562389852
transparent_k3,0.05,1000,1000,2000,1,0.019388993994652992,0.0195312265,0.00014223250534700638,0.03556335914039436,1.6779632796596047e-05,1.5995291856525528e-05,1.0490357379600133,1.6069653752918996e-05,1.0046489865305666,0.94,0.8645,0.3803123475483739,0.43087006106621795,0.43592412605224706,0.0050540649860291165,0.05520648706190607,0.008915095060213632,0.008381107638480679,1.063713227984476,0.008505148531813137,1.0148000596917457,0.9405,0.863,0.38277293401797946,-0.0003023919999999998,0.0006651432898255834,0.16631029340430942,-0.007882493429813339,0.015689194323455335,0.17137597277119326,0.0026775,0.003001,0,2.7755575615628914e-17,0.08673013295099885,0.005310367218940704
transparent_k3,0.05,3000,3000,2000,1,0.019388993994652992,0.01952856822222222,0.0001395742275692273,0.06044630748261412,5.521443440090466e-06,5.331763952175177e-06,1.0355753723564425,5.363434045686512e-06,1.0059398903993892,0.9485,0.873,0.38031234754837384,0.43087006106621795,0.43478000937809463,0.0039099483118766876,0.07397431195324004,0.0029236995071580027,0.0027937025461602263,1.046532141074378,0.0028227706950832766,1.0104048832840142,0.949,0.8695,0.38277293401797946,-0.00010238188888888888,0.00023128890546267764,0.10016577229474599,-0.002649870054037674,0.0054444968470653875,0.10300722057369972,0.0008819999999999999,0.0009835,0,3.122502256758253e-17,0.030217865085423012,0.004942051699446293
transparent_k3,0.05,3000,5000,2000,1,0.019388993994652992,0.01952731732,0.00013832332534700897,0.06907405774438057,4.01179120152478e-06,4.010152637395321e-06,1.0004086039304787,4.028750102502151e-06,1.004637595320788,0.953,0.8285,0.5056504947758285,0.43087006106621795,0.43451377525291035,0.003643714186692404,0.07943744237327083,0.002110735412820141,0.0021039630158430356,1.0032188764375174,0.002120600115109467,1.0079075055697997,0.953,0.829,0.5082569001046678,-0.00010673590000000001,0.0002081664797089096,0.1039514008485957,-0.002758592897594858,0.004937641849006142,0.10764665386566102,0.0009093,0.0010183,0,2.7755575615628914e-17,0.03180920313032787,0.004732388403332932
transparent_k3,0.1,500,500,2000,0,0.03198006594755043,0.032387488000000006,0.00040742205244957697,0.0591878750294688,4.52721770583852e-05,4.738311064318067e-05,0.9554496622078722,4.782833667644203e-05,1.0093963023367998,0.951,0.904,0.2880761322744124,0.3945826617358672,0.40242435832791545,0.007841696592048253,0.0880885149551883,0.0076941785560986535,0.007924675587181457,0.9709140104794141,0.008146116085559449,1.0279431625865143,0.955,0.901,0.2928561756225441,-0.00039744600000000025,0.0012038049443327604,0.17488168884486716,-0.007026287213261443,0.016363205163296115,0.18381359516044823,0.004999000000000001,0.00598,0,5.551115123125783e-17,0.0955081259323387,0.004826955562256609
transparent_k3,0.1,1000,1000,2000,1,0.03198006594755043,0.0318656635,-0.00011440244755042683,-0.0235038241767862,2.4338570502519022e-05,2.3691555321590335e-05,1.027309949564141,2.3734667165998882e-05,1.001819713557145,0.943,0.888,0.2880761322744124,0.3945826617358672,0.39475396478142183,0.00017130304555462716,0.0027213809216347987,0.004136788232851086,0.0039623377935907285,1.0440271497151352,0.004005323772047495,1.0108486405490966,0.939,0.885,0.2928561756225441,-0.00020295650000000026,0.0006133184788509151,0.12600543082727161,-0.003551600461316498,0.008309509308908046,0.13200781123414357,0.0024975000000000006,0.0029950000000000007,0,5.551115123125783e-17,0.05126470336830691,0.005184158562389852
transparent_k3,0.1,3000,3000,2000,1,0.03198006594755043,0.031776408222222226,-0.0002036577253282032,-0.07247107940351559,7.692654824025888e-06,7.897185107196778e-06,0.9741008624725664,7.898056271247705e-06,1.000110313236818,0.954,0.903,0.2880761322744125,0.3945826617358672,0.3924778233939114,-0.0021048383419557948,-0.05791667556069409,0.001285560096954002,0.0013207792645302428,0.9733345544391423,0.0013233020747174984,1.0019100922122313,0.956,0.905,0.2928561756225441,-6.759949999999922e-05,0.00020551758623798245,0.07313290613979527,-0.0011827029743743589,0.002770566213031132,0.07623482586812119,0.0008446666666666666,0.0010106666666666667,0,5.551115123125783e-17,0.016759574757261753,0.0046842288586276416
transparent_k3,0.1,3000,5000,2000,1,0.03198006594755043,0.03192344312,-5.662282755043019e-05,-0.02382497179083524,5.498011017555043e-06,5.648307280932603e-06,0.9733909194556526,5.6527296070256766e-06,1.0007829471509107,0.9555,0.878,0.40277386274932114,0.3945826617358672,0.3943550193227029,-0.00022764241316430844,-0.0073966545876459466,0.0009291046429051008,0.0009471869044188992,0.980909510647329,0.0009504234996987769,1.003417060840662,0.9555,0.872,0.40836540544147926,-6.047011999999998e-05,0.00016751621624666653,0.07048516118397137,-0.0010907619618267862,0.0022937824480577028,0.07453055971270942,0.0008227999999999999,0.0009869,0,5.551115123125783e-17,0.01576398035964277,0.004610843198374891
gain_coupled_k20,0.01,500,500,2000,0,0.021425200678720557,0.023535471999999998,0.002110271321279441,0.34307051770955127,3.934749066654928e-05,3.783639911795294e-05,1.0399375094835424,4.067120649912269e-05,1.0749227581708394,0.9435,0.914,0.2656184210035705,2.34272961610562,2.6190224201752232,0.2762928040696031,0.3973289223800021,0.5239122920525815,0.4835471070197759,1.0834772547427418,0.5415430959703783,1.1199386535637583,0.9445,0.913,0.27566868110864234,-0.0026576620000000003,0.0036891272040958417,0.5997478935733287,-0.33236288729696056,0.4418800612841414,0.6354553067802937,0.019043000000000004,0.036136,0,2.7755575615628914e-17,0.735190532557684,0.005162739098579358
gain_coupled_k20,0.01,1000,1000,2000,0,0.021425200678720557,0.022282816500000004,0.0008576158212794463,0.197175469277068,1.851103926746148e-05,1.891819955897647e-05,0.9784778519623027,1.95484413576129e-05,1.033314047495465,0.947,0.9095,0.2656184210035705,2.34272961610562,2.4585477941258427,0.11581817802022254,0.23554415501491513,0.2427974089628551,0.24177355350988794,1.0042347702554875,0.2549430494948679,1.05447037442183,0.948,0.905,0.27566868110864234,-0.0013792995000000007,0.0018633944347614653,0.4284152216014795,-0.17071671559881993,0.22190363922700188,0.4512944866679945,0.0096715,0.019034500000000003,0,2.0816681711721685e-17,0.38171869615834186,0.005009540897128201
gain_coupled_k20,0.01,3000,3000,2000,1,0.021425200678720557,0.021732043166666666,0.00030684248794610874,0.12219015666798035,6.461633542840157e-06,6.306066519658823e-06,1.024669423117622,6.372610998844737e-06,1.0105524543673088,0.945,0.9025,0.2656184210035705,2.34272961610562,2.383925327035212,0.04119571092959173,0.14511363885480294,0.08302666490008608,0.08059118450329597,1.0302201836565699,0.08204454123758503,1.0180336936756356,0.9445,0.8965,0.2756686811086424,-0.0004508446666666669,0.0006285830928699685,0.2503130094881605,-0.05573800401531845,0.07442786129115364,0.262175297875042,0.003258,0.006562333333333333,0,2.0816681711721685e-17,0.1308845721325138,0.005097793640389931
gain_coupled_k20,0.01,3000,5000,2000,1,0.021425200678720557,0.02179431624,0.0003691155612794428,0.17490598057698314,4.436853828701813e-06,4.453642884473397e-06,0.9962302644807659,4.497655785077708e-06,1.0098824494343164,0.942,0.876,0.3760982806984338,2.34272961610562,2.3907670049721865,0.04803738886656639,0.20078194650142592,0.057487789787364,0.05724129691838033,1.004306206921467,0.05824133485966049,1.0174705674944107,0.9435,0.8715,0.3881195349693954,-0.00044827515999999946,0.0005676172128369607,0.2689662957028844,-0.055471355486455695,0.06788692441342017,0.28374708008345484,0.0032550999999999995,0.0065395,0,2.0816681711721685e-17,0.15536934704745997,0.005226662414964259
gain_coupled_k20,0.05,500,500,2000,0,0.0450471636754628,0.04463016399999999,-0.000416999675462805,-0.048764275547841456,7.375360764092447e-05,7.31253370234056e-05,1.008591695342447,7.33705876195553e-05,1.0033538388489232,0.95,0.9355,0.0793238203632062,1.2636444226743242,1.2677956917747077,0.004151269100383548,0.016316286864145494,0.06679329072624747,0.06473201248139984,1.0318432590897728,0.06671510737620968,1.0306354586979614,0.9515,0.9325,0.09447732751645592,-0.0003567539999999988,0.001978443855154853,0.23136080669998135,-0.02485904117244104,0.06264759712738932,0.24623221028611697,0.011891000000000002,0.037846000000000005,0,8.326672684688674e-17,0.2060965368615093,0.004873397172404485
gain_coupled_k20,0.05,1000,1000,2000,1,0.0450471636754628,0.044847839,-0.00019932467546279753,-0.03296416832716327,3.653308745380591e-05,3.65626685117028e-05,0.9991909491538502,3.661981773002615e-05,1.0015630483400044,0.9525,0.9445,0.0793238203632062,1.2636444226743242,1.2647698976740303,0.0011254749997060554,0.006255921574019165,0.032880723424751186,0.03236600624069992,1.0159030181303004,0.03278888533869065,1.0130655322391602,0.952,0.941,0.09447732751645592,-0.00021104649999999992,0.0010018042116601436,0.16567764421214218,-0.013351375598968972,0.03189348534876397,0.1772790538360309,0.005949000000000002,0.019593000000000003,0,6.938893903907228e-17,0.1098058694104922,0.00475624589355933
gain_coupled_k20,0.05,3000,3000,2000,1,0.0450471636754628,0.04503995738888889,-7.206286573906151e-06,-0.0020642068440439344,1.163916921279686e-05,1.21875561705676e-05,0.9550043544336584,1.2195434483023408e-05,1.0006464226581235,0.956,0.9475,0.07932382036320622,1.2636444226743242,1.2657622965251618,0.002117873850837615,0.0203899499054514,0.0103481754474947,0.010788668746899974,0.9591707457389639,0.010840730566095753,1.0048256017880555,0.9625,0.95,0.09447732751645592,-6.093883333333279e-05,0.0003312253433171365,0.09487793936363363,-0.004147288288533847,0.010410320495825064,0.10022594751128179,0.0019533333333333334,0.006520333333333334,0,6.938893903907228e-17,0.0282024996581296,0.004586065852122058
gain_coupled_k20,0.05,3000,5000,2000,1,0.0450471636754628,0.04506462378000001,1.7460104537209142e-05,0.006292495822613026,7.401982417788205e-06,7.699239108876796e-06,0.9613914197383648,7.713814771578213e-06,1.0018931302814862,0.962,0.941,0.12556611149093488,1.2636444226743242,1.2662285586217703,0.002584135947446109,0.031152453634391234,0.006538970065447794,0.006880915084406952,0.9503052988207846,0.006919724483519711,1.0056401508573627,0.9605,0.9435,0.14813212750979185,-6.536140000000056e-05,0.0002570867764782933,0.0926522211588825,-0.004307014920374466,0.0084729738935191,0.10214397838632512,0.0019901,0.0065842999999999995,0,6.938893903907228e-17,0.03302300623015175,0.004275277768753747
gain_coupled_k20,0.1,500,500,2000,0,0.04593900879990542,0.0453071,-0.0006319087999054201,-0.06809598837870366,8.63997258689345e-05,8.611241142621579e-05,1.0033365044360056,8.576535781223063e-05,0.9959697608249825,0.9465,0.9435,0.03715904562977515,0.824444582141532,0.822095760113308,-0.0023488220282240624,-0.013461747421694223,0.03084312446814936,0.030443693922923072,1.0131203048564856,0.031129168201299243,1.0225161335582877,0.9485,0.944,0.029311497058135735,0.0002403339999999978,0.0016563926321980554,0.1784967917041373,-0.004059791900170442,0.03147448055238324,0.1803889363833877,0.008348000000000001,0.038669,0,1.1102230246251565e-16,0.13774410243034096,0.005031786462082825
