dgp,alpha,trigger_regime,outer_datasets,empirical_sd_delta_pi,mean_bootstrap_sd_delta_pi,bootstrap_to_empirical_sd_ratio_delta_pi,bootstrap_normal_coverage_delta_pi,percentile_coverage_delta_pi,basic_coverage_delta_pi,empirical_sd_delta_s,mean_bootstrap_sd_delta_s,bootstrap_to_empirical_sd_ratio_delta_s,bootstrap_normal_coverage_delta_s,percentile_coverage_delta_s,basic_coverage_delta_s
transparent_k3_max_trigger,0.01,above_all_base_thresholds,500,3.3374098078061314e-05,3.4121516559574325e-05,1.0223951664480884,0.952,0.966,0.85,0.003409674180765507,0.0034859805657249847,1.0223793772994305,0.952,0.966,0.85
transparent_k3_max_trigger,0.01,below_all_base_thresholds,500,0.00037056433209142336,0.0003787741235641714,1.0221548345638471,0.826,0.86,0.722,0.03763534442075564,0.03849717416437903,1.022899478054148,0.828,0.86,0.722
transparent_k3_max_trigger,0.05,above_all_base_thresholds,500,0.0003565953296336815,0.0003582290397766072,1.004581412057763,0.932,0.936,0.896,0.007875708761304868,0.007908259125056707,1.0041330075474306,0.928,0.936,0.898
transparent_k3_max_trigger,0.05,below_all_base_thresholds,500,0.0011911023817065098,0.0012442811309885675,1.044646665222739,0.968,0.976,0.928,0.02584400869426992,0.027001727479381607,1.0447964090558588,0.97,0.978,0.93
transparent_k3_max_trigger,0.1,above_all_base_thresholds,500,0.0009188889870429777,0.0009429003761950999,1.026130892295697,0.962,0.958,0.932,0.011197588142429596,0.011540896340287023,1.030659119936424,0.954,0.952,0.932
transparent_k3_max_trigger,0.1,below_all_base_thresholds,500,0.0018787786226684392,0.0020207521864671857,1.0755669465714384,0.964,0.97,0.948,0.02258590977540577,0.024252620931148036,1.0737942891083883,0.964,0.97,0.95
gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,500,0.00025316159347430763,0.0002467067123052399,0.9745029209190736,0.932,0.944,0.878,0.02719214664895761,0.026467956541785513,0.9733676742582639,0.932,0.94,0.886
gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,500,0.0018793479240413434,0.0021170552518944767,1.126483938823828,0.964,0.978,0.926,0.19901830229552633,0.22440883265272055,1.127578871211007,0.966,0.978,0.924
gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,500,0.0013030006115076662,0.0013159665327834732,1.0099508174910252,0.95,0.95,0.928,0.03496607721088987,0.03537205052138003,1.0116104905918277,0.954,0.946,0.938
gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,500,0.0032883234547096234,0.003573230996992951,1.086642189008285,0.956,0.956,0.936,0.08429213659619032,0.09154824579748454,1.0860828719534694,0.956,0.958,0.938
gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,500,0.002078370264698689,0.0021816561079046866,1.0496955932060408,0.958,0.956,0.944,0.036311760176960785,0.03755758662520354,1.0343091726253801,0.956,0.948,0.936
gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,500,0.003761777906741093,0.004149739301489829,1.1031324560797464,0.97,0.972,0.944,0.06126405095620904,0.0677191101087875,1.105364549875954,0.97,0.97,0.952
loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,500,0.00030676105486092246,0.0003213902677278692,1.0476892768333295,0.964,0.956,0.932,0.03301948174376896,0.034543191435569776,1.0461457785323462,0.964,0.96,0.934
loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,500,0.0011784965136762914,0.0012919056802495714,1.0962320764271951,0.958,0.98,0.912,0.12511332222003546,0.13696262084427896,1.0947085283484381,0.958,0.982,0.914
loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,500,0.0016948419237413452,0.0017869617768402732,1.054353064913319,0.952,0.956,0.944,0.046554483161778536,0.04902352259745711,1.053035481611912,0.958,0.956,0.942
loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,500,0.0032433690133435236,0.0033714853806010294,1.0395010147566999,0.956,0.956,0.932,0.0885096910152422,0.09159532155644541,1.0348620643209774,0.954,0.956,0.94
loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,500,0.0028358137198691365,0.0029233189870933544,1.0308571986273682,0.944,0.95,0.92,0.05230556469932895,0.05384369705995479,1.0294066677124618,0.942,0.94,0.916
loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,500,0.004344507165418634,0.004393776464748113,1.011340595711673,0.958,0.95,0.93,0.08129651045297157,0.08156972007384161,1.0033606561874275,0.954,0.948,0.942
