dgp,alpha,trigger_regime,reference_size,evaluation_size,outer_repetitions,observed_delta_pi_bias,nu_centering_component,rho_mu_product_centering_component,outer_covariance_component,reconstructed_delta_pi_bias,delta_pi_decomposition_error,mean_e0,mean_rho,mean_mu,mean_nu,true_e0,true_rho,true_mu,true_nu,observed_delta_s_bias,delta_s_centering_component,delta_s_jensen_component,delta_s_decomposition_error,delta_s_centering_share,delta_s_jensen_share
transparent_k3_max_trigger,0.01,above_all_base_thresholds,1000,1000,2000,-1.4152724579981907e-05,0.0,-1.5218166080000029e-05,1.065441500000029e-06,-1.415272458e-05,1.8092623753351855e-17,0.020936000000000003,0.008866500000000003,0.010551000000000001,0.0,0.0192637,0.0081154,0.0096523,0.0,-0.001469878470125625,-0.0014519970815256578,-1.7881388599967282e-05,0.0,0.9878347843285037,0.012165215671496315
transparent_k3_max_trigger,0.01,above_all_base_thresholds,3000,3000,2000,-4.214835691099272e-06,0.0,-4.337384579999407e-06,1.2254888888892676e-07,-4.21483569111048e-06,1.1207939958068902e-17,0.0197953333333333,0.008300166666666635,0.009959999999999967,0.0,0.0192637,0.0081154,0.0096523,0.0,-0.0004381286071576049,-0.000432187610772905,-5.940996384699859e-06,0.0,0.9864400628316818,0.01355993716831813
transparent_k3_max_trigger,0.01,above_all_base_thresholds,3000,5000,2000,-5.178384579988322e-06,0.0,-5.2302008299999985e-06,5.181625000000799e-08,-5.1783845799999905e-06,1.1668725881375241e-17,0.019870199999999998,0.0083325,0.010028500000000001,0.0,0.0192637,0.0081154,0.0096523,0.0,-0.0005353652620451611,-0.0005306519245338315,-4.713337511329588e-06,0.0,0.9911960340995528,0.008803965900447219
transparent_k3_max_trigger,0.01,above_all_base_thresholds,5000,5000,2000,-1.8608645799909868e-06,0.0,-1.7692453400000005e-06,-9.16192399999852e-08,-1.8608645799999857e-06,8.998878031629687e-18,0.0196464,0.008179300000000002,0.009793199999999998,0.0,0.0192637,0.0081154,0.0096523,0.0,-0.0001953028303699044,-0.00019198280209420382,-3.32002827570059e-06,0.0,0.9830006136141886,0.01699938638581142
transparent_k3_max_trigger,0.01,below_all_base_thresholds,1000,1000,2000,-5.0986754349976875e-05,3.4000000000000826e-06,-5.300891110000008e-05,-1.377843249999826e-06,-5.0986754349999826e-05,2.2951204738802522e-17,0.021097,0.043118500000000004,0.010735500000000002,0.00043100000000000007,0.0192637,0.0424655,0.0096523,0.0004276,-0.005199099882575725,-0.005181423900531668,-1.7675982044057167e-05,0.0,0.9966001841774003,0.0033998158225996954
transparent_k3_max_trigger,0.01,below_all_base_thresholds,3000,3000,2000,-8.356365461103286e-06,7.566666666638752e-06,-1.6163008238887302e-05,2.399761111113413e-07,-8.35636546113721e-06,3.392366953753473e-17,0.0199303333333333,0.04272633333333331,0.009971666666666636,0.00043516666666663874,0.0192637,0.0424655,0.0096523,0.0004276,-0.0008545539694957534,-0.0008474874989750081,-7.066470520745321e-06,0.0,0.9917308083830971,0.00826919161690283
transparent_k3_max_trigger,0.01,below_all_base_thresholds,3000,5000,2000,-7.408054349992376e-06,1.5000000000000365e-06,-8.923085149999935e-06,1.5030799999993846e-08,-7.408054349999904e-06,7.528428835196221e-18,0.019837499999999997,0.042456999999999995,0.0098644,0.0004291,0.0192637,0.0424655,0.0096523,0.0004276,-0.0007608407088090993,-0.0007512763710051384,-9.564337803960902e-06,0.0,0.9874292507048796,0.012570749295120415
transparent_k3_max_trigger,0.01,below_all_base_thresholds,5000,5000,2000,1.1691045649999748e-05,1.8400000000000014e-05,-6.746929899999904e-06,3.797554999998044e-08,1.169104565000009e-05,-3.4220131069073734e-19,0.0195637,0.042490099999999996,0.0098055,0.000446,0.0192637,0.0424655,0.0096523,0.0004276,0.0011853675992517954,0.0011875562652654548,-2.1886660136593433e-06,0.0,1.001846402765725,-0.001846402765725021
transparent_k3_max_trigger,0.05,above_all_base_thresholds,1000,1000,2000,-8.44057438299543e-05,0.0,-8.653256133000055e-05,2.126817500000284e-06,-8.440574383000027e-05,4.597017211338539e-17,0.09380849999999999,0.051340500000000004,0.04483500000000001,0.0,0.0916649,0.0506207,0.0437631,0.0,-0.002035871222277212,-0.0019331825970252403,-0.00010268862525197181,0.0,0.9495603532638425,0.05043964673615752
transparent_k3_max_trigger,0.05,above_all_base_thresholds,3000,3000,2000,-2.7486327188442315e-06,0.0,-3.9291601077753e-06,1.1805273888890015e-06,-2.7486327188862986e-06,4.206704429243757e-17,0.0922388333333333,0.05067566666666665,0.04379316666666663,0.0,0.0916649,0.0506207,0.0437631,0.0,-0.00012310043694489792,-8.931172436099644e-05,-3.378871258390148e-05,0.0,0.7255191498708818,0.2744808501291181
transparent_k3_max_trigger,0.05,above_all_base_thresholds,3000,5000,2000,4.176036170045524e-06,0.0,2.6279588700001653e-06,1.5480772999993883e-06,4.176036169999554e-06,4.597017211338539e-17,0.0920276,0.050363399999999996,0.0439345,0.0,0.0916649,0.0506207,0.0437631,0.0,4.351330905867645e-05,7.084584412830885e-05,-2.7332535069632402e-05,0.0,1.6281419561260042,-0.6281419561260041
transparent_k3_max_trigger,0.05,above_all_base_thresholds,5000,5000,2000,7.54367617004318e-06,0.0,6.786542249999621e-06,7.571339200001907e-07,7.543676169999812e-06,4.336808689942018e-17,0.09185480000000001,0.0504314,0.0437928,0.0,0.0916649,0.0506207,0.0437631,0.0,0.00013287816219406667,0.0001523732972175118,-1.949513502344513e-05,0.0,1.1467143637565724,-0.14671436375657246
transparent_k3_max_trigger,0.05,below_all_base_thresholds,1000,1000,2000,-0.0001907068361899607,-5.529999999999945e-05,-0.00014191905319000265,6.512217000001486e-06,-0.0001907068361900006,3.9898639947466563e-17,0.093455,0.1553135,0.04434200000000001,0.0038675000000000003,0.0916649,0.1541251,0.0437631,0.0039228,-0.004391474407942159,-0.004249460859630849,-0.0001420135483113094,0.0,0.9676615334352234,0.032338466564776555
transparent_k3_max_trigger,0.05,below_all_base_thresholds,3000,3000,2000,-1.2306558412179033e-05,-1.3300000000033771e-05,-2.641803856660331e-06,3.6352454444443794e-06,-1.2306558412249723e-05,7.068998164605489e-17,0.09218116666666663,0.15412066666666663,0.043781499999999966,0.003909499999999966,0.0916649,0.1541251,0.0437631,0.0039228,-0.0003449485764586424,-0.00030022101980864413,-4.472755664999828e-05,0.0,0.870335581293924,0.129664418706076
transparent_k3_max_trigger,0.05,below_all_base_thresholds,3000,5000,2000,-3.529655618995497e-05,2.0000000000002655e-06,-3.877829499000004e-05,1.4817387999988343e-06,-3.529655619000094e-05,4.597017211338539e-17,0.09204659999999999,0.154212,0.0439899,0.0039248,0.0916649,0.1541251,0.0437631,0.0039228,-0.000834013413372324,-0.0007894841253077711,-4.452928806455286e-05,0.0,0.9466084269742148,0.05339157302578526
transparent_k3_max_trigger,0.05,below_all_base_thresholds,5000,5000,2000,-3.361207618995726e-05,-2.9799999999999965e-05,-4.573796790000202e-06,7.617205999991064e-07,-3.361207619000106e-05,4.380176776841438e-17,0.0918909,0.153918,0.0438517,0.0038929999999999998,0.0916649,0.1541251,0.0437631,0.0039228,-0.0007687786613300093,-0.000740231345629061,-2.8547315700948317e-05,0.0,0.962866664832293,0.03713333516770696
transparent_k3_max_trigger,0.1,above_all_base_thresholds,1000,1000,2000,-0.00011522169999995599,0.0,-0.0001326317450000003,1.7410045000000943e-05,-0.00011522169999999936,4.336808689942018e-17,0.1774995,0.11113150000000002,0.07942999999999999,0.0,0.1759489,0.1106704,0.0785625,0.0,-0.0017616695844204222,-0.001534702692063794,-0.00022696689235662815,0.0,0.8711637560392469,0.12883624396075316
transparent_k3_max_trigger,0.1,above_all_base_thresholds,3000,3000,2000,-2.610175555550938e-05,0.0,-3.300718149999542e-05,6.905425944446139e-06,-2.6101755555549278e-05,3.9898639947466563e-17,0.17654766666666666,0.11118299999999998,0.07849716666666663,0.0,0.1759489,0.1106704,0.0785625,0.0,-0.0004522385327895839,-0.0003776616405348765,-7.457689225470743e-05,0.0,0.8350939010112914,0.1649060989887085
transparent_k3_max_trigger,0.1,above_all_base_thresholds,3000,5000,2000,-3.993661999995672e-05,0.0,-4.5382895839999465e-05,5.446275840001111e-06,-3.9936619999998355e-05,4.163336342344337e-17,0.1765129,0.11093979999999999,0.0787808,0.0,0.1759489,0.1106704,0.0785625,0.0,-0.0005911019848091614,-0.0005345364046447365,-5.656558016442492e-05,0.0,0.904304871886554,0.095695128113446
transparent_k3_max_trigger,0.1,above_all_base_thresholds,5000,5000,2000,-1.2937319999956412e-05,0.0,-1.6365675539999763e-05,3.4283555399982485e-06,-1.2937320000001515e-05,4.5102810375396984e-17,0.1761814,0.1108694,0.07856909999999999,0.0,0.1759489,0.1106704,0.0785625,0.0,-0.0002269339776933138,-0.0001792056591587432,-4.77283185345706e-05,0.0,0.7896819197384701,0.21031808026152987
