dgp,alpha,trigger_regime,reference_size,evaluation_size,outer_repetitions,true_delta_pi,mean_delta_pi,bias_delta_pi,standardized_bias_delta_pi,empirical_variance_delta_pi,exact_variance_delta_pi,empirical_to_exact_variance_ratio_delta_pi,normal_coverage_delta_pi,true_delta_s,mean_delta_s,bias_delta_s,standardized_bias_delta_s,empirical_variance_delta_s,exact_variance_delta_s,empirical_to_exact_variance_ratio_delta_s,normal_coverage_delta_s,bridge_rms_delta_pi,bridge_rms_to_empirical_sd_delta_pi,bridge_rms_delta_s,bridge_rms_to_empirical_sd_delta_s,strict_sign_reversal_frequency_delta_pi,strict_sign_reversal_frequency_delta_s,mean_interval_union_probability,mean_pathwise_disagreement_probability,cell_key,declared_trigger_cdf,benchmark_trigger_cdf,trigger_cdf_error,trigger_cdf_mcse,trigger_cdf_error_z,predicted_delta_pi_bias_from_cdf,predicted_delta_s_bias_from_cdf,finite_n_covariance_bias_delta_pi,predicted_delta_pi_bias_cdf_plus_finite_n,benchmark_mcse_delta_pi,benchmark_mcse_delta_s,benchmark_beta_delta_trigger,benchmark_maximum_density,benchmark_delta_pi,benchmark_delta_s,delta_pi_bias_fail,delta_pi_bias_excess,delta_pi_standardized_bias_mcse,delta_pi_bias_excess_in_mcse,delta_pi_variance_fail,delta_pi_variance_boundary_distance,delta_pi_variance_ratio_mcse_approx,delta_pi_variance_excess_in_mcse_approx,delta_pi_coverage_fail,delta_pi_coverage_boundary_distance,delta_pi_coverage_mcse,delta_pi_coverage_excess_in_mcse,delta_s_bias_fail,delta_s_bias_excess,delta_s_standardized_bias_mcse,delta_s_bias_excess_in_mcse,delta_s_variance_fail,delta_s_variance_boundary_distance,delta_s_variance_ratio_mcse_approx,delta_s_variance_excess_in_mcse_approx,delta_s_coverage_fail,delta_s_coverage_boundary_distance,delta_s_coverage_mcse,delta_s_coverage_excess_in_mcse,plus_one_delta_pi_fail,plus_one_delta_s_fail,plus_one_sign_delta_pi_fail,plus_one_sign_delta_s_fail,outer_datasets,empirical_sd_delta_pi,mean_bootstrap_sd_delta_pi,bootstrap_to_empirical_sd_ratio_delta_pi,bootstrap_normal_coverage_delta_pi,percentile_coverage_delta_pi,basic_coverage_delta_pi,empirical_sd_delta_s,mean_bootstrap_sd_delta_s,bootstrap_to_empirical_sd_ratio_delta_s,bootstrap_normal_coverage_delta_s,percentile_coverage_delta_s,basic_coverage_delta_s,delta_pi_bootstrap_sd_fail,delta_pi_bootstrap_coverage_fail,delta_pi_bootstrap_coverage_mcse,delta_pi_bootstrap_coverage_boundary_distance,delta_pi_bootstrap_coverage_excess_in_mcse,delta_pi_bootstrap_to_exact_sd_ratio,delta_s_bootstrap_sd_fail,delta_s_bootstrap_coverage_fail,delta_s_bootstrap_coverage_mcse,delta_s_bootstrap_coverage_boundary_distance,delta_s_bootstrap_coverage_excess_in_mcse,delta_s_bootstrap_to_exact_sd_ratio
transparent_k3_max_trigger,0.01,above_all_base_thresholds,3000,3000,2000,-7.833227541999971e-05,-8.25471111111111e-05,-4.214835691111388e-06,-0.1399428997945483,1.0855650445469651e-09,9.071091764894791e-10,1.1967303084156988,0.935,-0.0079474034683633,-0.0083855320755209,-0.0004381286071576,-0.1427330293247398,1.1315764376812796e-05,9.42224202050135e-06,1.2009630353573422,0.935,4.805714833583893e-06,0.1458579385866852,0.0004915914449889,0.1461377338607598,0.0,0.0,0.0009738333333333,0.0009423333333333,main|transparent_k3_max_trigger|0.01|above_all_base_thresholds,0.9919021077407658,0.9918846,1.7507740765809743e-05,2.837171176161212e-05,0.6170844012837571,1.689899661938254e-07,1.71459985602441e-05,2.6110758473333238e-08,1.9510072466715864e-07,3.6976218373626415e-07,3.7683022545570335e-05,0.0096523,0.024541956089632364,-7.833227541999971e-05,-0.007947403468363312,False,-0.06005710020545171,0.024461503514866974,-2.455167981352855,False,0.0,0.03785339972864051,0.0,False,0.0,0.005512485827646179,0.0,False,-0.05726697067526021,0.024504724395076782,-2.3369767295471258,False,0.0,0.03798728378233037,0.0,False,0.0,0.005512485827646179,0.0,False,False,False,False,500,3.3374098078061314e-05,3.4121516559574325e-05,1.0223951664480884,0.952,0.966,0.85,0.0034096741807655,0.0034859805657249,1.0223793772994303,0.952,0.966,0.85,False,False,0.009559916317625384,0.0,0.0,1.1184509240911604,False,False,0.009559916317625384,0.0,0.0,1.1204098050697617
transparent_k3_max_trigger,0.01,below_all_base_thresholds,3000,3000,2000,1.7710254349996568e-05,9.353888888888929e-06,-8.356365461107641e-06,-0.0226010280410744,1.4162400844588968e-07,1.3670313127163632e-07,1.0359968138877178,0.9575,0.0017975353658081,0.0009429813963124,-0.0008545539694957,-0.0227719924599935,0.0014617556465849,0.0014082408206229,1.0380011892698102,0.9575,8.57026656600281e-05,0.2277329590143757,0.0087009936203862,0.227578620291604,0.0355,0.035,0.0009676666666666,0.000928,main|transparent_k3_max_trigger|0.01|below_all_base_thresholds,0.9575605261892287,0.9575345,2.6026189228756103e-05,6.376690466829172e-05,0.4081457201685015,-1.5345611976191265e-07,-1.557591700671509e-05,-5.903418116665523e-09,-1.5935953787857818e-07,6.36072466501844e-06,0.0006455943581600921,-0.00589621932020537,0.10263553878095752,1.7710254349996568e-05,0.0017975353658081783,False,-0.17739897195892562,0.022759578356020986,-7.794475327439236,False,0.0,0.03276928915221191,0.0,False,0.0,0.004510751046111944,0.0,False,-0.1772280075400065,0.022781584550572973,-7.779441642725817,False,0.0,0.03283268891906918,0.0,False,0.0,0.004510751046111944,0.0,True,True,True,True,500,0.0003705643320914,0.0003787741235641,1.0221548345638471,0.826,0.86,0.722,0.0376353444207556,0.038497174164379,1.022899478054148,0.828,0.86,0.722,False,True,0.016954291492126707,-0.09400000000000008,-5.544318973379226,1.0403893478790154,False,True,0.0168769665520792,-0.09200000000000008,-5.451216586588893,1.042153958668268
transparent_k3_max_trigger,0.05,above_all_base_thresholds,3000,3000,2000,-0.0022153187561699,-0.0022180673888888,-2.748632718893671e-06,-0.0078348280753311,1.221342734905447e-07,1.2307631424382056e-07,0.9923458810164756,0.9515,-0.0476057782615166,-0.0477288786984616,-0.0001231004369449,-0.0159106244535991,5.974310979837094e-05,5.986110631620071e-05,0.9980288283145572,0.9505,2.635057335333304e-05,0.0753999907574366,0.0005825401694993,0.0753671278721526,0.0,0.0,0.0010078333333333,0.0009078333333333,main|transparent_k3_max_trigger|0.05|above_all_base_thresholds,0.9494056242091341,0.9493793,2.6324209134065413e-05,6.932405407325078e-05,0.37972691421436666,1.152028996755018e-06,2.4786614129097497e-05,7.384395853899985e-07,1.8904685821450164e-06,4.352696550401956e-06,9.592676580060837e-05,0.0437631,0.1185320163832252,-0.0022153187561699955,-0.047605778261516685,False,-0.19216517192466892,0.022274939741966482,-8.626967082771742,False,0.0,0.03138858023318182,0.0,False,0.0,0.004803527349771207,0.0,False,-0.18408937554640092,0.022338630534508568,-8.240853227865552,False,0.0,0.0315683357505263,0.0,False,0.0,0.004850244839180801,0.0,False,False,False,False,500,0.0003565953296336,0.0003582290397766,1.004581412057763,0.932,0.936,0.896,0.0078757087613048,0.0079082591250567,1.0041330075474306,0.928,0.936,0.898,False,False,0.01125841907196565,0.0,0.0,1.0007294341966566,False,False,0.0115599307956406,0.0,0.0,1.0031428600926364
transparent_k3_max_trigger,0.05,below_all_base_thresholds,3000,3000,2000,-0.0028221921638099,-0.0028344987222222,-1.230655841222804e-05,-0.0105653020872219,1.3396213901749362e-06,1.3567798859381469e-06,0.98735351552522,0.943,-0.0609309588691659,-0.0612759074456246,-0.0003449485764586,-0.0136567299427352,0.0006315249156073,0.0006379920560307,0.9898632900484444,0.9415,0.0001444146791553,0.1247729097168608,0.0031368314601869,0.1248233805437087,0.0015,0.0015,0.0009788333333333,0.0008766666666666,main|transparent_k3_max_trigger|0.05|below_all_base_thresholds,0.8459317452415175,0.8458749,5.6845241517500256e-05,0.00011417992535905337,0.4978567058854096,-7.857506628697615e-07,-1.6769965317683144e-05,9.407307212699982e-07,1.549800584002367e-07,1.914782117524407e-05,0.00041407708141994576,-0.01382262862983636,0.2754544205963272,-0.0028221921638099945,-0.060930958869165996,False,-0.18943469791277812,0.022218837903063473,-8.525859846462058,False,0.0,0.031230668291616515,0.0,False,0.0,0.005184158562389852,0.0,False,-0.1863432700572648,0.02224705924440851,-8.376085486628963,False,0.0,0.031310054179638475,0.0,False,0.0,0.0052477495176503994,0.0,False,False,False,False,500,0.0011911023817065,0.0012442811309885,1.044646665222739,0.968,0.976,0.928,0.0258440086942699,0.0270017274793816,1.0447964090558588,0.97,0.978,0.93,False,False,0.007870959280799264,0.0,0.0,1.0380200939379551,False,False,0.007628892449104264,0.0,0.0,1.0394875220475335
transparent_k3_max_trigger,0.1,above_all_base_thresholds,3000,3000,2000,-0.0086945432999999,-0.0087206450555555,-2.610175555555969e-05,-0.0283830474632142,8.084039536147061e-07,8.457098511071766e-07,0.9558880655775372,0.9555,-0.1006736919550885,-0.1011259304878781,-0.0004522385327896,-0.0401691422373199,0.0001224476984997,0.0001267505962284,0.9660522486147928,0.9525,5.37318780820309e-05,0.0597609931460441,0.0006525919756034,0.0589747917509338,0.0,0.0,0.000978,0.0008166666666666,main|transparent_k3_max_trigger|0.1|above_all_base_thresholds,0.889318200684541,0.8893295999999999,-1.1399315458904269e-05,9.920809571997642e-05,-0.11490307697347442,-8.955587207401665e-07,-1.0424821125828079e-05,2.898181099999999e-06,2.0026223792598325e-06,1.1588414232946694e-05,0.00014151624443854238,0.0785625,0.21776406705563178,-0.008694543299999996,-0.10067369195508857,False,-0.1716169525367858,0.021861931131278604,-7.8500362802464245,False,0.0,0.03023539454770342,0.0,False,0.0,0.004610843198374891,0.0,False,-0.1598308577626801,0.02197785531637235,-7.272359175265591,False,0.0,0.03055689462229721,0.0,False,0.0,0.00475624589355933,0.0,False,False,False,False,500,0.0009188889870429,0.000942900376195,1.026130892295697,0.962,0.958,0.932,0.0111975881424295,0.011540896340287,1.030659119936424,0.954,0.952,0.932,False,False,0.008550555537507495,0.0,0.0,1.003243332706244,False,False,0.009368457717255283,0.0,0.0,1.013013792353033
transparent_k3_max_trigger,0.1,below_all_base_thresholds,3000,3000,2000,-0.0111011629187499,-0.0111207314444444,-1.9568525694454303e-05,-0.0100018169960957,3.860996730366556e-06,3.827880803273734e-06,1.0086512430231631,0.9485,-0.1302362897946867,-0.130616979060763,-0.0003806892660763,-0.0162302339267046,0.0005543340987684,0.0005501634116679,1.007580815103324,0.9465,0.0001810748858625,0.0921527931465939,0.0021818901641184,0.0926716909282273,0.0,0.0,0.0010004999999999,0.0008473333333333,main|transparent_k3_max_trigger|0.1|below_all_base_thresholds,0.7382068043992457,0.7381669,3.9904399245727085e-05,0.00013902392878364141,0.28703259643761797,-1.0852443322866149e-06,-1.2140203149697641e-05,3.7003876395833303e-06,2.6151433072967155e-06,3.067756919347835e-05,0.0003638145467509351,-0.027196107516963094,0.3819838077633023,-0.01110116291874999,-0.1302362897946867,False,-0.1899981830039043,0.022457195317126793,-8.460459123272788,False,0.0,0.03190433000689352,0.0,False,0.0,0.004942051699446293,0.0,False,-0.18376976607329543,0.022445275840400403,-8.187458571683882,False,0.0,0.03187047163826575,0.0,False,0.0,0.005031786462082825,0.0,False,False,False,False,500,0.0018787786226684,0.0020207521864671,1.0755669465714384,0.964,0.97,0.948,0.0225859097754057,0.024252620931148,1.0737942891083885,0.964,0.97,0.95,False,False,0.008331146379700699,0.0,0.0,1.080209422917812,False,False,0.008331146379700699,0.0,0.0,1.077856722488067
gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,3000,2000,-0.0011584173922599,-0.0011924667222222,-3.404932996222505e-05,-0.144547797952033,5.7125297454897194e-08,5.5487375067434665e-08,1.0295188299225173,0.943,-0.121583183948406,-0.1254296779235721,-0.0038464939751661,-0.1526876103935698,0.0006569982520672,0.0006346328033044,1.0352415580258167,0.942,3.562361662897801e-05,0.1490471826224461,0.003884593314333,0.1515526209011814,0.0,0.0,0.0064651666666666,0.0030273333333333,main|gain_coupled_k20_max_trigger|0.01|above_all_base_thresholds,0.9746196720524254,0.9746009,1.877205242539759e-05,4.975337749257834e-05,0.37730207216983,8.561670302489885e-07,8.991503407171985e-05,3.8613913075333237e-07,1.2423061610023208e-06,2.772883678312209e-06,0.00029611287087657833,0.0456086,0.06808486437144365,-0.0011584173922599972,-0.12158318394840606,False,-0.055452202047967,0.02268831009487614,-2.4440869247679293,False,0.0,0.03256438608027828,0.0,False,0.0,0.005184158562389852,0.0,False,-0.04731238960643022,0.022751280821371535,-2.079548398962536,False,0.0,0.032745399891752056,0.0,False,0.0,0.005226662414964259,0.0,False,True,False,False,500,0.0002531615934743,0.0002467067123052,0.9745029209190736,0.932,0.944,0.878,0.0271921466489576,0.0264679565417855,0.973367674258264,0.932,0.94,0.886,False,False,0.01125841907196565,0.0,0.0,0.9887814091813129,False,False,0.01125841907196565,0.0,0.0,0.9903706650392806
gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,3000,2000,0.0072832762495,0.0069072317222222,-0.0003760445272777,-0.1914124852583547,3.7827740618727856e-06,3.85956199301696e-06,0.9801044959808636,0.9515,0.7704774205260767,0.7316818650023325,-0.0387955555237442,-0.1866748285588071,0.042483217093592,0.0431909172952296,0.9836146058950288,0.9505,0.0005524233613401,0.2840317141945276,0.0577561549431026,0.280213835328636,0.0,0.0,0.0065023333333333,0.0030543333333333,main|gain_coupled_k20_max_trigger|0.01|below_all_base_thresholds,0.903948238413394,0.9039825,-3.426158660602141e-05,9.31655192084228e-05,-0.3677496449021445,5.8552289494852204e-06,0.0006230927643560884,-2.4277587498333365e-06,3.427470199651884e-06,3.0121414938003477e-05,0.0031950601820468693,-0.1708977758915629,0.19891646532171148,0.007283276249500009,0.7704774205260767,False,-0.008587514741645319,0.02213712375152725,-0.3879236904502042,False,0.0,0.031001376835953026,0.0,False,0.0,0.004803527349771207,0.0,False,-0.013325171441192912,0.022176728860395855,-0.6008628019522559,False,0.0,0.031112404017881977,0.0,False,0.0,0.004850244839180801,0.0,True,True,False,False,500,0.0018793479240413,0.0021170552518944,1.126483938823828,0.964,0.978,0.926,0.1990183022955263,0.2244088326527205,1.127578871211007,0.966,0.978,0.924,False,False,0.008331146379700699,0.0,0.0,1.1152216573368137,False,False,0.008104813384649892,0.0,0.0,1.1183028041713492
gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,3000,2000,-0.0141916712588699,-0.0143229441111111,-0.0001312728522411,-0.1015812781088445,1.8255131200907984e-06,1.6700231725217125e-06,1.0931064611123318,0.9395,-0.3498876988385859,-0.3539887840961524,-0.0041010852575664,-0.1180785050569083,0.0013269634400226,0.0012063015995596,1.100026262509302,0.9375,9.58189391766485e-05,0.0709183918775568,0.0025367623501824,0.0696386437882557,0.0,0.0,0.0065214999999999,0.0018725,main|gain_coupled_k20_max_trigger|0.05|above_all_base_thresholds,0.8774319797369772,0.8776043,-0.00017232026302282932,0.00010364120446111672,-1.6626617175939813,-1.998037940926034e-05,-0.0004970519810936681,4.730557086289999e-06,-1.524982232297034e-05,1.6052716820125773e-05,0.00042573002823213145,0.1159491,0.2380771415701307,-0.014191671258869998,-0.34988769883858595,False,-0.09841872189115551,0.023378477934976133,-4.209800234424713,False,0.0,0.034575706428980696,0.0,False,0.0,0.005331029450303197,0.0,False,-0.08192149494309171,0.023452358756735986,-3.4931025826799713,False,0.0,0.03479458448904177,0.0,False,0.0,0.005412658773652742,0.0,False,False,False,False,500,0.0013030006115076,0.0013159665327834,1.0099508174910252,0.95,0.95,0.928,0.0349660772108898,0.03537205052138,1.0116104905918275,0.954,0.946,0.938,False,False,0.00974679434480897,0.0,0.0,1.0559210694714785,False,False,0.009368457717255283,0.0,0.0,1.0609986988841202
gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,3000,2000,0.0047534510748599,0.0045070574444444,-0.0002463936304155,-0.0727472060360924,1.1715389132365076e-05,1.14716613171074e-05,1.0212460783595667,0.9485,0.1219714557552205,0.1154931484518197,-0.0064783073034007,-0.0749055539661485,0.007673470188791,0.0074798872264234,1.0258804653743556,0.945,0.0005228294707055,0.15275016940109,0.0133056922310528,0.1518943321120367,0.02,0.02,0.0066708333333333,0.0018961666666666,main|gain_coupled_k20_max_trigger|0.05|below_all_base_thresholds,0.6919832483615674,0.6919946,-1.135163843257736e-05,0.00014599249075580566,-0.07775494735249554,2.3589261088915443e-06,6.0930040193533974e-05,-1.5844836916199996e-06,7.744424172715448e-07,4.8194503229954025e-05,0.0012354383922998976,-0.2078049017243017,0.4181550894061094,0.004753451074859999,0.1219714557552205,False,-0.1272527939639076,0.022596969690199243,-5.631409684949911,False,0.0,0.0323027132793423,0.0,False,0.0,0.004942051699446293,0.0,False,-0.1250944460338515,0.022648183871718672,-5.52337647655978,False,0.0,0.03244930211638803,0.0,False,0.0,0.005097793640389931,0.0,True,True,True,True,500,0.0032883234547096,0.0035732309969929,1.086642189008285,0.956,0.956,0.936,0.0842921365961903,0.0915482457974845,1.0860828719534694,0.956,0.958,0.938,False,False,0.009172131704244116,0.0,0.0,1.0981249611457433,False,False,0.009172131704244116,0.0,0.0,1.10004726293831
