dgp,alpha,trigger_regime,reference_size,evaluation_size,outer_repetitions,true_delta_pi,mean_delta_pi,bias_delta_pi,standardized_bias_delta_pi,empirical_variance_delta_pi,exact_variance_delta_pi,empirical_to_exact_variance_ratio_delta_pi,normal_coverage_delta_pi,true_delta_s,mean_delta_s,bias_delta_s,standardized_bias_delta_s,empirical_variance_delta_s,exact_variance_delta_s,empirical_to_exact_variance_ratio_delta_s,normal_coverage_delta_s,bridge_rms_delta_pi,bridge_rms_to_empirical_sd_delta_pi,bridge_rms_delta_s,bridge_rms_to_empirical_sd_delta_s,strict_sign_reversal_frequency_delta_pi,strict_sign_reversal_frequency_delta_s,mean_interval_union_probability,mean_pathwise_disagreement_probability,cell_key,declared_trigger_cdf,benchmark_trigger_cdf,trigger_cdf_error,trigger_cdf_mcse,trigger_cdf_error_z,predicted_delta_pi_bias_from_cdf,predicted_delta_s_bias_from_cdf,finite_n_covariance_bias_delta_pi,predicted_delta_pi_bias_cdf_plus_finite_n,benchmark_mcse_delta_pi,benchmark_mcse_delta_s,benchmark_beta_delta_trigger,benchmark_maximum_density,benchmark_delta_pi,benchmark_delta_s,delta_pi_bias_fail,delta_pi_bias_excess,delta_pi_standardized_bias_mcse,delta_pi_bias_excess_in_mcse,delta_pi_variance_fail,delta_pi_variance_boundary_distance,delta_pi_variance_ratio_mcse_approx,delta_pi_variance_excess_in_mcse_approx,delta_pi_coverage_fail,delta_pi_coverage_boundary_distance,delta_pi_coverage_mcse,delta_pi_coverage_excess_in_mcse,delta_s_bias_fail,delta_s_bias_excess,delta_s_standardized_bias_mcse,delta_s_bias_excess_in_mcse,delta_s_variance_fail,delta_s_variance_boundary_distance,delta_s_variance_ratio_mcse_approx,delta_s_variance_excess_in_mcse_approx,delta_s_coverage_fail,delta_s_coverage_boundary_distance,delta_s_coverage_mcse,delta_s_coverage_excess_in_mcse,plus_one_delta_pi_fail,plus_one_delta_s_fail,plus_one_sign_delta_pi_fail,plus_one_sign_delta_s_fail
transparent_k3_max_trigger,0.01,above_all_base_thresholds,1000,1000,2000,-7.833227541999971e-05,-9.248500000000003e-05,-1.4152724580000323e-05,-0.2712999086883113,3.466061805902955e-09,2.7213275294684373e-09,1.273665800375006,0.9255,-0.0079474034683633,-0.0094172819384889,-0.0014698784701256,-0.2764672378880546,3.635801537050693e-05,2.8266726061504044e-05,1.2862478410622258,0.921,1.565073480703058e-05,0.2658377064114428,0.001606606377322,0.2664461210268125,0.0,0.0,0.0030305,0.002912,main|transparent_k3_max_trigger|0.01|above_all_base_thresholds,0.9919021077407658,0.9918846,1.7507740765809743e-05,2.837171176161212e-05,0.6170844012837571,1.689899661938254e-07,1.71459985602441e-05,7.83322754199997e-08,2.4732224161382513e-07,3.6976218373626415e-07,3.7683022545570335e-05,0.0096523,0.024541956089632364,-7.833227541999971e-05,-0.007947403468363312,True,0.07129990868831126,0.025235548343309346,2.825375843565328,True,0.023665800375006096,0.04028692206025982,0.5874313341587026,False,0.0,0.005871530890662162,0.0,True,0.0764672378880546,0.025359888022842548,3.0152829468007845,True,0.03624784106222578,0.04068490062918723,0.8909408773686837,True,-0.0040000000000000036,0.006031542091372652,-0.6631803176374234,True,True,False,False
transparent_k3_max_trigger,0.01,above_all_base_thresholds,3000,3000,2000,-7.833227541999971e-05,-8.25471111111111e-05,-4.214835691111388e-06,-0.1399428997945483,1.0855650445469651e-09,9.071091764894791e-10,1.1967303084156988,0.935,-0.0079474034683633,-0.0083855320755209,-0.0004381286071576,-0.1427330293247398,1.1315764376812796e-05,9.42224202050135e-06,1.2009630353573422,0.935,4.805714833583893e-06,0.1458579385866852,0.0004915914449889,0.1461377338607598,0.0,0.0,0.0009738333333333,0.0009423333333333,main|transparent_k3_max_trigger|0.01|above_all_base_thresholds,0.9919021077407658,0.9918846,1.7507740765809743e-05,2.837171176161212e-05,0.6170844012837571,1.689899661938254e-07,1.71459985602441e-05,2.6110758473333238e-08,1.9510072466715864e-07,3.6976218373626415e-07,3.7683022545570335e-05,0.0096523,0.024541956089632364,-7.833227541999971e-05,-0.007947403468363312,False,-0.06005710020545171,0.024461503514866974,-2.455167981352855,False,0.0,0.03785339972864051,0.0,False,0.0,0.005512485827646179,0.0,False,-0.05726697067526021,0.024504724395076782,-2.3369767295471258,False,0.0,0.03798728378233037,0.0,False,0.0,0.005512485827646179,0.0,False,False,False,False
transparent_k3_max_trigger,0.01,above_all_base_thresholds,3000,5000,2000,-7.833227541999971e-05,-8.351065999999998e-05,-5.178384580000275e-06,-0.1923455258973868,8.497996197742897e-10,7.248104131275982e-10,1.172443999676213,0.9255,-0.0079474034683633,-0.0084827687304085,-0.0005353652620452,-0.1951122624050295,8.858702952320138e-06,7.528895102941399e-06,1.1766272250039993,0.9255,4.843174578724147e-06,0.1661391016598348,0.0004955148100655,0.1664836426626506,0.0,0.0,0.0010023,0.0009654,main|transparent_k3_max_trigger|0.01|above_all_base_thresholds,0.9919021077407658,0.9918846,1.7507740765809743e-05,2.837171176161212e-05,0.6170844012837571,1.689899661938254e-07,1.71459985602441e-05,1.5666455083999942e-08,1.8465642127782535e-07,3.6976218373626415e-07,3.7683022545570335e-05,0.0096523,0.024541956089632364,-7.833227541999971e-05,-0.007947403468363312,False,-0.007654474102613218,0.02421202180401518,-0.31614353252167665,False,0.0,0.03708520714073323,0.0,False,0.0,0.005871530890662162,0.0,False,-0.00488773759497052,0.024255177024750812,-0.20151316933217622,False,0.0,0.037217525424455236,0.0,False,0.0,0.005871530890662162,0.0,True,True,False,False
transparent_k3_max_trigger,0.01,above_all_base_thresholds,5000,5000,2000,-7.833227541999971e-05,-8.019314000000002e-05,-1.860864580000311e-06,-0.0797644480172594,5.890930746777412e-10,5.442655058936874e-10,1.08236342060746,0.951,-0.0079474034683633,-0.0081427062987332,-0.0001953028303699,-0.0821402053673371,6.133057603848919e-06,5.653345212300809e-06,1.084854607941565,0.95,2.864052373822739e-06,0.1180018991133129,0.0002928202684625,0.1182395076333102,0.0,0.0,0.0006128,0.0005882,main|transparent_k3_max_trigger|0.01|above_all_base_thresholds,0.9919021077407658,0.9918846,1.7507740765809743e-05,2.837171176161212e-05,0.6170844012837571,1.689899661938254e-07,1.71459985602441e-05,1.5666455083999942e-08,1.8465642127782535e-07,3.6976218373626415e-07,3.7683022545570335e-05,0.0096523,0.024541956089632364,-7.833227541999971e-05,-0.007947403468363312,False,-0.12023555198274061,0.023263312539355395,-5.168462220474137,False,0.0,0.03423589669601734,0.0,False,0.0,0.004826955562256609,0.0,False,-0.11785979463266291,0.023290068784157392,-5.060517241273014,False,0.0,0.03431469465851037,0.0,False,0.0,0.004873397172404485,0.0,False,False,False,False
transparent_k3_max_trigger,0.01,below_all_base_thresholds,1000,1000,2000,1.7710254349996568e-05,-3.327650000000001e-05,-5.098675434999658e-05,-0.079617311527738,4.394116368661831e-07,4.10109393814909e-07,1.0714498216651405,0.9445,0.0017975353658081,-0.0034015645167675,-0.0051990998825757,-0.0799887792941717,0.0045507093856985,0.0042247224618688,1.077161737077861,0.945,0.0002649068487223,0.3996293801049844,0.026923589450622,0.3991107343926211,0.0475,0.0475,0.0029945,0.002872,main|transparent_k3_max_trigger|0.01|below_all_base_thresholds,0.9575605261892287,0.9575345,2.6026189228756103e-05,6.376690466829172e-05,0.4081457201685015,-1.5345611976191265e-07,-1.557591700671509e-05,-1.7710254349996567e-08,-1.7116637411190922e-07,6.36072466501844e-06,0.0006455943581600921,-0.00589621932020537,0.10263553878095752,1.7710254349996568e-05,0.0017975353658081783,False,-0.12038268847226201,0.02314573202196401,-5.201075012793959,False,0.0,0.03389069208280036,0.0,False,0.0,0.005119558086397692,0.0,False,-0.12001122070582831,0.023207345141978877,-5.171260218332541,False,0.0,0.0340713638814616,0.0,False,0.0,0.005097793640389931,0.0,True,True,True,True
transparent_k3_max_trigger,0.01,below_all_base_thresholds,3000,3000,2000,1.7710254349996568e-05,9.353888888888929e-06,-8.356365461107641e-06,-0.0226010280410744,1.4162400844588968e-07,1.3670313127163632e-07,1.0359968138877178,0.9575,0.0017975353658081,0.0009429813963124,-0.0008545539694957,-0.0227719924599935,0.0014617556465849,0.0014082408206229,1.0380011892698102,0.9575,8.57026656600281e-05,0.2277329590143757,0.0087009936203862,0.227578620291604,0.0355,0.035,0.0009676666666666,0.000928,main|transparent_k3_max_trigger|0.01|below_all_base_thresholds,0.9575605261892287,0.9575345,2.6026189228756103e-05,6.376690466829172e-05,0.4081457201685015,-1.5345611976191265e-07,-1.557591700671509e-05,-5.903418116665523e-09,-1.5935953787857818e-07,6.36072466501844e-06,0.0006455943581600921,-0.00589621932020537,0.10263553878095752,1.7710254349996568e-05,0.0017975353658081783,False,-0.17739897195892562,0.022759578356020986,-7.794475327439236,False,0.0,0.03276928915221191,0.0,False,0.0,0.004510751046111944,0.0,False,-0.1772280075400065,0.022781584550572973,-7.779441642725817,False,0.0,0.03283268891906918,0.0,False,0.0,0.004510751046111944,0.0,True,True,True,True
transparent_k3_max_trigger,0.01,below_all_base_thresholds,3000,5000,2000,1.7710254349996568e-05,1.0302200000000028e-05,-7.40805434999654e-06,-0.0257512942276467,8.237254407039522e-08,8.275804025273772e-08,0.9953418884598374,0.9565,0.0017975353658081,0.001036694656999,-0.0007608407088091,-0.0260580521641367,0.0008494552187297,0.000852518053572,0.9964073079397162,0.9565,6.726477299746127e-05,0.2343669893793086,0.0068310025370333,0.2343765742960367,0.0465,0.0465,0.0009963,0.0009618,main|transparent_k3_max_trigger|0.01|below_all_base_thresholds,0.9575605261892287,0.9575345,2.6026189228756103e-05,6.376690466829172e-05,0.4081457201685015,-1.5345611976191265e-07,-1.557591700671509e-05,-3.5420508699993136e-09,-1.5699817063191196e-07,6.36072466501844e-06,0.0006455943581600921,-0.00589621932020537,0.10263553878095752,1.7710254349996568e-05,0.0017975353658081783,False,-0.1742487057723533,0.02230853971531796,-7.810852166747023,False,0.0,0.031483346001664525,0.0,False,0.0,0.004561126505590477,0.0,False,-0.1739419478358633,0.022320476114318397,-7.792931788058096,False,0.0,0.03151704594990426,0.0,False,0.0,0.004561126505590477,0.0,True,True,True,True
transparent_k3_max_trigger,0.01,below_all_base_thresholds,5000,5000,2000,1.7710254349996568e-05,2.940129999999998e-05,1.169104565000341e-05,0.0408214568473253,8.346150198530267e-08,8.20218787629818e-08,1.0175516977181291,0.951,0.0017975353658081,0.0029829029650599,0.0011853675992517,0.0407792244862107,0.0008604900106249,0.0008449444923737,1.018398271592355,0.951,5.55370363415262e-05,0.1922381606543618,0.0056384615777227,0.1922151915981513,0.0375,0.0375,0.000609,0.0005833,main|transparent_k3_max_trigger|0.01|below_all_base_thresholds,0.9575605261892287,0.9575345,2.6026189228756103e-05,6.376690466829172e-05,0.4081457201685015,-1.5345611976191265e-07,-1.557591700671509e-05,-3.5420508699993136e-09,-1.5699817063191196e-07,6.36072466501844e-06,0.0006455943581600921,-0.00589621932020537,0.10263553878095752,1.7710254349996568e-05,0.0017975353658081783,False,-0.1591785431526747,0.022556060136004794,-7.057018920542254,False,0.0,0.032185857488036054,0.0,False,0.0,0.004826955562256609,0.0,False,-0.15922077551378933,0.0225654411832824,-7.055956682635037,False,0.0,0.032212635199802477,0.0,False,0.0,0.004826955562256609,0.0,True,True,True,True
transparent_k3_max_trigger,0.05,above_all_base_thresholds,1000,1000,2000,-0.0022153187561699,-0.0022997245,-8.44057438300046e-05,-0.1389070003958592,3.838801896945973e-07,3.6922894273146155e-07,1.0396806568162007,0.9445,-0.0476057782615166,-0.0496416494837939,-0.0020358712222772,-0.151920823786365,0.0001893883722745,0.0001795833189486,1.0545989092047925,0.942,7.967775097227584e-05,0.1285994812114077,0.0017680102795785,0.1284718949667186,0.0,0.0,0.003031,0.0027265,main|transparent_k3_max_trigger|0.05|above_all_base_thresholds,0.9494056242091341,0.9493793,2.6324209134065413e-05,6.932405407325078e-05,0.37972691421436666,1.152028996755018e-06,2.4786614129097497e-05,2.2153187561699953e-06,3.3673477529250133e-06,4.352696550401956e-06,9.592676580060837e-05,0.0437631,0.1185320163832252,-0.0022153187561699955,-0.047605778261516685,False,-0.0610929996041408,0.022800007201930886,-2.6795166801073185,False,0.0,0.03288581162843631,0.0,False,0.0,0.005119558086397692,0.0,False,-0.048079176213635,0.02296300186392006,-2.093767030049237,False,0.0,0.03335768617439454,0.0,False,0.0,0.005226662414964259,0.0,False,False,False,False
transparent_k3_max_trigger,0.05,above_all_base_thresholds,3000,3000,2000,-0.0022153187561699,-0.0022180673888888,-2.748632718893671e-06,-0.0078348280753311,1.221342734905447e-07,1.2307631424382056e-07,0.9923458810164756,0.9515,-0.0476057782615166,-0.0477288786984616,-0.0001231004369449,-0.0159106244535991,5.974310979837094e-05,5.986110631620071e-05,0.9980288283145572,0.9505,2.635057335333304e-05,0.0753999907574366,0.0005825401694993,0.0753671278721526,0.0,0.0,0.0010078333333333,0.0009078333333333,main|transparent_k3_max_trigger|0.05|above_all_base_thresholds,0.9494056242091341,0.9493793,2.6324209134065413e-05,6.932405407325078e-05,0.37972691421436666,1.152028996755018e-06,2.4786614129097497e-05,7.384395853899985e-07,1.8904685821450164e-06,4.352696550401956e-06,9.592676580060837e-05,0.0437631,0.1185320163832252,-0.0022153187561699955,-0.047605778261516685,False,-0.19216517192466892,0.022274939741966482,-8.626967082771742,False,0.0,0.03138858023318182,0.0,False,0.0,0.004803527349771207,0.0,False,-0.18408937554640092,0.022338630534508568,-8.240853227865552,False,0.0,0.0315683357505263,0.0,False,0.0,0.004850244839180801,0.0,False,False,False,False
