cell_key,dgp,alpha,trigger_regime,declared_trigger_cdf,benchmark_trigger_cdf,trigger_cdf_error,trigger_cdf_mcse,trigger_cdf_error_z,predicted_delta_pi_bias_from_cdf,predicted_delta_s_bias_from_cdf,benchmark_beta_delta_trigger,benchmark_maximum_density
main|gain_coupled_k20_max_trigger|0.05|above_all_base_thresholds,gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,0.8774319797369772,0.8776043,-0.00017232026302282932,0.00010364120446111672,-1.6626617175939813,-1.998037940926034e-05,-0.0004970519810936681,0.1159491,0.2380771415701307
main|loss_coupled_k20_max_trigger|0.1|below_all_base_thresholds,loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,0.5271917211110826,0.5270026,0.00018912111108260188,0.0001578831401997186,1.1978550137992439,-3.018010587959309e-05,-0.00039502232305235047,-0.1595808405885021,0.4768660572292901
main|loss_coupled_k20_max_trigger|0.01|below_all_base_thresholds,loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,0.9039482643265628,0.903838,0.00011026432656280338,9.322814476111813e-05,1.1827364670329725,-3.3905863711239374e-06,-0.00035597604242452573,-0.03074962208373673,0.1989936038751316
main|loss_coupled_k20_max_trigger|0.01|above_all_base_thresholds,loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,0.9746197784690543,0.9745618,5.797846905430948e-05,4.979065974734615e-05,1.1644446839730767,3.6678918877827804e-06,0.000385429336539575,0.063263,0.06807872222799596
main|loss_coupled_k20_max_trigger|0.1|above_all_base_thresholds,loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,0.7687054023493234,0.7685889,0.00011650234932336634,0.00013336416415094047,0.8735656243570044,2.7938498292646076e-05,0.00044117780505959154,0.2398106,0.3605255838333283
main|loss_coupled_k20_max_trigger|0.05|below_all_base_thresholds,loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,0.6919833493633816,0.6918658,0.00011754936338159716,0.0001460094225693534,0.8050806674874841,-9.826394365824268e-06,-0.00022908680223288427,-0.08359376931651363,0.4181123908368113
main|gain_coupled_k20_max_trigger|0.1|below_all_base_thresholds,gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,0.5271916934820868,0.5270798,0.00011189348208684446,0.00015788181796266474,0.7087167067793999,-2.6827226772448238e-05,-0.0004210746882896652,-0.2397568318736089,0.4764445168299707
main|transparent_k3_max_trigger|0.01|above_all_base_thresholds,transparent_k3_max_trigger,0.01,above_all_base_thresholds,0.9919021077407658,0.9918846,1.7507740765809743e-05,2.837171176161212e-05,0.6170844012837571,1.689899661938254e-07,1.71459985602441e-05,0.0096523,0.024541956089632364
main|transparent_k3_max_trigger|0.05|below_all_base_thresholds,transparent_k3_max_trigger,0.05,below_all_base_thresholds,0.8459317452415175,0.8458749,5.6845241517500256e-05,0.00011417992535905337,0.4978567058854096,-7.857506628697615e-07,-1.6769965317683144e-05,-0.01382262862983636,0.2754544205963272
main|transparent_k3_max_trigger|0.01|below_all_base_thresholds,transparent_k3_max_trigger,0.01,below_all_base_thresholds,0.9575605261892287,0.9575345,2.6026189228756103e-05,6.376690466829172e-05,0.4081457201685015,-1.5345611976191265e-07,-1.557591700671509e-05,-0.00589621932020537,0.10263553878095752
main|loss_coupled_k20_max_trigger|0.05|above_all_base_thresholds,loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,0.8774319473974589,0.87739,4.194739745888576e-05,0.00010371923056984177,0.4044322082647875,7.668101708197201e-06,0.00019280597615713537,0.1828028,0.23783354568178694
main|transparent_k3_max_trigger|0.05|above_all_base_thresholds,transparent_k3_max_trigger,0.05,above_all_base_thresholds,0.9494056242091341,0.9493793,2.6324209134065413e-05,6.932405407325078e-05,0.37972691421436666,1.152028996755018e-06,2.4786614129097497e-05,0.0437631,0.1185320163832252
main|gain_coupled_k20_max_trigger|0.01|above_all_base_thresholds,gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,0.9746196720524254,0.9746009,1.877205242539759e-05,4.975337749257834e-05,0.37730207216983,8.561670302489885e-07,8.991503407171985e-05,0.0456086,0.06808486437144365
main|gain_coupled_k20_max_trigger|0.01|below_all_base_thresholds,gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,0.903948238413394,0.9039825,-3.426158660602141e-05,9.31655192084228e-05,-0.3677496449021445,5.8552289494852204e-06,0.0006230927643560884,-0.1708977758915629,0.19891646532171148
main|transparent_k3_max_trigger|0.1|below_all_base_thresholds,transparent_k3_max_trigger,0.1,below_all_base_thresholds,0.7382068043992457,0.7381669,3.9904399245727085e-05,0.00013902392878364141,0.28703259643761797,-1.0852443322866149e-06,-1.2140203149697641e-05,-0.027196107516963094,0.3819838077633023
main|gain_coupled_k20_max_trigger|0.1|above_all_base_thresholds,gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,0.768705336666643,0.7687268,-2.146333335706352e-05,0.00013333638174247865,-0.16097131987964897,-3.126913622457163e-06,-4.765029249979729e-05,0.1456863,0.36047205580589214
main|transparent_k3_max_trigger|0.1|above_all_base_thresholds,transparent_k3_max_trigger,0.1,above_all_base_thresholds,0.889318200684541,0.8893295999999999,-1.1399315458904269e-05,9.920809571997642e-05,-0.11490307697347442,-8.955587207401665e-07,-1.0424821125828079e-05,0.0785625,0.21776406705563178
main|gain_coupled_k20_max_trigger|0.05|below_all_base_thresholds,gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,0.6919832483615674,0.6919946,-1.135163843257736e-05,0.00014599249075580566,-0.07775494735249554,2.3589261088915443e-06,6.0930040193533974e-05,-0.2078049017243017,0.4181550894061094
