dgp,alpha,trigger_regime,reference_size,evaluation_size,outer_repetitions,true_delta_pi,mean_delta_pi,bias_delta_pi,standardized_bias_delta_pi,empirical_variance_delta_pi,exact_variance_delta_pi,empirical_to_exact_variance_ratio_delta_pi,normal_coverage_delta_pi,true_delta_s,mean_delta_s,bias_delta_s,standardized_bias_delta_s,empirical_variance_delta_s,exact_variance_delta_s,empirical_to_exact_variance_ratio_delta_s,normal_coverage_delta_s,bridge_rms_delta_pi,bridge_rms_to_empirical_sd_delta_pi,bridge_rms_delta_s,bridge_rms_to_empirical_sd_delta_s,strict_sign_reversal_frequency_delta_pi,strict_sign_reversal_frequency_delta_s,mean_interval_union_probability,mean_pathwise_disagreement_probability
transparent_k3_max_trigger,0.01,above_all_base_thresholds,1000,1000,2000,-7.833227541999971e-05,-9.248500000000003e-05,-1.4152724580000325e-05,-0.2712999086883113,3.466061805902955e-09,2.7213275294684377e-09,1.2736658003750059,0.9255,-0.007947403468363312,-0.009417281938488987,-0.0014698784701256754,-0.27646723788805466,3.635801537050693e-05,2.8266726061504044e-05,1.2862478410622258,0.921,1.565073480703058e-05,0.26583770641144283,0.0016066063773220696,0.2664461210268125,0.0,0.0,0.0030305,0.0029120000000000005
transparent_k3_max_trigger,0.01,above_all_base_thresholds,3000,3000,2000,-7.833227541999971e-05,-8.25471111111111e-05,-4.214835691111388e-06,-0.13994289979454835,1.0855650445469651e-09,9.071091764894792e-10,1.1967303084156988,0.935,-0.007947403468363312,-0.008385532075520967,-0.0004381286071576552,-0.14273302932473983,1.1315764376812797e-05,9.42224202050135e-06,1.2009630353573422,0.935,4.805714833583893e-06,0.14585793858668522,0.0004915914449889931,0.1461377338607598,0.0,0.0,0.0009738333333333333,0.0009423333333333333
transparent_k3_max_trigger,0.01,above_all_base_thresholds,3000,5000,2000,-7.833227541999971e-05,-8.351065999999998e-05,-5.178384580000275e-06,-0.1923455258973868,8.497996197742897e-10,7.248104131275983e-10,1.172443999676213,0.9255,-0.007947403468363312,-0.008482768730408523,-0.0005353652620452114,-0.1951122624050295,8.858702952320138e-06,7.528895102941399e-06,1.1766272250039993,0.9255,4.843174578724147e-06,0.16613910165983486,0.0004955148100655062,0.1664836426626506,0.0,0.0,0.0010023,0.0009654
transparent_k3_max_trigger,0.01,above_all_base_thresholds,5000,5000,2000,-7.833227541999971e-05,-8.019314000000002e-05,-1.860864580000311e-06,-0.07976444801725946,5.890930746777413e-10,5.442655058936875e-10,1.08236342060746,0.951,-0.007947403468363312,-0.008142706298733267,-0.00019530283036995472,-0.08214020536733714,6.133057603848919e-06,5.653345212300809e-06,1.084854607941565,0.95,2.864052373822739e-06,0.1180018991133129,0.00029282026846255856,0.1182395076333102,0.0,0.0,0.0006128,0.0005882000000000001
transparent_k3_max_trigger,0.01,below_all_base_thresholds,1000,1000,2000,1.7710254349996568e-05,-3.327650000000001e-05,-5.098675434999658e-05,-0.07961731152773809,4.394116368661831e-07,4.1010939381490894e-07,1.0714498216651405,0.9445,0.0017975353658081783,-0.0034015645167675634,-0.005199099882575742,-0.07998877929417177,0.004550709385698521,0.004224722461868862,1.077161737077861,0.945,0.00026490684872233864,0.39962938010498444,0.02692358945062204,0.3991107343926211,0.0475,0.0475,0.0029945,0.0028720000000000004
transparent_k3_max_trigger,0.01,below_all_base_thresholds,3000,3000,2000,1.7710254349996568e-05,9.353888888888927e-06,-8.356365461107641e-06,-0.022601028041074427,1.4162400844588966e-07,1.3670313127163632e-07,1.0359968138877178,0.9575,0.0017975353658081783,0.0009429813963124212,-0.0008545539694957571,-0.022771992459993503,0.0014617556465849198,0.001408240820622954,1.0380011892698102,0.9575,8.57026656600281e-05,0.22773295901437574,0.008700993620386281,0.22757862029160406,0.0355,0.035,0.0009676666666666667,0.000928
transparent_k3_max_trigger,0.01,below_all_base_thresholds,3000,5000,2000,1.7710254349996568e-05,1.0302200000000028e-05,-7.40805434999654e-06,-0.025751294227646777,8.237254407039521e-08,8.275804025273772e-08,0.9953418884598374,0.9565,0.0017975353658081783,0.0010366946569990768,-0.0007608407088091015,-0.0260580521641367,0.000849455218729782,0.0008525180535720991,0.9964073079397162,0.9565,6.726477299746127e-05,0.23436698937930867,0.006831002537033314,0.23437657429603675,0.0465,0.0465,0.0009963,0.0009618
transparent_k3_max_trigger,0.01,below_all_base_thresholds,5000,5000,2000,1.7710254349996568e-05,2.940129999999998e-05,1.169104565000341e-05,0.040821456847325355,8.346150198530267e-08,8.202187876298179e-08,1.0175516977181291,0.951,0.0017975353658081783,0.0029829029650599737,0.0011853675992517954,0.040779224486210755,0.0008604900106249296,0.0008449444923737724,1.018398271592355,0.951,5.55370363415262e-05,0.19223816065436183,0.005638461577722746,0.1922151915981513,0.0375,0.0375,0.000609,0.0005833
transparent_k3_max_trigger,0.05,above_all_base_thresholds,1000,1000,2000,-0.0022153187561699955,-0.0022997245,-8.44057438300046e-05,-0.13890700039585926,3.8388018969459726e-07,3.6922894273146155e-07,1.0396806568162007,0.9445,-0.047605778261516685,-0.04964164948379394,-0.0020358712222772538,-0.15192082378636507,0.00018938837227457211,0.00017958331894860213,1.0545989092047923,0.942,7.967775097227584e-05,0.12859948121140774,0.0017680102795785213,0.12847189496671862,0.0,0.0,0.0030310000000000003,0.0027265000000000006
transparent_k3_max_trigger,0.05,above_all_base_thresholds,3000,3000,2000,-0.0022153187561699955,-0.002218067388888889,-2.748632718893671e-06,-0.007834828075331101,1.221342734905447e-07,1.2307631424382054e-07,0.9923458810164756,0.9515,-0.047605778261516685,-0.04772887869846164,-0.00012310043694495343,-0.01591062445359913,5.974310979837094e-05,5.986110631620071e-05,0.9980288283145572,0.9505,2.635057335333304e-05,0.07539999075743668,0.0005825401694993371,0.07536712787215268,0.0,0.0,0.0010078333333333332,0.0009078333333333333
