scale,dgp,alpha,trigger_regime,reference_size,evaluation_size,bias,absolute_bias,standardized_bias,B_times_bias,n_times_bias,inverse_B,inverse_n
delta_pi,transparent_k3_max_trigger,0.01,above_all_base_thresholds,1000,1000,-1.4152724580000323e-05,1.4152724580000323e-05,-0.2712999086883113,-0.014152724580000324,-0.014152724580000324,0.001,0.001
delta_pi,transparent_k3_max_trigger,0.01,above_all_base_thresholds,3000,3000,-4.214835691111388e-06,4.214835691111388e-06,-0.1399428997945483,-0.012644507073334164,-0.012644507073334164,0.0003333333333333333,0.0003333333333333333
delta_pi,transparent_k3_max_trigger,0.01,above_all_base_thresholds,3000,5000,-5.178384580000275e-06,5.178384580000275e-06,-0.1923455258973868,-0.015535153740000826,-0.025891922900001377,0.0003333333333333333,0.0002
delta_pi,transparent_k3_max_trigger,0.01,above_all_base_thresholds,5000,5000,-1.860864580000311e-06,1.860864580000311e-06,-0.0797644480172594,-0.009304322900001554,-0.009304322900001554,0.0002,0.0002
delta_pi,transparent_k3_max_trigger,0.01,below_all_base_thresholds,1000,1000,-5.098675434999658e-05,5.098675434999658e-05,-0.079617311527738,-0.05098675434999658,-0.05098675434999658,0.001,0.001
delta_pi,transparent_k3_max_trigger,0.01,below_all_base_thresholds,3000,3000,-8.356365461107641e-06,8.356365461107641e-06,-0.0226010280410744,-0.025069096383322925,-0.025069096383322925,0.0003333333333333333,0.0003333333333333333
delta_pi,transparent_k3_max_trigger,0.01,below_all_base_thresholds,3000,5000,-7.40805434999654e-06,7.40805434999654e-06,-0.0257512942276467,-0.022224163049989618,-0.0370402717499827,0.0003333333333333333,0.0002
delta_pi,transparent_k3_max_trigger,0.01,below_all_base_thresholds,5000,5000,1.169104565000341e-05,1.169104565000341e-05,0.0408214568473253,0.058455228250017054,0.058455228250017054,0.0002,0.0002
delta_pi,transparent_k3_max_trigger,0.05,above_all_base_thresholds,1000,1000,-8.44057438300046e-05,8.44057438300046e-05,-0.1389070003958592,-0.0844057438300046,-0.0844057438300046,0.001,0.001
delta_pi,transparent_k3_max_trigger,0.05,above_all_base_thresholds,3000,3000,-2.748632718893671e-06,2.748632718893671e-06,-0.0078348280753311,-0.008245898156681013,-0.008245898156681013,0.0003333333333333333,0.0003333333333333333
delta_pi,transparent_k3_max_trigger,0.05,above_all_base_thresholds,3000,5000,4.1760361699956505e-06,4.1760361699956505e-06,0.0133524655890422,0.012528108509986952,0.020880180849978253,0.0003333333333333333,0.0002
delta_pi,transparent_k3_max_trigger,0.05,above_all_base_thresholds,5000,5000,7.543676169995475e-06,7.543676169995475e-06,0.0277600453223568,0.037718380849977376,0.037718380849977376,0.0002,0.0002
delta_pi,transparent_k3_max_trigger,0.05,below_all_base_thresholds,1000,1000,-0.00019070683619,0.00019070683619,-0.0945259249385216,-0.19070683618999998,-0.19070683618999998,0.001,0.001
delta_pi,transparent_k3_max_trigger,0.05,below_all_base_thresholds,3000,3000,-1.230655841222804e-05,1.230655841222804e-05,-0.0105653020872219,-0.03691967523668412,-0.03691967523668412,0.0003333333333333333,0.0003333333333333333
delta_pi,transparent_k3_max_trigger,0.05,below_all_base_thresholds,3000,5000,-3.5296556190005275e-05,3.5296556190005275e-05,-0.0378870273758414,-0.10588966857001583,-0.17648278095002637,0.0003333333333333333,0.0002
delta_pi,transparent_k3_max_trigger,0.05,below_all_base_thresholds,5000,5000,-3.361207619000583e-05,3.361207619000583e-05,-0.0372533228189377,-0.16806038095002915,-0.16806038095002915,0.0002,0.0002
delta_pi,transparent_k3_max_trigger,0.1,above_all_base_thresholds,1000,1000,-0.0001152217,0.0001152217,-0.0723374102467624,-0.1152217,-0.1152217,0.001,0.001
delta_pi,transparent_k3_max_trigger,0.1,above_all_base_thresholds,3000,3000,-2.610175555555969e-05,2.610175555555969e-05,-0.0283830474632142,-0.07830526666667907,-0.07830526666667907,0.0003333333333333333,0.0003333333333333333
delta_pi,transparent_k3_max_trigger,0.1,above_all_base_thresholds,3000,5000,-3.993662000000356e-05,3.993662000000356e-05,-0.0489126085940892,-0.11980986000001068,-0.1996831000000178,0.0003333333333333333,0.0002
delta_pi,transparent_k3_max_trigger,0.1,above_all_base_thresholds,5000,5000,-1.2937320000001517e-05,1.2937320000001517e-05,-0.018161762849399,-0.06468660000000759,-0.06468660000000759,0.0002,0.0002
delta_pi,transparent_k3_max_trigger,0.1,below_all_base_thresholds,1000,1000,-0.00013524058125,0.00013524058125,-0.0399086648276203,-0.13524058125,-0.13524058125,0.001,0.001
delta_pi,transparent_k3_max_trigger,0.1,below_all_base_thresholds,3000,3000,-1.9568525694454303e-05,1.9568525694454303e-05,-0.0100018169960957,-0.05870557708336291,-0.05870557708336291,0.0003333333333333333,0.0003333333333333333
delta_pi,transparent_k3_max_trigger,0.1,below_all_base_thresholds,3000,5000,-6.73204125000923e-06,6.73204125000923e-06,-0.0041968316376438,-0.02019612375002769,-0.03366020625004615,0.0003333333333333333,0.0002
delta_pi,transparent_k3_max_trigger,0.1,below_all_base_thresholds,5000,5000,-2.5762661250009963e-05,2.5762661250009963e-05,-0.0169994901033418,-0.12881330625004983,-0.12881330625004983,0.0002,0.0002
delta_pi,gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,1000,1000,-0.00010578710774,0.00010578710774,-0.2592835869061245,-0.10578710774,-0.10578710774,0.001,0.001
delta_pi,gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,3000,-3.404932996222505e-05,3.404932996222505e-05,-0.144547797952033,-0.10214798988667514,-0.10214798988667514,0.0003333333333333333,0.0003333333333333333
delta_pi,gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,5000,-3.809272774000301e-05,3.809272774000301e-05,-0.1791027407419452,-0.11427818322000903,-0.19046363870001506,0.0003333333333333333,0.0002
delta_pi,gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,5000,5000,-2.045184774000287e-05,2.045184774000287e-05,-0.112088184658405,-0.10225923870001434,-0.10225923870001434,0.0002,0.0002
delta_pi,gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,1000,1000,-0.0010181727495,0.0010181727495,-0.2992208356390553,-1.0181727495,-1.0181727495,0.001,0.001
delta_pi,gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,3000,-0.0003760445272777,0.0003760445272777,-0.1914124852583547,-1.1281335818331,-1.1281335818331,0.0003333333333333333,0.0003333333333333333
delta_pi,gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,5000,-0.0003697040295,0.0003697040295,-0.2271147016691756,-1.1091120884999999,-1.8485201475,0.0003333333333333333,0.0002
delta_pi,gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,5000,5000,-0.0002236265095,0.0002236265095,-0.1469530652768187,-1.1181325475,-1.1181325475,0.0002,0.0002
delta_pi,gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,1000,1000,-0.00013053674113,0.00013053674113,-0.0583191103516385,-0.13053674113,-0.13053674113,0.001,0.001
delta_pi,gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,3000,-0.0001312728522411,0.0001312728522411,-0.1015812781088445,-0.3938185567233,-0.3938185567233,0.0003333333333333333,0.0003333333333333333
delta_pi,gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,5000,-9.88863611300038e-05,9.88863611300038e-05,-0.0858604383004972,-0.2966590833900114,-0.49443180565001904,0.0003333333333333333,0.0002
delta_pi,gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,5000,5000,-5.571522113000105e-05,5.571522113000105e-05,-0.055659203187083,-0.27857610565000523,-0.27857610565000523,0.0002,0.0002
delta_pi,gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,1000,1000,-0.0010977910748599,0.0010977910748599,-0.1871310739062678,-1.0977910748599,-1.0977910748599,0.001,0.001
delta_pi,gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,3000,-0.0002463936304155,0.0002463936304155,-0.0727472060360924,-0.7391808912465,-0.7391808912465,0.0003333333333333333,0.0003333333333333333
delta_pi,gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,5000,-0.0002606954148599,0.0002606954148599,-0.0900841507199986,-0.7820862445797,-1.3034770742994999,0.0003333333333333333,0.0002
