scale,dgp,alpha,trigger_regime,design_points,all_bias_signs_equal,coefficient_inverse_B_only,rmse_inverse_B_only,coefficient_inverse_B_joint,coefficient_inverse_n_joint,rmse_inverse_B_plus_inverse_n,relative_sse_reduction_from_inverse_n,log_absolute_bias_vs_log_B_slope,log_absolute_bias_vs_log_B_r2,expected_second_order_slope,B_scaled_bias_cv,same_B_3000_n5000_minus_n3000,same_B_3000_relative_difference,posthoc_exploratory
delta_pi,transparent_k3_max_trigger,0.01,above_all_base_thresholds,4,True,-0.013988005130047398,5.85475230711134e-07,-0.0180798846583026,0.004241218197169619,5.194924583090996e-07,0.2126978428213484,-1.2197821227074386,0.9754261319892239,-1.0,0.20741140197168118,-9.63548888888887e-07,0.2051583719062203,True
delta_pi,transparent_k3_max_trigger,0.01,below_all_base_thresholds,4,False,-0.04270512028285878,1.1822527830684167e-05,0.0114626623600578,-0.05614470901674565,1.1269229197456873e-05,0.09141045833987815,-1.0398683809926945,0.7552993492783427,-1.0,1.209885377799602,9.483111111111011e-07,0.12031030922471722,True
delta_pi,transparent_k3_max_trigger,0.05,above_all_base_thresholds,4,False,-0.06529849181432602,2.1355621987282006e-05,0.1405363391592432,-0.21334705108209365,1.6479467853731257e-05,0.40452721529724367,-1.7242914922144517,0.7251893051596932,-1.0,1.4743385999232557,6.924668888889322e-06,2.0,True
delta_pi,transparent_k3_max_trigger,0.05,below_all_base_thresholds,4,True,-0.16898526467066113,2.6702643507728535e-05,-0.002110811663162758,-0.17296476151142168,2.4326366718509418e-05,0.17006136285216455,-1.2083340284734623,0.7939689520946638,-1.0,0.5504828013532485,-2.2989997777777237e-05,0.9659030914207725,True
delta_pi,transparent_k3_max_trigger,0.1,above_all_base_thresholds,4,True,-0.11077443685446238,7.598539997930675e-06,-0.13467121235523685,0.024768920592043615,7.433113024094062e-06,0.04306780715933278,-1.3235154745630702,0.9843538984727775,-1.0,0.28791436269633824,-1.383486444444387e-05,0.41899469295102565,True
delta_pi,transparent_k3_max_trigger,0.1,below_all_base_thresholds,4,True,-0.11817251076878597,2.0948562291567013e-05,0.1409542270993587,-0.2685839180823105,1.2101846361647477e-05,0.6662703253202188,-1.2038821891066924,0.6812692597355645,-1.0,0.6505189373357221,1.2836484444445073e-05,0.9761374704621909,True
delta_pi,gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,4,True,-0.10610241801925081,1.5696127746480138e-06,-0.12772558080890095,0.02241232931481984,6.539932171785922e-07,0.8263953158877281,-1.0144367090023825,0.9990380294746367,-1.0,0.05368040115803307,-4.0433977777779625e-06,0.11209543798895785,True
delta_pi,gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,4,True,-1.0390253638145335,2.2984758206478164e-05,-1.2243898673262892,0.19212963137714806,1.9459697184087227e-05,0.28320944051491526,-0.9374430579818017,0.999511755604947,-1.0,0.04640768769839558,6.340497777699997e-06,0.017004384976879103,True
delta_pi,gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,4,True,-0.17302779122511563,4.8388825437331495e-05,-0.5000063052519642,0.33891203643658746,4.331190822311999e-05,0.198830374804005,-0.4630827955088232,0.6869038918995372,-1.0,0.3955441582882554,3.238649111109619e-05,0.28142684915139077,True
delta_pi,gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,4,True,-1.026696089464199,7.821401124721817e-05,-0.3797549939202532,-0.6705520844324111,6.553584249386046e-05,0.297916680799984,-1.2681448863637437,0.9978346148869193,-1.0,0.20999429273728318,-1.4301784444399992e-05,0.05640738871269717,True
delta_pi,gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,4,False,-0.020383693636586125,3.85163377169113e-05,-0.04570810365625817,0.02624865856053599,3.848006812406882e-05,0.001882448749727872,0.8838598643175967,0.6962737988476253,-1.0,1.0603703182761584,6.473923333333298e-05,1.5284577477576875,True
delta_pi,gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,4,False,-0.6700713726436576,9.778637217220113e-05,-0.28790708920657054,-0.39611188502238204,9.447860857282396e-05,0.06650862722173889,-1.6468548833721095,0.9499494079453854,-1.0,0.8263223482989049,2.8642793333300015e-05,0.15113909360434769,True
delta_pi,loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,4,True,-0.1389607789717506,5.04613324455375e-06,-0.13781786368737658,-0.0011846275210299843,5.04556960938034e-06,0.00022338042539593594,-1.0185535930779739,0.988339228411701,-1.0,0.12151772012000772,9.60560666666676e-06,0.18842275277518908,True
delta_pi,loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,4,True,-0.7157569910093504,1.8680469028041876e-05,-0.7687165652510302,0.054892405418383416,1.8350664645304114e-05,0.03499837481179913,-1.1036298792458223,0.9826415609300906,-1.0,0.1291618194254488,1.6127408888799992e-05,0.06366315033231104,True
delta_pi,loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,4,True,-0.178414229131464,1.4462150438113216e-05,-0.17244046544408934,-0.006191784259906552,1.445677704820534e-05,0.0007429588972206469,-1.4484777045920207,0.980741677678934,-1.0,0.33945473500968515,-1.8797208888886308e-05,0.38112822631931725,True
delta_pi,loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,4,True,-0.9754467146037411,6.81758527043989e-05,-0.5561838640618001,-0.4345644144303333,6.230982117280517e-05,0.16468197575730026,-1.225782947029231,0.9972669301048693,-1.0,0.19220946296689145,-4.650648444450001e-05,0.1867323372333436,True
