scale,dgp,alpha,trigger_regime,reference_size,evaluation_size,bridge_rms_to_empirical_sd,sqrt_B_scaled_bridge_ratio,strict_sign_reversal_frequency,locked_threshold,locked_threshold_fail
delta_pi,transparent_k3_max_trigger,0.01,above_all_base_thresholds,1000,1000,0.2658377064114428,8.406526402153059,0.0,0.15,True
delta_pi,transparent_k3_max_trigger,0.01,above_all_base_thresholds,3000,3000,0.1458579385866852,7.988968315513067,0.0,0.15,False
delta_pi,transparent_k3_max_trigger,0.01,above_all_base_thresholds,3000,5000,0.1661391016598348,9.099813366273551,0.0,0.15,True
delta_pi,transparent_k3_max_trigger,0.01,above_all_base_thresholds,5000,5000,0.1180018991133129,8.34399430559144,0.0,0.15,False
delta_pi,transparent_k3_max_trigger,0.01,below_all_base_thresholds,1000,1000,0.3996293801049844,12.637390610529298,0.0475,0.15,True
delta_pi,transparent_k3_max_trigger,0.01,below_all_base_thresholds,3000,3000,0.2277329590143757,12.473447873957305,0.0355,0.15,True
delta_pi,transparent_k3_max_trigger,0.01,below_all_base_thresholds,3000,5000,0.2343669893793086,12.836808681762102,0.0465,0.15,True
delta_pi,transparent_k3_max_trigger,0.01,below_all_base_thresholds,5000,5000,0.1922381606543618,13.593290700152819,0.0375,0.15,True
delta_pi,transparent_k3_max_trigger,0.05,above_all_base_thresholds,1000,1000,0.1285994812114077,4.0666726654407785,0.0,0.15,False
delta_pi,transparent_k3_max_trigger,0.05,above_all_base_thresholds,3000,3000,0.0753999907574366,4.1298275773529065,0.0,0.15,False
delta_pi,transparent_k3_max_trigger,0.05,above_all_base_thresholds,3000,5000,0.0728864432585679,3.9921549109037984,0.0,0.15,False
delta_pi,transparent_k3_max_trigger,0.05,above_all_base_thresholds,5000,5000,0.0590946644716693,4.178623797986111,0.0,0.15,False
delta_pi,transparent_k3_max_trigger,0.05,below_all_base_thresholds,1000,1000,0.2073617748603196,6.557355082136537,0.018,0.15,True
delta_pi,transparent_k3_max_trigger,0.05,below_all_base_thresholds,3000,3000,0.1247729097168608,6.834093721748019,0.0015,0.15,False
delta_pi,transparent_k3_max_trigger,0.05,below_all_base_thresholds,3000,5000,0.1192345404772628,6.530744745315963,0.0005,0.15,False
delta_pi,transparent_k3_max_trigger,0.05,below_all_base_thresholds,5000,5000,0.0955188647171381,6.754203697272881,0.0,0.15,False
