scale,dgp,alpha,trigger_regime,unique_reference_sizes,log_bridge_ratio_vs_log_B_slope,log_bridge_ratio_vs_log_B_r2,expected_first_order_relative_slope,mean_sqrt_B_scaled_bridge_ratio,sqrt_B_scaled_bridge_ratio_cv,predicted_B_for_locked_threshold_sqrt_rate,predicted_B_for_locked_threshold_log_fit,maximum_observed_sign_reversal_frequency,posthoc_exploratory
delta_pi,transparent_k3_max_trigger,0.01,above_all_base_thresholds,3,-0.5015448390644474,0.9991446395980595,-0.5,8.43163718287927,0.012160272024922543,3159.6669148316564,3156.9469108944563,0.0,True
delta_pi,transparent_k3_max_trigger,0.01,below_all_base_thresholds,3,-0.4617004773849069,0.9948476498090796,-0.5,12.96193652951394,0.04218819254415441,7467.191048673239,8175.583710670695,0.0475,True
delta_pi,transparent_k3_max_trigger,0.05,above_all_base_thresholds,3,-0.4860139691639744,0.9992067374664989,-0.5,4.102095902518414,0.016171234185513906,747.8751463759272,722.5025622247883,0.0,True
delta_pi,transparent_k3_max_trigger,0.05,below_all_base_thresholds,3,-0.4818101987781083,0.9999965796548677,-0.5,6.664659337647136,0.0149473202017252,1974.1192927505406,1957.2981500413637,0.018,True
delta_pi,transparent_k3_max_trigger,0.1,above_all_base_thresholds,3,-0.5075783766928301,0.998345424789548,-0.5,3.2041389865846237,0.018090007309676845,456.28918423784614,467.82955944367194,0.0,True
delta_pi,transparent_k3_max_trigger,0.1,below_all_base_thresholds,3,-0.4825981176139933,0.9966650257017311,-0.5,5.165009252172501,0.027156695347175307,1185.6586922234465,1154.171503066908,0.0,True
delta_pi,gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3,-0.7314304205068493,0.9894993999154543,-0.5,9.26670229118902,0.21021003765401738,3816.523171267904,3261.8138554117304,0.0025,True
delta_pi,gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3,-0.5096493674570574,0.9993446815517301,-0.5,15.703450859721286,0.013305778804457798,10959.927506830276,10653.506794839856,0.0125,True
delta_pi,gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3,-0.4978761717281711,0.9968115944525059,-0.5,3.959343871894077,0.023118676376679907,696.7290620402304,692.7328975650528,0.0,True
delta_pi,gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3,-0.47133315813679577,0.9998504445060331,-0.5,8.564758809031519,0.023889010388796587,3260.2263758614663,3314.6940456830457,0.0715,True
delta_pi,gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3,-0.4702748931107032,0.9822877660029353,-0.5,3.5502221495643327,0.05772178281728082,560.181213833653,508.88941676488344,0.0,True
delta_pi,gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3,-0.5011261401675253,0.9969046184517284,-0.5,5.97900397701903,0.02309406831260659,1588.82171365375,1589.8318539634834,0.018,True
delta_pi,loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3,-0.5052174629124512,0.9966306576947677,-0.5,8.549354106754604,0.024605727620706026,3248.5091396747475,3237.9905260658466,0.0,True
delta_pi,loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3,-0.4953448678655315,0.993887865209661,-0.5,15.85456771933219,0.032458037046603376,11171.880780750682,11323.685304500501,0.0905,True
delta_pi,loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3,-0.5326726152333321,0.9996009496137341,-0.5,3.533151682442448,0.028184370628595152,554.8071471620401,607.6661015918526,0.0,True
delta_pi,loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3,-0.4990410715081409,0.9936522314903163,-0.5,7.909991009255047,0.033072102345354806,2780.798122955364,2779.4295137414833,0.0,True
delta_pi,loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3,-0.532685292702088,0.9997077405200083,-0.5,2.6785509285290146,0.027859343321983945,318.87267007660654,361.34202761396404,0.0,True
delta_pi,loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3,-0.5056259391094953,0.9944225763893063,-0.5,5.727951661673441,0.03161828785638526,1458.1968994874462,1465.7868677943138,0.0,True
delta_s,transparent_k3_max_trigger,0.01,above_all_base_thresholds,3,-0.5017298083549381,0.999153213827577,-0.5,8.449350306930901,0.01211976155831808,3172.9564715214806,3169.8925986219824,0.0,True
delta_s,transparent_k3_max_trigger,0.01,below_all_base_thresholds,3,-0.460941681434215,0.9948690590320801,-0.5,12.954606722420401,0.042603859074949894,7458.7482370035505,8181.478730687271,0.0475,True
delta_s,transparent_k3_max_trigger,0.05,above_all_base_thresholds,3,-0.4841301838969354,0.9993337350649796,-0.5,4.106468869112075,0.016691734327303524,749.4705143549603,720.635115436982,0.0,True
delta_s,transparent_k3_max_trigger,0.05,below_all_base_thresholds,3,-0.4813375744290313,0.9999998401736212,-0.5,6.672675400015515,0.015310569241324696,1978.870977509876,1961.7318154063648,0.018,True
delta_s,transparent_k3_max_trigger,0.1,above_all_base_thresholds,3,-0.5049293758385462,0.9976254804530541,-0.5,3.1808047343512533,0.02070261402732592,449.6675003587265,457.0721888401089,0.0,True
delta_s,transparent_k3_max_trigger,0.1,below_all_base_thresholds,3,-0.4820638872477817,0.9960115976949774,-0.5,5.192152479271038,0.02923753419006682,1198.1532163555728,1165.7144474718841,0.0,True
delta_s,gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3,-0.7174834542289511,0.990569879044718,-0.5,9.35992589066708,0.1968407595657034,3893.6983412791087,3333.3886743669545,0.0025,True
delta_s,gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3,-0.510462642367389,0.9994343565710352,-0.5,15.491117052058321,0.01313591400172298,10665.54255646987,10349.015856544966,0.0125,True
delta_s,gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3,-0.4977353516619888,0.9988908521970667,-0.5,3.896178569055854,0.013738385070787132,674.6758863097832,670.6236102723857,0.0,True
delta_s,gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3,-0.4703332532051516,0.9998860117796454,-0.5,8.517339794434411,0.0245834403212479,3224.225652171379,3277.7778046977483,0.0715,True
delta_s,gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3,-0.4559167016171072,0.9856706370302359,-0.5,3.168660697342071,0.05877367012301905,446.24047177245944,377.3137994957603,0.0,True
delta_s,gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3,-0.49715095618226524,0.9965905573671338,-0.5,6.016155579138778,0.024184407403297515,1608.6279089956736,1604.0697902568559,0.018,True
delta_s,loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3,-0.5023736057204962,0.9966751956196983,-0.5,8.785467450916494,0.024047550093272793,3430.4194813828076,3423.768699754323,0.0,True
delta_s,loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3,-0.4953435429347455,0.9938128112174991,-0.5,15.913198830695038,0.03265669808374328,11254.662090010399,11408.332005360902,0.0905,True
delta_s,loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3,-0.5341234887387697,0.9986197075377155,-0.5,3.837875328664387,0.0322155532815125,654.6349794831458,712.0586933463928,0.0,True
delta_s,loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3,-0.4970618161472129,0.9942115332782813,-0.5,8.084262346445936,0.03154158230960474,2904.679897162825,2905.5726921900887,0.0,True
